country,feature,wave,tier,coverage,n_rows,detail
Albania,assets,2002,sane,declared,20448,all checks pass
Albania,assets,2003,absent,absent,,source not declared for wave
Albania,assets,2004,absent,absent,,source not declared for wave
Albania,assets,2005,absent,absent,,source not declared for wave
Albania,assets,2008,absent,absent,,source not declared for wave
Albania,assets,2012,absent,absent,,source not declared for wave
Albania,cluster_features,2002,sane,declared,450,warn: has_household_index
Albania,cluster_features,2003,builds,declared,449,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
Albania,cluster_features,2004,builds,declared,450,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
Albania,cluster_features,2005,sane,declared,480,warn: has_household_index
Albania,cluster_features,2008,absent,absent,,source not declared for wave
Albania,cluster_features,2012,absent,absent,,source not declared for wave
Albania,household_characteristics,2002,sane,declared,3599,all checks pass
Albania,household_characteristics,2003,sane,declared,1780,all checks pass
Albania,household_characteristics,2004,sane,declared,1797,all checks pass
Albania,household_characteristics,2005,sane,declared,3840,all checks pass
Albania,household_characteristics,2008,sane,declared,3599,all checks pass
Albania,household_characteristics,2012,sane,declared,6669,all checks pass
Albania,household_roster,2002,sane,declared,16521,warn: index_levels_match_scheme
Albania,household_roster,2003,sane,declared,8679,warn: index_levels_match_scheme
Albania,household_roster,2004,sane,declared,8025,warn: index_levels_match_scheme
Albania,household_roster,2005,sane,declared,17302,warn: index_levels_match_scheme
Albania,household_roster,2008,sane,declared,14869,warn: index_levels_match_scheme
Albania,household_roster,2012,sane,declared,25335,warn: index_levels_match_scheme
Albania,housing,2002,absent,absent,,source not declared for wave
Albania,housing,2003,absent,absent,,source not declared for wave
Albania,housing,2004,absent,absent,,source not declared for wave
Albania,housing,2005,sane,declared,3840,warn: index_levels_match_scheme
Albania,housing,2008,sane,declared,3599,warn: index_levels_match_scheme
Albania,housing,2012,sane,declared,6671,warn: index_levels_match_scheme
Albania,individual_education,2002,absent,absent,,source not declared for wave
Albania,individual_education,2003,absent,absent,,source not declared for wave
Albania,individual_education,2004,absent,absent,,source not declared for wave
Albania,individual_education,2005,sane,declared,14291,warn: index_levels_match_scheme
