country,wave,status,n_hh,n_psu,hh_per_psu,n_strata,wt_n,wt_cv,wt_max_over_med,wt_distinct,panel_wt_pct,rural_pct
Albania,2002,ok,3599.0,450.0,8.0,4.0,3599.0,0.566,2.32,17.0,100.0,46.0
Albania,2003,ok,1764.0,449.0,3.93,16.0,1764.0,0.142,1.14,16.0,100.0,
Albania,2004,ok,1884.0,448.0,4.21,0.0,1884.0,0.141,1.14,16.0,100.0,
Albania,2005,ok,3840.0,480.0,8.0,4.0,3840.0,0.616,3.04,468.0,100.0,43.0
Albania,2008,ok,3599.0,450.0,8.0,4.0,3599.0,0.7,9.08,446.0,100.0,45.0
Albania,2012,ok,6671.0,834.0,8.0,4.0,6671.0,0.709,10.3,2963.0,100.0,46.0
Armenia,,no sample table,,,,,,,,,,
Azerbaijan,1995,ok,2016.0,168.0,12.0,,2016.0,0.181,1.24,3.0,,
Benin,2018-19,ok,8012.0,670.0,11.96,12.0,8012.0,0.468,4.38,669.0,100.0,51.0
Burkina_Faso,2014,ok,10411.0,900.0,11.57,26.0,10411.0,0.755,6.99,892.0,100.0,62.0
Burkina_Faso,2018-19,ok,7010.0,585.0,11.98,0.0,7010.0,0.973,9.97,585.0,100.0,55.0
Burkina_Faso,2021-22,ok,3227.0,550.0,5.87,0.0,3227.0,0.92,11.04,549.0,100.0,55.0
Cambodia,2019-20,ok,1512.0,252.0,6.0,24.0,1512.0,0.409,2.97,236.0,100.0,70.0
China,1995-97,ok,787.0,30.0,26.23,,,,,,,
CotedIvoire,1985-86,ok,1588.0,100.0,15.88,5.0,1588.0,0.516,5.65,128.0,100.0,57.0
CotedIvoire,1986-87,ok,1600.0,100.0,16.0,5.0,1600.0,0.538,6.15,128.0,100.0,57.0
CotedIvoire,1987-88,ok,1600.0,100.0,16.0,5.0,1600.0,0.354,2.31,114.0,100.0,50.0
CotedIvoire,1988-89,ok,1600.0,100.0,16.0,5.0,1600.0,0.151,1.0,3.0,100.0,54.0
CotedIvoire,2018-19,ok,12992.0,1084.0,11.99,33.0,12992.0,0.909,11.67,1084.0,100.0,59.0
Ethiopia,2011-12,ok,3969.0,333.0,11.92,18.0,3969.0,0.934,7.15,529.0,100.0,87.0
Ethiopia,2013-14,ok,5262.0,433.0,12.15,21.0,5262.0,0.961,8.74,616.0,100.0,63.0
Ethiopia,2015-16,ok,4954.0,432.0,11.47,21.0,4954.0,0.965,10.77,611.0,100.0,66.0
Ethiopia,2018-19,ok,6770.0,535.0,12.65,21.0,6770.0,1.212,19.53,660.0,100.0,46.0
Ethiopia,2021-22,ok,4959.0,435.0,11.4,19.0,4959.0,1.573,29.21,4663.0,100.0,46.0
EthiopiaRHS,1989,ok,338.0,5.0,67.6,5.0,338.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,1994a,ok,1480.0,18.0,82.22,18.0,1480.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,1994b,ok,1480.0,18.0,82.22,18.0,1480.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,1995,ok,1480.0,18.0,82.22,18.0,1480.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,1997,ok,1475.0,18.0,81.94,18.0,1475.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,1999,ok,1475.0,18.0,81.94,18.0,1475.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,2004,ok,1368.0,18.0,76.0,18.0,1368.0,0.0,1.0,1.0,100.0,100.0
EthiopiaRHS,2009,ok,1357.0,18.0,75.39,18.0,1357.0,0.0,1.0,1.0,100.0,100.0
GhanaLSS,1987-88,ok,3147.0,176.0,17.88,0.0,3147.0,0.0,1.0,1.0,100.0,62.0
GhanaLSS,1988-89,ok,3194.0,170.0,18.79,0.0,3194.0,0.0,1.0,1.0,100.0,66.0
GhanaLSS,1991-92,ok,4523.0,365.0,12.39,10.0,4523.0,0.0,1.0,1.0,100.0,65.0
