,,,purchased_price,produced_price
t,,,2016-17,2016-17
m,i,u,,
Ashanti,Agushie Seed,American Tin (Olonka),8.0,
Ashanti,Agushie Seed,Balls,1.0,
Ashanti,Agushie Seed,Bowl,3.0,
Ashanti,Agushie Seed,Bundle,4.0,
Ashanti,Agushie Seed,Gram,1.0,
Ashanti,Agushie Seed,Heap,1.0,
Ashanti,Agushie Seed,Margarin tin,5.0,
Ashanti,Agushie Seed,Mini bag,2.0,
Ashanti,Agushie Seed,Other unit,1.0,
Ashanti,Agushie Seed,Pound,5.0,
Ashanti,Agushie Seed,Single,2.0,
Ashanti,Agushie Seed,Tin,2.0,
Ashanti,Akpeteshie,Beer bottle,8.0,
Ashanti,Akpeteshie,Bowl,0.5,
Ashanti,Akpeteshie,Fanta bottle,15.0,
Ashanti,Akpeteshie,Other unit,25.0,
Ashanti,Akpeteshie,Single,1.0,
Ashanti,Akpeteshie,Tot (25mls),0.5,
Ashanti,Apple,Balls,1.0,
Ashanti,Apple,Heap,1.0,
Ashanti,Apple,Piece,1.0,
Ashanti,Apple,Single,2.0,
Ashanti,Avocado,Heap,2.0,
Ashanti,Avocado,Single,2.0,2.0
Ashanti,Bambara Bean,Margarin tin,,9.0
Ashanti,Banana,Bowl,2.5,
Ashanti,Banana,Bunch,3.0,6.0
Ashanti,Banana,Bundle,4.0,
Ashanti,Banana,Fingers,0.3333333333333333,
Ashanti,Banana,Heap,2.0,
Ashanti,Banana,Piece,0.2,
Ashanti,Banana,Single,0.3333333333333333,5.0
Ashanti,Beef,Bowl,4.0,
Ashanti,Beef,Heap,10.0,
Ashanti,Beef,Kilogram,,
Ashanti,Beef,Piece,1.25,
Ashanti,Beef,Pound,10.0,20.0
Ashanti,Beef,Single,2.0,20.0
Ashanti,Beef (corned),Hours,9.0,
Ashanti,Beef (corned),Single,12.0,
Ashanti,Beef (corned),Tin,5.0,
Ashanti,Beef (face),Heap,10.0,
Ashanti,Beef (face),Pound,6.0,
Ashanti,Beef (leg),Gram,20.0,
Ashanti,Beef (leg),Heap,10.0,
Ashanti,Beef (leg),Piece,0.6125,
Ashanti,Beef (leg),Pound,10.0,
Ashanti,Beef (leg),Single,10.0,
Ashanti,Beef (offal),Heap,5.0,
Ashanti,Beef (offal),Kilogram,10.0,
Ashanti,Beef (offal),Other unit,4.0,
Ashanti,Beef (offal),Piece,1.0,
Ashanti,Beef (offal),Pound,10.0,
Ashanti,Beef (offal),Single,4.0,
Ashanti,Beef (steak),Heap,5.0,
Ashanti,Beef (steak),Piece,5.0,
Ashanti,Beef (steak),Pound,10.0,
Ashanti,Beef (steak),Single,5.0,
Ashanti,Beer,Beer bottle,4.0,
Ashanti,Beer,Bowl,1.0,
Ashanti,Beer,Crate,57.5,
Ashanti,Beer,Other unit,5.0,
Ashanti,Beer,Single,5.0,
Ashanti,Biscuit,Packet,1.5,
Ashanti,Biscuit,Piece,1.0,
Ashanti,Biscuit,Satchet,1.0,
Ashanti,Biscuit,Single,1.0,
Ashanti,Bitters,Beer bottle,9.0,
Ashanti,Bitters,Fanta bottle,7.0,
Ashanti,Bitters,Other unit,1.0,
Ashanti,Bitters,Satchet,0.8,
Ashanti,Bitters,Single,10.0,
Ashanti,Bitters,Tot (25mls),0.8,
Ashanti,Bread,Loaf,2.0,
Ashanti,Bread,Piece,1.0,
Ashanti,Cabbage,Bowl,,1.0
Ashanti,Cabbage,Single,,3.0
Ashanti,Canned Fruits,Packet,1.0,
Ashanti,Canned Fruits,Single,2.5,
Ashanti,Carrot,Bowl,2.0,
Ashanti,Carrot,Bunch,5.0,
Ashanti,Carrot,Bundle,2.0,
Ashanti,Carrot,Fingers,0.3333333333333333,
Ashanti,Carrot,Gram,0.6666666666666666,
Ashanti,Carrot,Heap,1.75,
Ashanti,Carrot,Piece,0.55,
Ashanti,Carrot,Single,0.5,
Ashanti,Cassava (dough),American Tin (Olonka),,6.0
Ashanti,Cassava (dough),Balls,1.0,2.25
Ashanti,Cassava (dough),Bowl,1.0,8.0
Ashanti,Cassava (dough),Heap,1.0,2.5
Ashanti,Cassava (dough),Margarin tin,1.0,1.0
Ashanti,Cassava (dried),American Tin (Olonka),3.0,
Ashanti,Cassava (dried),Bowl,5.0,
Ashanti,Cassava (dried),Heap,1.0,
Ashanti,Cassava (dried),Margarin tin,2.0,
Ashanti,Cassava (fresh),American Tin (Olonka),2.0,
Ashanti,Cassava (fresh),Basket,5.0,15.0
Ashanti,Cassava (fresh),Beer bottle,30.0,
Ashanti,Cassava (fresh),Bowl,5.0,10.0
Ashanti,Cassava (fresh),Bucket,13.5,
Ashanti,Cassava (fresh),Bunch,5.0,
Ashanti,Cassava (fresh),Fingers,0.5,
Ashanti,Cassava (fresh),Gram,0.5,
Ashanti,Cassava (fresh),Heap,3.0,4.0
Ashanti,Cassava (fresh),Piece,0.5432692307692308,
Ashanti,Cassava (fresh),Single,0.75,
Ashanti,Cassava (fresh),Tubers,0.6,2.5
Ashanti,"Cassava (white, flour)",American Tin (Olonka),7.75,
Ashanti,"Cassava (white, flour)",Bowl,7.0,
Ashanti,"Cassava (white, flour)",Margarin tin,2.0,
Ashanti,"Cassava (yellow, flour)",American Tin (Olonka),8.0,
Ashanti,"Cassava (yellow, flour)",Bowl,,8.0
Ashanti,"Cassava (yellow, flour)",Margarin tin,1.0,3.0
Ashanti,Cerelac (Baby food),American Tin (Olonka),8.0,
Ashanti,Cerelac (Baby food),Gram,1.5,
Ashanti,Cerelac (Baby food),Margarin tin,2.0,
Ashanti,Cerelac (Baby food),Other unit,1.5,
Ashanti,Cerelac (Baby food),Packet,1.5,
Ashanti,Cerelac (Baby food),Satchet,1.5,
Ashanti,Cerelac (Baby food),Tin,12.0,
Ashanti,Chewing Gum,Blister / Strip,2.0,
Ashanti,Chewing Gum,Millilitre,0.19999999999999998,
Ashanti,Chewing Gum,Packet,2.0,
Ashanti,Chewing Gum,Piece,1.1,
Ashanti,Chewing Gum,Satchet,0.7,
Ashanti,Chewing Gum,Single,0.7,
Ashanti,Chewing Gum,Stick,0.2,
Ashanti,Chicken (breast),Heap,2.0,
Ashanti,Chicken (breast),Kilogram,7.0,
Ashanti,Chicken (breast),Other unit,5.0,
Ashanti,Chicken (breast),Piece,2.0,
Ashanti,Chicken (breast),Pound,6.0,
Ashanti,Chicken (breast),Single,2.0,
Ashanti,Chicken (broiler),Heap,5.5,
Ashanti,Chicken (broiler),Kilogram,14.0,
Ashanti,Chicken (broiler),Piece,15.0,
Ashanti,Chicken (broiler),Pound,10.0,
Ashanti,Chicken (broiler),Single,14.5,
Ashanti,Chicken (frozen),Heap,2.0,
Ashanti,Chicken (frozen),Kilogram,7.0,
Ashanti,Chicken (frozen),Pound,5.0,
Ashanti,Chicken (frozen),Single,1.0,
Ashanti,Chicken (gizzard),Heap,5.0,
Ashanti,Chicken (gizzard),Kilogram,12.0,
Ashanti,Chicken (gizzard),Other unit,10.0,
Ashanti,Chicken (gizzard),Packet,14.0,
Ashanti,Chicken (gizzard),Pound,5.0,
Ashanti,Chicken (gizzard),Single,10.0,
Ashanti,Chicken (live),Single,30.0,30.0
Ashanti,Chicken (thigh),Bowl,15.0,
Ashanti,Chicken (thigh),Box/Carton,82.5,
Ashanti,Chicken (thigh),Gram,5.0,
