draw,Agushie Seed,Apple,Avocado,Banana,Beef,Beef (steak),Beer,Biscuit,Bread,Carrot,Cassava (dough),Cassava (dried),Cassava (fresh),"Cassava (white, flour)",Cerelac (Baby food),Chewing Gum,Chicken (thigh),Chicken (wing),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam,Cocoyam Leaves,Condiment,Cooked Rice and Stew,Cowpea,Crab,Curry Power,Eggplant,Fish (canned),Fish (dried),Fish (fried),Fish (salted),"Fish (smoked, river)","Fish (smoked, sea)",Fried Plantian and Beans,Garlic,Ginger,Goat,Groundnut,Herring (smoked),Ice Cream,Instant Noodle,Juice,Kapla,Kenkey/Banku,Mackerel (processed),Maize (flour/dough),Maize (grain),Malt Drinks (bottle),Malt Drinks (canned),Mango,Milk (evaporated),Milk (powdered),Oil (palm),Oil (vegetable),Okra,Orange,Other Fish,Other Milk Products,Other Prepared Meals,Other Vegetables,Palm Nut,"Pepper (dried, red)",Pepper (fresh),Pepper (powder),Pineapple,Plantain,Rice (imported),Rice (local),Salmon (smoked),Salt,Soft Drinks,Soup,Sugar (granulated),Sugar Bread,Sweet Pepper,Tea,Tilapia,Tomato (fresh),Tomato (paste),Tuo Zaafi,Water,Watermelon,White Oats,Yam,Yoghurt,Pawpaw,Khebabs,Spaghetti,Chicken (live),Beef (offal),Dawadawa,Beef (leg),Snail
0,1.6270830356953572,0.751863111609827,1.6832379116429272,2.2508352564351215,2.1165093440390383,2.4130755525316454,0.9144520106099128,3.433895536444146,2.7495342760886987,2.26709636177343,1.5529580202083024,2.0806520529962276,1.2471583473711079,3.086824590189238,1.7188767830445724,2.562188259287049,2.005687853044178,1.1475210413192714,2.748250161716314,2.090366276844669,0.9642664134665356,1.8092570829353132,1.9058146056702459,1.476609022081262,1.0182650574746517,1.8681990657872392,2.3406189713100183,2.102991569292113,1.7985804048252745,1.426053650753963,1.7343335138050553,2.3377326666226983,1.5624622947302034,2.0798310659669585,1.273407849100305,1.8343909167787469,1.5648132935388308,2.2756331779977694,2.058828521855867,1.276167873995703,1.7108512030308478,2.8895492671843432,3.278623232980784,1.3046972126884098,0.8132850822925515,2.3224895542266624,1.3299490075815075,1.0495096026112603,1.6327722493647987,1.5205435564149297,1.6758779633208203,2.612822089923723,2.045013507911902,2.565628825253433,3.0868903893816717,1.7435661818662356,2.043903330052275,1.7929870420295262,1.478344715812786,0.9629361616554601,1.2704615082129156,1.4500112689278952,1.0647805802236796,1.7801553817032545,2.4660129904989607,1.7984958204379748,2.000748102082142,2.713341684467842,1.538599864977947,1.8834474456052896,1.0,2.515917530507057,0.5236294327255826,2.0913572665812152,1.5961941955247743,2.624665587772351,3.0286172222919414,1.5719696478352223,2.2293935952131356,2.1192845736322203,0.5511396538410299,2.0961962081405128,1.8161223181151447,1.3755157533211329,1.8215130859583453,2.470988572433493,,,,,,,,
1,1.6690484115081863,0.9260349592815676,1.9082182497109186,2.003458621090661,2.0439262766562343,2.184828725349376,1.3988878135442873,2.9865279959553304,2.447503686605608,2.1857767118640794,1.5293919382519194,1.926525262078332,1.1964235771556488,2.909606770461665,1.850652096128905,2.645086139322194,2.026463200667331,1.1696107542257652,2.5061678464469535,1.6673960431578814,0.8921494797538887,1.5957908432048713,1.7160875260121433,1.6163745763033226,1.4039058418983656,1.8918603413765254,2.179330832202857,1.8292250435381252,1.9153334935514594,1.8131407664282295,1.599644660823997,2.026608202684208,1.5027492514174028,1.9218882116125438,1.2482330719726744,1.7062224743832348,1.4862607472594958,2.625261218159372,2.2489683543011942,1.2327714925182172,1.7145592056449008,2.409752063120067,2.9062689900897003,1.2559646138421072,0.7505268189002036,2.213240020568616,1.2873623513355898,1.415174681018172,1.4541085330492785,1.7344513524441902,,2.3484621737496147,2.132156141177244,2.2776488081640123,3.056324915789779,1.6791053040482682,1.663310724410728,1.5769078496208404,1.0983613435918875,0.7219885017835981,1.6257008764181318,1.5956447824808988,1.0169277620986699,1.6928046190510337,2.084167625031382,1.659003910595113,1.8532650551367662,2.5162602195000225,1.4985135392567506,1.9120490735700701,1.0,2.384142455436152,0.767655457509635,2.241026827545073,1.6943284782161072,2.2917079229409008,2.925373534628791,1.7261627879508246,2.0474478176031266,2.1279471658964324,0.38117061265505925,2.2085820302400108,1.7736079017266675,1.311887288739834,1.693183695834271,2.2227612078360495,0.970870796247102,,,,,,,
2,1.5238924803066332,,1.1287781966667776,1.4260556356100993,1.8055421286659437,1.9172010829978254,0.932282334828185,2.284717990191532,1.974297665425228,1.278591966879389,1.3361099754622974,1.3811783940072775,0.8671181533561815,2.3426376545928287,1.6098160284616503,2.108320581113712,1.4157091702506606,0.9579962026450216,1.9973071040797892,1.1829710583324144,0.7261486490830331,1.3753418318618504,1.4298971493042878,0.9916782870793361,0.9440308050153229,1.437050286726903,1.594414566787171,1.4998142671782275,1.4703221010366707,1.125057220377164,1.1647131470301935,1.3850342362396713,1.217830482122482,1.5193617924536997,0.9242306416956204,1.3034732819243382,1.0552071261108655,1.9744445808036681,1.7336391928819406,1.0860512918184668,1.3327586748914064,2.2057156558287248,2.1019955769750434,0.9336036744861177,0.5505817352233193,1.863185314905207,1.111365250209341,1.1636028871815605,1.3622101873585681,1.2963340358384587,1.4139169938665437,1.86603477361077,1.6855511962276692,1.8042814540552436,2.4438418122199947,1.349927749499838,1.4464201194882496,1.0559548689360658,1.059410188258155,0.6704977475591674,1.1963983228785082,1.1538020620470177,1.1649334295532896,1.305052816021907,1.9716111135308707,1.2511615930586992,1.4568363051697621,1.962479933005877,1.1464111799060306,1.4345968350338538,1.0,1.788912712243915,0.7315679860261679,1.850720630782001,1.287609605432661,1.4780208210000048,2.0305025784662174,0.9400874316653872,1.589039791967979,1.6629200788878358,0.35173346370884034,1.6118941613533233,1.3365194546685855,1.1054060203779912,1.3512544150511814,1.56831519133691,,,,,,,,
3,1.8465966485141259,1.0756691718086409,1.6959498760258962,2.1258894258757906,2.236435740170818,2.2781505391251446,1.310702268166757,3.2551386028154425,2.510549871973629,2.5308086838951365,2.1110752590237487,2.6140986665157624,1.5247559245121023,3.083133398694833,,2.8313062239958873,2.0195788229048612,1.1233669089110399,2.597183633935453,1.99573969242078,0.7307872790951667,1.7892758421549875,1.9239461187542757,1.6868765980716143,1.0691338959701047,2.7066998843666212,2.5787975455728644,2.084536812998975,1.634736332151751,1.4591313336595166,1.925707616008705,2.6439282561900574,1.3873733437732636,2.2016972851431524,1.5002009287379436,1.598292353909122,1.1108193250189298,2.870542283717966,2.2955659637244406,1.4046527091769498,1.5104251347994533,2.909168711055272,3.1789175807371066,1.171504358255836,0.7678760689290979,2.674110891643638,1.6015952617797906,1.2855800683997265,1.372581246821742,1.7736066104705088,1.842272694163045,2.4827750067724916,1.7253656641420463,2.3279525038663254,3.2012665292961566,1.910933262531455,1.7204668684159097,,1.4195958683661223,0.8433186236764868,1.3185364378461009,1.8162679030209334,1.1367423983336677,1.8434892510192056,2.9458500490380137,2.062264534062495,2.0861036771215615,2.3047625649632417,1.5071343384695417,1.9705633752732312,1.0,2.984118898622455,0.48603036319599063,2.06802696207078,1.3237931460258756,2.5323523911522896,2.9466917929216145,1.3529746176586215,2.0805694947242364,2.2399281136458282,0.8176044979814585,1.87343840162011,1.9881115107002914,1.8533540017003436,1.7744539622347997,2.8035834963920543,,1.7798499362064462,0.9520199687141019,,,,,
4,1.3048905342292167,0.8499505359089056,1.8427353601894383,1.7848536526284224,1.7424780993350726,2.071702703522155,0.6177907019976299,2.7303564906400823,2.156756297209686,1.8103931170209202,1.4467948945338331,1.5741961338931552,1.0806811928007223,2.5344775586241104,1.4069307100201818,2.269502165730823,1.7533850669675717,1.1257849872910748,2.2484394567172803,1.7802547094831636,0.6556005615581106,1.5782173070922834,1.644795971770083,1.2541286564674188,1.051540670697219,,1.5105363058262848,1.775807210871445,1.5448656290597078,1.4923323738973384,1.602155234183664,1.7190815073394121,1.2701264061081672,2.0093383336155055,1.276826998856167,1.2698421076355848,1.0896456951776747,1.9825590558175175,2.004533153529841,1.06929939936325,1.3261423639869927,2.2989133668913886,2.2628565969816945,0.8397588901170994,0.8295259401098923,2.078242808256254,1.1671558285971078,0.8943501670774229,1.498708800778534,1.4824183618940348,1.7393730743354536,2.0559568476977437,1.794304925148852,2.102061975318698,2.719347395107789,1.6325879243510355,1.5388311980017317,1.4679884476721312,1.1986910026717827,0.8172658190242249,1.5704957981694818,1.465539379178941,0.8246658563671554,1.5854937350706861,2.090881899211285,1.1690426463762313,1.5967062945436046,2.12348725956175,1.4119370255996764,1.5233352942808407,1.0,1.9750896402525535,0.4888537612075336,1.8162183126565006,1.490890562365281,2.3033691323886067,2.464910692935067,1.1741210457469153,1.9167101860463327,1.9596055184158823,0.24694891060525512,1.9074861213863352,1.8613687220711985,1.4196873120113562,1.4551592304516336,2.1608015720937166,,,1.1039167932703997,,,,,
5,1.544768625175276,1.1035751327417065,1.070293448482973,1.7944871883967488,2.0635374539046523,1.7971869293885692,0.7167653509751217,2.3780209813650335,2.1275150206952773,1.2752401348180398,1.2336610021699583,1.5237741608745141,1.0975016623346106,2.555499360943105,1.4952302040595638,1.6921190780822013,1.670579588267728,0.8612951994228482,2.130825687995422,1.3247302096017515,0.9487828074896555,1.6716770455095686,1.4935539032406886,1.2535981980432314,1.5169512281296695,0.9980460308782798,1.4767748442536486,1.7607056857103036,1.5613998982175255,1.4031730050438171,1.218341556957415,1.6235973868249216,1.3809171278261294,1.7802988033415441,1.1414271886444576,1.4028302987546262,1.2602554541701652,1.8107686701284025,1.5593902902229213,1.0001049772126327,1.230169195285723,1.981146583126705,1.9608130955627525,1.2545520219220632,0.7703566633651475,1.7335565852438597,1.1216705399363132,1.1137730106161303,1.279218504300802,1.5522224633807773,1.525968544713966,1.9921224418093242,1.9639233141463455,2.0450797948786748,2.589454412826728,1.5466504628119224,1.593968090145866,1.1976050818813695,1.0372797940539649,0.9842873717188887,1.1822045039285698,1.2424751270837207,0.7962844398000051,1.5291745410713282,1.8425885340736312,1.3190934073078189,1.579407235474191,2.185744357745271,1.2855381035499274,1.5187011945320916,1.0,2.0155266796840974,0.858204061112239,1.931875614893621,1.6131174609923868,1.7840358168202757,2.081726973154284,1.2963570863437635,1.8746619328833292,1.8640313288017794,0.6516490050875348,1.9621398060779152,1.8091788785763454,1.0409298553154132,1.4123130537646025,1.9160256578797696,0.7249024753378197,,,,,,,
6,1.7891972858101302,0.871406405874997,1.3732685770403545,2.0414275240868234,2.0122831654759135,2.269079720279102,,2.8375630238365015,2.3892519743241647,2.0971772220626095,1.667126404058838,2.3411422561050075,1.1850739791150313,2.8898387170500457,1.1921225516191194,2.396717891704602,2.1448811663582137,1.2506592592401544,2.4367602145662572,1.8604040755764109,0.9871323634615271,1.7037752909882027,1.7032676339159418,1.3065070986294907,1.3167086133247399,1.9708187331591414,1.7815166615790488,1.9678745258283032,2.0042950000247077,1.4488455357439103,1.7476396466971602,2.104003892918118,1.687638782042834,2.0863376688424267,1.4455681560870188,1.5298199871167584,1.2873379789036745,2.3160141129253713,2.10882871327004,1.2581979267809271,1.5714727507460415,2.3485847963164757,2.6695741551030747,1.3636992845101874,0.6822671304115548,2.6242451524219614,1.3249170499117655,1.2160708030237222,1.7173010768588217,1.6612003843862848,1.329883165537853,2.2685518720142235,1.964119555883559,2.212450642710181,2.9342128792920175,1.7910529618918027,1.86425729098105,1.5675149450214456,1.4457622202181344,0.8322491163849307,1.2338333247338713,1.5897359015431458,1.0819765218374315,1.6784587674528544,2.47092454390419,1.8167131338454103,2.006988644626049,2.4065070395833668,1.2096663173572335,1.7379587217572277,1.0,2.5514072531351255,0.6949419310240701,2.000899458888787,1.5171172603074172,2.4839426493552113,2.3915158301845003,1.6615488456601315,1.9469877508790163,2.1117641534434752,0.44088991729832194,1.7553743379474964,1.933524120422256,1.3276868086415639,1.7778380997023098,2.3205424401718386,0.9627887704199927,,,,,,,
7,1.3233411077406494,1.4823707908592494,1.7503479942170175,1.706379513309511,2.0940435448546397,2.0053802403139445,1.3856202543240395,2.4793644195581,2.385495482927341,1.5576928500431941,1.3964726262011697,1.4242076270148467,1.0966717052932933,2.55280266590141,,1.5920499558520422,2.184338363551854,0.9421225105838406,2.274524075358756,1.5152393991001945,0.8673694490132475,1.5909150875445581,1.5665880875342972,1.1662168223929652,1.5536534469227035,,1.588103971131723,1.541367290081004,1.6073887163349416,1.5356218463536129,1.4833119315822907,1.495960390032928,1.639868218478012,1.710840605681626,0.8810824553062271,1.5958594293722812,1.5311949005277974,1.7988011467140128,1.8696043499453054,1.2520493691725842,1.4684104458512213,2.2565264989780394,2.542230747600297,1.4005556262672907,0.47623372705614564,1.7726892440334876,1.235350897997326,1.172828745835211,1.5439312510414436,1.6477078363962938,1.6493242965827457,2.208272991282171,1.8649723019263373,2.0122961875282552,2.704012813794345,1.6685549592874778,1.6324366928769176,1.6169994554104485,0.9657991000153195,1.1650840722906004,1.7303910931021076,1.3136393084045443,0.8654235036385254,1.4773800461176632,1.9908125575590283,1.364661309319247,1.735982331363563,2.3723279382337505,1.4838365466296006,1.6043090508624325,1.0,1.8600558870914978,0.9340630964408045,1.9881740369743834,1.6745680412667516,1.9372972253205456,2.4184187595551228,1.6463486521868003,1.879229936651713,2.0464391923177216,0.5972357332630109,2.289399234334094,1.9568501455331382,1.164220265934258,1.8073287599579997,1.8452806787550695,,,1.3915647316376891,,,,,
8,1.4743186575078635,0.9911981036227577,,1.6502543592468113,2.109132271342781,1.767861808352937,1.1126105969559148,2.5290036029654828,2.3542321160900217,1.598117398897949,1.289156091950082,1.2789248867842895,1.0902680019661612,2.4955760721767772,1.5091795538697115,2.0287181229105538,1.8489014941472597,0.827748471397064,2.224400673259887,1.3095180558178066,1.0158195028138188,1.3739249819324277,1.395534173297495,1.118611166266594,1.3159341377497287,1.1395203820815876,1.5936195094225298,1.6313755889154105,1.6891012191123056,1.4187960833053281,1.0880253320866382,1.4786406598596884,1.5360539976205645,1.6135920944129614,1.1551078372363799,1.555204012744548,1.4767231063907589,2.153672092389218,1.829196443663894,1.091526221505728,1.7569951237356132,2.070799489445368,2.665813232861738,1.3859591847374155,0.6053422604425035,1.9736941821978282,1.0959822342967915,1.1483804502185708,1.5625894630558024,1.6291812502558072,,2.2568474453823506,2.141660822540172,1.9275842376050298,2.7192297133773113,1.2870650606915774,1.4957979498724328,1.241151327491768,1.0641213887604721,0.7645435465627277,1.7401725627461944,1.5296632136097803,1.1214266885956012,1.3364149211483927,1.7798144993541356,1.3769399333785752,1.6968000568115058,2.2717211355061524,1.2591644154611064,1.5145654184076254,1.0,2.0822977511898686,0.771588309938393,2.020811965700537,1.6181377834121422,2.145482470917713,2.171882447849507,1.318513939101108,1.7614329404117797,1.9330009359217475,0.6037056626928516,2.132688501037285,1.6479052486224677,1.089012323393397,1.6098306949366206,1.8131610765436161,,,1.116622495202885,1.0631696105848694,,,,
9,1.3400364384703696,1.0241917862284224,1.1063751457746875,1.5046459167722697,1.8896206439909342,1.6862348933825468,0.7798344229039477,2.255326330658159,1.872782966522907,1.7707499445458752,1.345680284027834,1.4292573618936593,1.0303780620829937,2.324921699700594,,1.9199859911410555,1.4764124814495598,0.625795600122864,2.063189631974329,1.3357210287311387,1.0240137903386066,1.3443526927667604,1.4678240291797602,1.0441050006066808,1.2060408491575325,,1.4296915259072533,1.5016298846895049,1.4705403246081576,1.074270058793677,1.2605977381647548,1.4851790713732853,1.26084031639936,1.5353641882699673,0.9421134985265734,1.3704365812707142,1.2360513413661594,1.8746289914421708,1.6202125646132386,1.0908101805420654,1.100664236257997,1.905519522739119,2.2406989866115747,0.7579843054070967,0.6142722529075797,1.6655958616351174,1.0574419112908389,0.9331936156856294,1.2421555692162514,1.3667914129480734,1.856005123121984,1.9759097180655003,1.8466930307659346,1.731117114812264,2.374224662402186,1.423729813045247,1.5299164339639393,1.0387533147608656,1.1463465235822272,0.8858463458966184,1.6933377751543626,1.2177552589288807,0.9251844596284841,1.1929855840990022,1.686003372356246,1.1984226934160627,1.338147165595381,2.0694568452093063,1.2154634384865088,1.2404318595146662,1.0,1.8718136197189859,0.6861467574641126,1.8037587423274646,1.3876519728125465,1.819622815433412,2.161175485168123,1.2583966119819279,1.603343587482878,1.7085695527665372,0.5126466358396687,1.7213245872975698,1.5925890007465942,1.228137185185004,1.4101436668227851,1.5081760056324909,0.5606876239237305,,,,,,,
