draw,status,n_cells,n_goods,seconds,error,n_warnings
0,ok,8354,86,9.572713308036327,,1
1,ok,8333,86,22.147799386177212,,1
2,ok,8428,85,7.7881013080477715,,1
3,ok,8454,86,7.488769307965413,,1
4,ok,8298,86,7.036526847165078,,1
5,ok,8476,87,7.330486461985856,,1
6,ok,8232,86,13.637489770073444,,1
7,ok,8370,85,24.376028002006933,,1
8,ok,8188,86,14.939061539014801,,1
9,ok,8453,85,8.911598385078833,,1
10,ok,8502,86,19.744130462175235,,1
11,ok,8421,86,22.75590546312742,,1
12,ok,8358,87,7.827829769812524,,1
13,ok,8363,85,23.22807469405234,,1
14,ok,8353,86,8.522189230890945,,1
15,ok,8443,87,16.590003078104928,,1
16,ok,8475,86,8.682103615021333,,1
17,ok,8407,86,9.157859076978639,,1
18,ok,8397,86,18.556200694059953,,1
19,ok,8395,86,7.783801616169512,,1
20,ok,8399,85,7.2455400000326335,,1
21,ok,8359,87,7.785587307997048,,1
22,ok,8486,87,8.188579153968021,,1
23,ok,8374,85,7.398284615017474,,1
24,ok,8373,85,7.172991154016927,,1
25,ok,8240,83,10.016340616159141,,1
26,ok,8467,86,7.9186614621430635,,1
27,ok,8303,85,8.013417230919003,,1
28,ok,8393,86,7.586194999981672,,1
29,ok,8368,85,13.513476693071425,,1
30,ok,8340,86,11.067453231895342,,1
31,ok,8415,85,7.779600616078824,,1
32,ok,8393,86,8.223304232116789,,1
33,ok,8289,86,8.272863691905513,,1
34,ok,8414,84,7.5609074619133025,,1
35,ok,8324,84,7.6456985380500555,,1
36,ok,8408,85,7.9925006160046905,,1
37,ok,8339,85,8.000854385783896,,1
38,ok,8369,87,7.406262462027371,,1
39,ok,8393,87,7.7934507702011615,,1
40,ok,8385,87,8.06049777008593,,1
41,ok,8371,85,7.7562280769925565,,1
42,ok,8472,86,7.106835153885186,,1
43,ok,8363,85,7.294699614867568,,1
44,ok,8373,88,7.672433000989258,,1
45,ok,8539,88,8.328170232009143,,1
46,ok,8334,86,7.593360922997817,,1
47,ok,8275,87,7.368580308044329,,1
48,ok,8438,86,7.41926746093668,,1
49,ok,8328,86,7.172508846968412,,1
50,ok,8462,86,7.653314769966528,,1
51,ok,8358,86,7.186420076992363,,1
52,ok,8485,85,7.697189846076071,,1
53,ok,8343,86,7.105745615903288,,1
54,ok,8289,86,7.561278154142201,,1
55,ok,8432,86,7.462227153824642,,1
56,ok,8386,86,7.1725810000207275,,1
57,ok,8366,87,9.244742539012805,,1
58,ok,8437,87,9.241365462075919,,1
59,ok,8449,85,8.870132923824713,,1
