j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Avocado,1.6391881622212474,0.4122431081845327,1.1698412366995634,0.29420599697716293,636,fine
Banana,1.765806479022281,0.24620150608636907,1.260205071510704,0.17570690235286018,1208,fine
Banku,1.5116726043279345,0.34638259344021244,1.0788370668413543,0.2472032502554195,805,fine
Beer,1.802075051053119,0.19789524745812212,1.286088903602554,0.14123212109442287,1926,fine
Biscuit,2.052293039854144,0.24463258752627862,1.4646622536362763,0.1745872105011755,1907,fine
Bread,2.0735178632158244,0.11628407564837087,1.4798097969033723,0.08298858544745563,5142,fine
Cassava,1.6686313650202003,0.14125599921478485,1.1908539999494203,0.10081032588030149,2812,fine
Cassava (dough),1.3977567283414325,0.2663687201212753,0.9975385970774076,0.19009966039682363,1367,fine
Chicken,1.2057429503337163,0.24298759723287822,0.8605039108193551,0.17341322845107177,1089,fine
Cocoyam,1.5725960714644451,0.2565466143765437,1.1223163853122873,0.1830899072786457,1002,fine
Coffee,1.7108099845150149,0.1823772515045176,1.2209556621803328,0.13015737568333854,2573,fine
Crustacean,0.9401455363131086,0.1049865026864059,0.6709547093042356,0.07492583400126457,5070,fine
Fish (canned),1.2845322721453332,0.1389039382429906,0.9167335736433727,0.09913172791366662,4129,fine
Fish (dried),1.4586034902066323,0.1822729346777183,1.0409631732121525,0.13008292777767155,2964,fine
Fish (fresh and frozen),1.4733571287065974,0.3585356638727539,1.0514924187901764,0.25587654553180533,614,fine
Fish (fried),1.4482295048597773,0.1879569024463385,1.0335595595652465,0.13413941136939825,3706,fine
Gari,1.7631429724427692,0.16894659712929205,1.258304203811226,0.12057230565531477,3654,fine
Gin,1.1989454652176486,0.26350860985710245,0.8556527420652739,0.18805848232730712,1687,fine
Groundnut,1.6301872314690515,0.14478269323318002,1.1634175324505482,0.1033272255181989,3952,fine
Ice Cream,2.3215366179094947,0.4728223777545083,1.6568136170885788,0.3374396715884192,335,fine
Jam,1.38421015981706,0.20584531872274472,0.9878708024697935,0.14690585728554628,3097,fine
Kenkey/Banku,1.1763834944558031,0.20656591032639346,0.8395509153276708,0.1474201226958244,2710,fine
Koko,1.3766604502686608,0.13693942868131626,0.9824827928694474,0.0977297141924212,4628,fine
Konkonte,1.6497746477855018,0.3407931268405994,1.1773965056126863,0.2432142094179591,901,fine
