j,group,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit,is_member
Bread,millet_sorghum,1.031474187837698,0.09674904859076226,1.35993803756195,0.12755792905717375,5142,probe,False
Crustacean,millet_sorghum,0.5137250518153702,0.05588729429819407,0.6773162596310509,0.07368410981942311,5070,probe,False
Fish (canned),millet_sorghum,0.6979079159433725,0.19033127791675952,0.920150530956692,0.25094059320998174,4129,probe,False
Guinea Corn/Sorghum,millet_sorghum,0.4271985388099416,0.5990095052258408,0.5632361423763896,0.7897587943770864,175,probe,True
Koko,millet_sorghum,0.8073981663281437,0.18231128573741515,1.0645069850455475,0.24036670531802806,4628,probe,False
Millet,millet_sorghum,0.304300990922681,0.5487789325677361,0.40120295524900096,0.7235327392690312,210,probe,True
Oil (palm),millet_sorghum,0.8375777356193305,0.1087297949864112,1.104296971765777,0.14335383838184793,4112,probe,False
Other Condiments & Spices,millet_sorghum,0.4242982927555699,0.0704502310203351,0.5594123385680779,0.09288448518563983,5075,probe,False
Pepper (dried),millet_sorghum,0.8690536210342189,0.11578168176080034,1.1457960750360021,0.15265133624863975,5271,probe,False
Rice,millet_sorghum,0.9539142836819314,0.09509516311248878,1.2576798665919142,0.12537737834810514,4628,probe,False
Salt,millet_sorghum,0.7584714592489002,0.1003506059330207,1.0,0.13230637054213745,3112,probe,False
Bread,goat_mutton,1.0472506727626847,0.0686165993956188,1.4308877478204445,0.09375276992020001,5142,probe,False
Crustacean,goat_mutton,0.48562875727890675,0.03898322927842761,0.6635280901243417,0.05326387138795147,5070,probe,False
Fish (canned),goat_mutton,0.8061197724989361,0.08517649795900124,1.101423886128089,0.11637902032592581,4129,probe,False
Koko,goat_mutton,0.9112612547977542,0.03798358872804481,1.245081620347708,0.0518980346757211,4628,probe,False
Oil (palm),goat_mutton,0.8216163316186252,0.07013061961115365,1.1225972662503885,0.09582141788835673,4112,probe,False
Other Condiments & Spices,goat_mutton,0.38070014886751724,0.059678466642094065,0.5201612114231526,0.08154035031709574,5075,probe,False
Pepper (dried),goat_mutton,0.815059283901901,0.07307519444584289,1.1136381894183025,0.09984467245679951,5271,probe,False
Rice,goat_mutton,0.9017094243743741,0.049194059122007215,1.2320306885340118,0.06721521245485597,4628,probe,False
Salt,goat_mutton,0.7318887693027472,0.05650152647280036,1.0,0.07719960852333888,3112,probe,False
Beer,beer_pito,0.9652691834379417,0.14100204356916565,1.3839928034335094,0.20216724714457804,1926,probe,True
Bread,beer_pito,1.0713272535429696,0.0750278149828526,1.5360577489325618,0.10757409205147872,5142,probe,False
Crustacean,beer_pito,0.518765625314759,0.06599632138180785,0.7438006976946756,0.09462483151092885,5070,probe,False
Fish (canned),beer_pito,0.802628076900911,0.11137447353971858,1.1507996953846138,0.1596875488308555,4129,probe,False
Koko,beer_pito,0.8753410639480284,0.07152356271378683,1.2550548114869857,0.10254973200247237,4628,probe,False
Oil (palm),beer_pito,0.8443953756838144,0.06321779613612746,1.2106852091109637,0.09064101123554842,4112,probe,False
Other Condiments & Spices,beer_pito,0.39375653551448747,0.06289788411676693,0.5645639794653173,0.09018232474671851,5075,probe,False
Pepper (dried),beer_pito,0.8245968400859978,0.057176009117979036,1.1822982769929118,0.08197836055067549,5271,probe,False
Pito,beer_pito,0.6776203669430532,0.36033624291036054,0.9715649555587964,0.5166463154122543,314,probe,True
Rice,beer_pito,0.9354614955101886,0.06854267431052832,1.341254853971504,0.09827576556001895,4628,probe,False
Salt,beer_pito,0.6974524585989408,0.09429776419664208,1.0,0.1352031425712796,3112,probe,False
Bread,millet_sorghum_grain,1.031474187837698,0.13156853655650128,1.35993803756195,0.17346537559474035,5142,probe,False
Crustacean,millet_sorghum_grain,0.5137250518153702,0.08434555375345168,0.6773162596310509,0.11120465078142487,5070,probe,False
Fish (canned),millet_sorghum_grain,0.6979079159433725,0.21575714790995673,0.920150530956692,0.2844631070543075,4129,probe,False
Guinea Corn/Sorghum,millet_sorghum_grain,0.4271985388099416,0.8020163302831571,0.5632361423763896,1.0574113508204759,175,probe,True
Koko,millet_sorghum_grain,0.8073981663281437,0.20652880012503522,1.0645069850455475,0.2722960733810033,4628,probe,False
Millet,millet_sorghum_grain,0.304300990922681,0.7365899648380306,0.40120295524900096,0.9711505368540322,210,probe,True
Oil (palm),millet_sorghum_grain,0.8375777356193305,0.14135250394203994,1.104296971765777,0.18636496102571692,4112,probe,False
Other Condiments & Spices,millet_sorghum_grain,0.4242982927555699,0.08878188034708558,0.5594123385680779,0.11705368641689506,5075,probe,False
Pepper (dried),millet_sorghum_grain,0.8690536210342189,0.11305608411219636,1.1457960750360021,0.1490577960891945,5271,probe,False
Rice,millet_sorghum_grain,0.9539142836819314,0.0826530636049126,1.2576798665919142,0.10897320208562937,4628,probe,False
Salt,millet_sorghum_grain,0.7584714592489002,0.07241911632528539,1.0,0.09548034463551291,3112,probe,False
