j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Agushie Seed,1.2660372776133737,0.2719320260809392,1.7126668518505515,0.3678635497236993,526,fine
Apple,0.957435849521672,0.31736337825050187,1.29519775700467,0.42932206462796585,374,fine
Avocado,1.1951118251312687,0.3060450197379907,1.6167204894751948,0.4140108429250153,388,fine
Banana,1.4542143391368898,0.15691030980589302,1.9672285628275863,0.2122647500749347,1943,fine
Beef,1.5114859671043048,0.167359996450841,2.0447043374400167,0.22640085194609397,2655,fine
Beef (steak),1.6745475946010815,0.21585299510885878,2.2652904522098667,0.29200109359536325,1278,fine
Beer,0.6947372952831281,0.29975228476092186,0.939825041027807,0.4054981720951145,529,fine
Biscuit,2.132862269540619,0.18856785259701753,2.885288271677955,0.25509036438197,2691,fine
Bread,1.72840495600196,0.11959648313816225,2.3381474835393883,0.16178744172111587,5218,fine
Carrot,1.3719664904406705,0.21811411137770403,1.8559655166370528,0.2950598810025804,847,fine
Cassava,0.9047596754097674,0.13957656089701426,1.2239386093642182,0.1888160430743789,2648,fine
Cassava (dough),1.1574419631977308,0.15223160554350798,1.5657615445940638,0.20593550381853357,3338,fine
Cassava (dried),1.438039167257897,0.26035268286791347,1.9453471528643986,0.35219927376767485,1210,fine
Chewing Gum,1.7844722225411163,0.32883206045213415,2.4139940250065557,0.4448366408481633,830,fine
Chicken (thigh),1.426883095696676,0.17469326922092726,1.9302554693116096,0.23632113897949084,1872,fine
Chicken (wing),0.8030782976509538,0.21413353896239162,1.0863863206462272,0.2896750518607815,658,fine
Cocoa (milk powder beverages),1.7439843347508965,0.14088642115187147,2.3592229179105053,0.19058799266758478,2976,fine
Coconut (fresh),1.3490709077504193,0.20802153451895544,1.8249928855615154,0.2814068692458355,821,fine
Cocoyam,0.6452194888034485,0.26719798038477255,0.8728384623277156,0.36145943881611636,624,fine
Cocoyam Leaves,1.2244355161244556,0.15374254401860324,1.6563889213815708,0.2079794675210554,2510,fine
Condiment,1.2356369928614854,0.13147976661666078,1.6715420280384703,0.17786288125567193,5998,fine
Cooked Rice and Stew,0.9570039476638775,0.17025729979035292,1.2946134898522117,0.2303202589628385,4666,fine
Cowpea,0.9149351310792112,0.227625021916593,1.2377037377184033,0.3079260275994467,1581,fine
Crab,1.2536001257214495,0.39728710178610627,1.6958421515408708,0.5374410863947949,325,fine
Curry Power,1.537249510177975,0.2885416660458983,2.079556681038997,0.39033269837529594,419,fine
Eggplant,1.3345014657423733,0.14839761701882836,1.8052836709764775,0.2007489700784114,4161,fine
Fish (canned),1.2272030234836997,0.1572493761171267,1.6601327433054915,0.21272343138084684,1374,fine
Fish (dried),1.1032529749845335,0.17084667111532206,1.4924558959460108,0.23111754728092715,1849,fine
Fish (fried),1.192667332619253,0.1440861562162534,1.6134136347964618,0.19491652254294625,2632,fine
Fish (salted),1.434177054318484,0.24633982955010625,1.9401225730464136,0.33324299988726114,1765,fine
"Fish (smoked, river)",1.0549635277284322,0.1295464649280178,1.4271310140707976,0.175247554064827,3121,fine
"Fish (smoked, sea)",1.4071543541115341,0.1755927181106788,1.903566869900624,0.23753789327705402,2662,fine
Fried Plantain and Beans,0.9331709386322938,0.16577591722458618,1.2623727294338494,0.22425794507480026,1996,fine
Gari (white),2.0563820522242984,0.1979104450401323,2.7818275479408854,0.2677288140316007,2376,fine
Garlic,1.1612261090310627,0.16060556528688494,1.5708806522585184,0.21726360886315643,2031,fine
Ginger,1.0108875051477444,0.1563216618086438,1.367505958655634,0.2114684402583727,2226,fine
Goat,1.3550357871313843,0.32044477641878455,1.8330620406896516,0.43349051100271974,679,fine
Groundnut,1.4034685867883465,0.13627661667231245,1.89858084647961,0.18435195249305214,3365,fine
Herring (smoked),0.8809679166821823,0.11506583253936667,1.1917536514325098,0.15565847914230335,5229,fine
Ice Cream,1.265164022271648,0.3276949447184369,1.7114855315976483,0.4432983761712399,517,fine
Instant Noodle,1.9712878027358396,0.3806914889528455,2.6667139545586136,0.5149909133325519,499,fine
Juice,2.0164001514111156,0.31731631765874113,2.727740928686041,0.42925840211426086,962,fine
Kapla,0.8967979670562359,0.16019086789517828,1.213168188759463,0.2167026155267961,1819,fine
Kenkey/Banku,0.4886048180674657,0.13911187349284698,0.6609736461600206,0.18818742436965163,4836,fine
Mackerel (processed),1.6924659694593742,0.20141823389374805,2.289530028090824,0.27247407216823605,1349,fine
Maize (flour/dough),0.9259944773967054,0.1351972121182616,1.2526645735295048,0.18289175820640022,3705,fine
Maize (grain),0.8013725604228015,0.21973761032423023,1.0840788375568422,0.29725611398789287,1989,fine
Malt Drinks (bottle),1.0803979740105034,0.1857869574573858,1.461538162906568,0.2513284317688183,1408,fine
Malt Drinks (canned),1.2813376050772312,0.23394910452007425,1.7333647918979451,0.31648110479572394,912,fine
Mango,1.2872883203039445,0.35516146506721286,1.741414786075689,0.4804544692569861,505,fine
Milk (evaporated),1.6584345990645344,0.19048437119138695,2.243493153009102,0.2576829877790625,1959,fine
Milk (powder),1.4678296119099987,0.20010213140236457,1.985646998658611,0.27069367821737267,1721,fine
Oil (palm),1.6269033428453894,0.13492711751533584,2.200838376346019,0.18252638028153634,3316,fine
Oil (vegetable),2.117502663200646,0.13841111365331324,2.8645101404956446,0.18723945216575255,4940,fine
Okra,1.2133084399198735,0.12288113426322374,1.6413364620973327,0.16623084414003292,5035,fine
Orange,1.2898015118631094,0.14722799121795357,1.7448145752855664,0.19916672651129966,2036,fine
Other Fish,1.0364141207823137,0.2774725756413396,1.4020377921255545,0.37535868098162006,1050,fine
Other Milk Products,0.9960338114404698,0.3493815203442689,1.3474122147431744,0.47263548958904483,439,fine
Other Prepared Meals,0.6624244231255793,0.1883895477025807,0.8961129118426039,0.25484915751735043,3919,fine
Other Vegetables,1.0720282238476202,0.2853423028736873,1.4502157524880823,0.38600467158732754,1345,fine
Palm Nut,1.1119490363502518,0.19795331798807392,1.5042197328456635,0.26778681159461015,1428,fine
Pepper,1.179132203665128,0.1018268471360066,1.5951036157273932,0.13774907643086728,5740,fine
Pepper (dried),0.8263028142484379,0.2542897806232216,1.1178039261386548,0.3439975155066001,2210,fine
Pepper (powder),1.5977731838362756,0.20939018111293545,2.1614317501698186,0.28325834368095365,2051,fine
Pineapple,1.1713939544367111,0.22083917499727268,1.5846354856184195,0.2987462859868137,726,fine
Plantain,1.3072685277744047,0.13739573961852544,1.7684435628999082,0.18586587693036213,3063,fine
Rice (imported),1.726117971340286,0.13321627487001617,2.335053701950174,0.1802119906982415,4206,fine
Rice (local),1.0588483879563804,0.18640418270483294,1.4323863659108491,0.25216340024890976,2962,fine
Salmon (smoked),1.2045903507898683,0.10113924559864819,1.6295428265318892,0.1368189044832172,4327,fine
Salt,0.7392198174708697,0.10208030730723949,1.0,0.13809195166938573,5116,fine
Soft Drinks,1.7057781351876489,0.2374642610273932,2.307538427505521,0.3212363297291484,1473,fine
Soup,0.5486496839926686,0.21145364219591042,0.7422009949216345,0.2860497475830227,1870,fine
Spaghetti,0.949011894136415,0.3036402155670856,1.2838020189763277,0.41075767774455135,311,fine
Sugar (granulated),1.4828317357005398,0.1156988258413592,2.005941535460761,0.15651477829315433,4770,fine
Sugar Bread,1.1710071197490364,0.14780221924895257,1.5841121843235513,0.19994352932073142,4440,fine
Sweet Pepper,1.7596225501285288,0.2932865110713963,2.380377945154142,0.39675141837353917,463,fine
Tea,1.8247183791386663,0.30116052086493206,2.4684381235633914,0.40740320233203137,972,fine
Tilapia,1.1490295068310108,0.2728194586488828,1.554381362180256,0.3690640486104578,492,fine
Tomato (fresh),1.4404831969741203,0.09301916170375887,1.948653381483357,0.12583423699598592,6670,fine
Tomato (paste),1.4816112150377263,0.09304326981806985,2.00429044246519,0.12586684991265995,5711,fine
Tuo Zaafi,0.3955265891907305,0.2793732295870747,0.5350595044163801,0.37792984303763466,1067,fine
Water,1.517639394639766,0.15266393890285354,2.0530285562853856,0.20652035469661842,4683,fine
Watermelon,1.419509348410178,0.19659755644370516,1.9202804292596176,0.2659527677657971,981,fine
White Oat,1.022581213774972,0.24033765987006583,1.383324945580573,0.32512339927837064,499,fine
Yam,1.1891158396224097,0.10043895835801739,1.6086092546744648,0.13587157160052107,3357,fine
Yoghurt,1.6123328264001293,0.1999222382792853,2.1811277082864002,0.27045032283264453,1446,fine
