id,label,section,members_in_wave,members_absent,n_in_wave,status,fit,spread,sigma_min,ratio,passes,betas,ses
sugar_refined,Sugar (cubed/granulated),groups,"[""Sugar (cubed)"", ""Sugar (granulated)""]",[],2,gated,probe,0.05114087347666722,0.14668697923666293,0.2586346357194722,True,"{""Sugar (cubed)"": 2.14454997685454, ""Sugar (granulated)"": 2.195690850331207}","{""Sugar (cubed)"": 0.6601380152949681, ""Sugar (granulated)"": 0.14668697923666293}"
malt_packaging,Malt Drinks,groups,"[""Malt Drinks (bottle)"", ""Malt Drinks (canned)""]",[],2,gated,fine,0.16129510159374807,0.24992433058678465,0.4787653910915176,True,"{""Malt Drinks (bottle)"": 1.3877025321730874, ""Malt Drinks (canned)"": 1.5489976337668354}","{""Malt Drinks (bottle)"": 0.2814077061115274, ""Malt Drinks (canned)"": 0.24992433058678465}"
pasta,Macaroni/Spaghetti,groups,"[""Macaroni"", ""Spaghetti""]","[""Macaroni/Spaghetti"", ""Macaroni""]",2,member_unidentified,probe,,,,,"{""Spaghetti"": 1.0126162850919247}","{""Spaghetti"": 0.3163526896472304}"
fish_fresh_frozen_named,"Fish (kapla/tilapia, fresh or frozen)",groups,"[""Kapla"", ""Tilapia""]",[],2,gated,fine,0.580638830033325,0.19551475800963763,2.203112318577905,False,"{""Kapla"": 1.1595888930502267, ""Tilapia"": 1.7402277230835517}","{""Kapla"": 0.19551475800963763, ""Tilapia"": 0.3880066019612206}"
rice_unprepared,Rice,groups,"[""Rice (imported)"", ""Rice (local)""]","[""Rice""]",2,gated,fine,0.8691102869122554,0.15250580453084905,4.227646094582495,False,"{""Rice (imported)"": 2.10466798659194, ""Rice (local)"": 1.2355576996796849}","{""Rice (imported)"": 0.15250580453084905, ""Rice (local)"": 0.24406478721925604}"
gari,Gari,groups,"[""Gari (white)"", ""Gari (yellow)""]","[""Gari""]",2,gated,probe,1.2246764790698943,0.23938763540977132,3.795157201639413,False,"{""Gari (white)"": 2.702360753439139, ""Gari (yellow)"": 1.4776842743692449}","{""Gari (white)"": 0.23938763540977132, ""Gari (yellow)"": 0.4785417430508383}"
smoked_fish_origin,Fish (smoked),groups,"[""Fish (smoked, river)"", ""Fish (smoked, sea)""]","[""Fish (smoked)""]",2,gated,fine,0.2765226245053478,0.177192778164808,1.1576966073013233,False,"{""Fish (smoked, river)"": 1.3174616122548433, ""Fish (smoked, sea)"": 1.593984236760191}","{""Fish (smoked, river)"": 0.177192778164808, ""Fish (smoked, sea)"": 0.22852032396799146}"
millet_sorghum,Millet/Sorghum,groups,"[""Millet"", ""Millet (flour)"", ""Guinea Corn/Sorghum""]","[""Millet/Sorghum"", ""Guinea Corn/Sorghum""]",3,member_unidentified,probe,,,,,"{""Millet"": 0.9940999474909166, ""Millet (flour)"": 0.3713846062316545}","{""Millet"": 0.9299110985917102, ""Millet (flour)"": 0.4043146365492831}"
palm_shea,Oil (palm)/Shea Butter,groups,"[""Oil (palm)"", ""Shea Butter""]","[""Oil (palm)/Shea Butter""]",2,gated,probe,0.7829088980571006,0.17551140580084415,3.309146482137867,False,"{""Oil (palm)"": 1.8356723368863184, ""Shea Butter"": 1.052763438829218}","{""Oil (palm)"": 0.17551140580084415, ""Shea Butter"": 0.3084952833021667}"
cocoa_forms,Cocoa Powder,groups,"[""Cocoa Powder"", ""Cocoa (milk powder beverages)""]","[""Cocoa Powder""]",2,member_unidentified,probe,,,,,"{""Cocoa (milk powder beverages)"": 2.757850191889976}","{""Cocoa (milk powder beverages)"": 0.22648515970836378}"
goat_mutton,Goat/Mutton,groups,"[""Goat"", ""Mutton""]",[],2,gated,probe,0.32662178343132797,0.4586884407039588,0.528247509164398,True,"{""Goat"": 2.221317064678943, ""Mutton"": 1.8946952812476152}","{""Goat"": 0.4586884407039588, ""Mutton"": 0.7056993521130036}"
beer_pito,Beer/Pito,groups,"[""Beer"", ""Pito""]",[],2,gated,probe,0.10748385800451786,0.5182334469553344,0.15386077485941949,True,"{""Beer"": 1.1776785461315713, ""Pito"": 1.2851624041360892}","{""Beer"": 0.5929755709575204, ""Pito"": 0.5182334469553344}"
crab_shrimp,Crab and shrimp,groups,"[""Crab"", ""Shrimp""]",[],2,gated,probe,0.372798808977365,0.4570066004822947,0.6051487651637304,True,"{""Crab"": 1.6183974586808145, ""Shrimp"": 1.2455986497034495}","{""Crab"": 0.4570066004822947, ""Shrimp"": 0.8113034156958557}"
bread_types,Bread (including sugar bread),groups,"[""Bread"", ""Sugar Bread""]",[],2,gated,fine,0.6655328512520446,0.16065276628067343,3.073204052523165,False,"{""Bread"": 2.133414896907749, ""Sugar Bread"": 1.4678820456557047}","{""Bread"": 0.1613682037009337, ""Sugar Bread"": 0.16065276628067343}"
named_spirits,Spirits (gin/whisky/schnapps),groups,"[""Gin"", ""Whisky"", ""Schnapps""]","[""Whisky"", ""Schnapps""]",3,member_unidentified,probe,,,,,"{""Gin"": 1.0799836491035175}","{""Gin"": 1.3491979535175544}"
tinned_milk_forms,Milk (evaporated/condensed),groups,"[""Milk (evaporated)"", ""Milk (tinned, condensed/unsweetened)""]","[""Milk (tinned, condensed/unsweetened)""]",2,member_unidentified,probe,,,,,"{""Milk (evaporated)"": 1.9145015206757152}","{""Milk (evaporated)"": 0.20709206293487037}"
coconut_forms,Coconut (fresh/dried),groups,"[""Coconut (fresh)"", ""Coconut (dried)""]","[""Coconut (dried)""]",2,member_unidentified,probe,,,,,"{""Coconut (fresh)"": 1.2965929945508112}","{""Coconut (fresh)"": 0.2364124797546357}"
named_processed_fish,Fish (canned or in oil/sauce),groups,"[""Fish (canned)"", ""Tuna (processed)"", ""Mackerel (processed)""]",[],3,gated,probe,1.29935490030659,0.18636895128516506,5.172069296652023,False,"{""Fish (canned)"": 1.5910685926693948, ""Tuna (processed)"": 0.5572181422735663, ""Mackerel (processed)"": 1.8565730425801563}","{""Fish (canned)"": 0.18636895128516506, ""Tuna (processed)"": 0.4498082563825591, ""Mackerel (processed)"": 0.2946327449269293}"
chicken_cuts,Chicken cuts,deferred_alternatives,"[""Chicken (breast)"", ""Chicken (thigh)"", ""Chicken (wing)""]",[],3,gated,probe,0.7055681147806985,0.1670876297895997,3.1325986455975134,False,"{""Chicken (breast)"": 0.9637008232913868, ""Chicken (thigh)"": 1.6692689380720853, ""Chicken (wing)"": 1.1802360407892785}","{""Chicken (breast)"": 0.26722683396772146, ""Chicken (thigh)"": 0.1670876297895997, ""Chicken (wing)"": 0.3237115557051881}"
pork_cuts,Pork cuts,deferred_alternatives,"[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]","[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]",3,member_unidentified,probe,,,,,{},{}
smoked_fish_broad,Smoked fish (all species),deferred_alternatives,"[""Fish (smoked, river)"", ""Fish (smoked, sea)"", ""Herring (smoked)"", ""Salmon (smoked)""]","[""Fish (smoked)""]",4,gated,fine,0.4857095824968115,0.12644550642920482,2.849596569722264,False,"{""Fish (smoked, river)"": 1.3174616122548433, ""Fish (smoked, sea)"": 1.593984236760191, ""Herring (smoked)"": 1.1082746542633795, ""Salmon (smoked)"": 1.4805853308159946}","{""Fish (smoked, river)"": 0.177192778164808, ""Fish (smoked, sea)"": 0.22852032396799146, ""Herring (smoked)"": 0.12644550642920482, ""Salmon (smoked)"": 0.14971010360591938}"
sausage,Sausage,deferred_alternatives,"[""Sausage (beef)"", ""Sausage (pork)"", ""Sausage (chicken)""]","[""Sausage (beef)"", ""Sausage (pork)"", ""Sausage (chicken)""]",3,member_unidentified,probe,,,,,{},{}
dried_pepper_forms,Pepper (dried/powder),deferred_alternatives,"[""Pepper (dried)"", ""Pepper (powder)""]",[],2,gated,fine,1.2533808942180358,0.2165018534992255,4.294687412602418,False,"{""Pepper (dried)"": 1.024402199835069, ""Pepper (powder)"": 2.2777830940531048}","{""Pepper (dried)"": 0.2165018534992255, ""Pepper (powder)"": 0.2587622737871887}"
millet_sorghum_grain,Millet/Sorghum (grain),deferred_alternatives,"[""Millet"", ""Guinea Corn/Sorghum""]","[""Millet/Sorghum""]",2,gated,probe,0.34330443987517034,0.7586865928502211,0.3356812768018314,True,"{""Millet"": 1.317878217433072, ""Guinea Corn/Sorghum"": 1.6611826573082424}","{""Millet"": 0.7586865928502211, ""Guinea Corn/Sorghum"": 1.106752986294006}"
