j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Agushie Seed,1.450453773963792,0.2189045927891346,1.7739672225275034,0.2677297128935246,614,fine
Apple,0.9624256250880908,0.2787584091420517,1.1770878491088244,0.34093349936311407,407,fine
Avocado,1.4375386912851433,0.3035670638217206,1.758171522065058,0.3712755488835663,421,fine
Banana,1.6087369183255953,0.15962884563301316,1.9675543019758124,0.19523292986373858,1883,fine
Beef,1.6018137691423453,0.1405150884738521,1.9590869933664583,0.17185598444958675,2720,fine
Beef (steak),1.8550682613861678,0.2062295590619191,2.268828107673492,0.25222760260216126,1270,fine
Biscuit,2.2267471372331373,0.19632615165923326,2.723407326186975,0.24011531027057573,2776,fine
Bread,1.7443499797259887,0.13193993501317267,2.133414896907749,0.1613682037009337,5266,fine
Carrot,1.3850826230411677,0.243599705691941,1.6940154990618723,0.2979328959473874,834,fine
Cassava,0.9637038022598429,0.12058152464760614,1.1786511146523202,0.14747638029351318,2677,fine
Cassava (dough),1.2016900614908483,0.1469342287147304,1.46971852463534,0.17970686848914227,3344,fine
Cassava (dried),1.6475231278082774,0.2865614751058037,2.0149915009706705,0.35047698396316973,1218,fine
Cerelac (Baby food),1.2375728211810035,0.5384018984193898,1.5136046799108789,0.6584886312732794,388,fine
Chewing Gum,2.134512120233937,0.3385485410697566,2.610599941447851,0.4140593970471801,886,fine
Chicken (thigh),1.3987659512420023,0.19559663783196773,1.7107507967728994,0.2392230835473393,1901,fine
Chicken (wing),1.1243528883297478,0.2473372338969379,1.3751318423615544,0.30250405336581204,666,fine
Cocoa (milk powder beverages),1.8841141533184944,0.12827095831197938,2.304352480226374,0.15688088771405656,2997,fine
Coconut (fresh),1.4010087035624463,0.26773536652135754,1.7134937791251343,0.3274518451024639,834,fine
Cocoyam,0.5316550178773147,0.22387775875170915,0.6502369067779571,0.2738121083260156,608,fine
Cocoyam Leaves,1.3288907480846945,0.13335453126907024,1.6252904240994794,0.16309831563977514,2573,fine
Condiment,1.265762534880451,0.1387105853806793,1.5480819097357177,0.169648999713017,6005,fine
Cooked Rice and Stew,0.912812996474465,0.15545634007096804,1.1164094748208346,0.1901297764673681,4752,fine
Cowpea,0.9921805675388213,0.20556817480669243,1.2134794208798705,0.2514187012698137,1680,fine
Curry Power,1.64723219935122,0.2633717187641081,2.014635682980339,0.32211491659707503,442,fine
Dawadawa,0.8411516266997768,0.32511239829960537,1.0287645437077846,0.3976264177276729,1428,fine
Eggplant,1.442211733163542,0.1344667284654618,1.7638868528605534,0.16445858054914472,4198,fine
Fish (canned),1.3208376823576753,0.18279229978753342,1.6154411790583558,0.22356282852596457,1456,fine
Fish (dried),1.264899801203007,0.16334033264363973,1.547026749417596,0.1997722377836975,1826,fine
Fish (fried),1.1883469052253806,0.16611410298815746,1.4533992718022652,0.20316467797194723,2649,fine
Fish (salted),1.4351100829824566,0.20780408463186242,1.755201229869154,0.25415331495663207,1826,fine
"Fish (smoked, river)",1.0771998170433121,0.14487862602224044,1.3174616122548433,0.177192778164808,3165,fine
"Fish (smoked, sea)",1.303293782707853,0.1868457106296183,1.593984236760191,0.22852032396799146,2731,fine
Fried Plantain and Beans,1.0024011230427865,0.21806169674094963,1.2259795989520812,0.26669881484746566,1976,fine
Gari (white),2.066607749502812,0.1827808533026471,2.5275499814245275,0.2235488289836379,2377,fine
Garlic,1.212478485340785,0.15655309679138021,1.482913230068951,0.19147115701187245,2091,fine
Ginger,1.1666055341558983,0.15185312711713192,1.4268086417922723,0.18572289236624723,2268,fine
Goat,1.5054325124791195,0.29330059883261844,1.841208579551637,0.35871922154048747,677,fine
Groundnut,1.498689296329321,0.14703821751467844,1.8329613367653537,0.1798340512549285,3344,fine
Herring (smoked),0.906161700425563,0.10338599252115528,1.1082746542633795,0.12644550642920482,5289,fine
Ice Cream,1.174412123073596,0.2704813853070284,1.436356435116217,0.3308103439430802,540,fine
Instant Noodle,1.9826371899351773,0.3534123060430094,2.4248503828546277,0.43223841959806425,513,fine
Juice,2.0453511613782784,0.28746628538449265,2.501552261764258,0.35158360577064296,968,fine
Kapla,0.9481179047800139,0.1598592775669505,1.1595888930502267,0.19551475800963763,1819,fine
Kenkey/Banku,0.5426829600281455,0.15703156760058049,0.663724553374264,0.19205634734864405,4847,fine
Mackerel (processed),1.7223150427138734,0.23577512890588861,2.1064652231493586,0.2883631026883621,1360,fine
Maize (flour/dough),0.9527641447056205,0.1297346390233185,1.1652714439070528,0.15867103204872612,3732,fine
Maize (grain),0.7494556223411459,0.18921983676804124,0.9166163945637974,0.2314239821384953,2028,fine
Malt Drinks (bottle),1.1346310965440394,0.23008816857980605,1.3877025321730874,0.2814077061115274,1410,fine
Malt Drinks (canned),1.266511260877176,0.20434632833209293,1.5489976337668354,0.24992433058678465,921,fine
Mango,1.10256313139515,0.310968257025846,1.3484820343616872,0.3803275258492518,533,fine
Milk (evaporated),1.5472581644866406,0.174686102575515,1.8923631472145679,0.21364860139815578,1978,fine
Milk (powder),1.5628244330202363,0.21346032137036355,1.9114013617728964,0.26107113526712433,1768,fine
Oil (palm),1.7281508629819438,0.13658285098738732,2.1136026818246716,0.16704668922253554,3320,fine
Oil (vegetable),2.2099111801515305,0.14650555972713575,2.702816228036338,0.17918258791780847,4984,fine
Okra,1.2385975657210746,0.13678788388386184,1.5148579864678897,0.16729745325542966,5030,fine
Orange,1.3355667505268052,0.12489096366011182,1.6334554616362864,0.15274700917731046,2021,fine
Other Fish,1.0903144058367333,0.2482149156302166,1.3335013172589383,0.303577495797826,1084,fine
Other Milk Products,1.034494268520966,0.2971777897628536,1.2652308933870033,0.363461192466539,448,fine
