j,group,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit,is_member
Bread,sugar_refined,0.9545677806064619,0.09593413960576973,2.158090628559348,0.21688828373254057,5266,probe,False
Condiment,sugar_refined,0.7141383586717273,0.061877486867452564,1.6145268368109598,0.13989286799792658,6005,probe,False
Herring (smoked),sugar_refined,0.4342818925097813,0.06665585337268012,0.9818262269264283,0.150695817965714,5289,probe,False
Oil (vegetable),sugar_refined,1.1950784082581487,0.08276504588954657,2.7018380105150537,0.18711554437028705,4984,probe,False
Okra,sugar_refined,0.5799638786434298,0.08228247560787592,1.311184639615778,0.186024547561414,5030,probe,False
Pepper,sugar_refined,0.6611610034130754,0.052327513876769045,1.4947554216926753,0.11830225114189243,5785,probe,False
Salt,sugar_refined,0.4423205253635209,0.06370979653377214,1.0,0.14403536096682892,5185,probe,False
Sugar (cubed),sugar_refined,0.9485784724306268,0.29199259373770226,2.14454997685454,0.6601380152949681,192,probe,True
Sugar (granulated),sugar_refined,0.9711991304543756,0.06488266171994864,2.195690850331207,0.14668697923666293,4746,probe,True
Tomato (fresh),sugar_refined,0.798095471812663,0.054614509537062754,1.8043374115563566,0.12347270001132742,6699,probe,False
Tomato (paste),sugar_refined,0.8982028024406529,0.06698541436371619,2.0306604621218183,0.1514408907627885,5729,probe,False
Bread,pasta,0.8343775593775821,0.09134811795831699,2.160022654885786,0.23648047823617585,5266,probe,False
Condiment,pasta,0.6599096988484706,0.04496578239161058,1.7083631788406066,0.11640666454763814,6005,probe,False
Herring (smoked),pasta,0.4828306454652929,0.04317947771334214,1.2499438904566744,0.11178230890645027,5289,probe,False
Oil (vegetable),pasta,1.0837028630552337,0.07293003552166621,2.805471826339708,0.18880005481683457,4984,probe,False
Okra,pasta,0.6415382004410656,0.0473081738282394,1.660803351376173,0.122470608277744,5030,probe,False
Pepper,pasta,0.6763831898675451,0.04334942447618271,1.7510094765583955,0.11222226424050068,5785,probe,False
Salt,pasta,0.3862818556510468,0.0405021080817509,1.0,0.10485117923410582,5185,probe,False
Spaghetti,pasta,0.39115529766777807,0.12220130399713186,1.0126162850919247,0.3163526896472304,330,probe,True
Tomato (fresh),pasta,0.7950177377303869,0.03955055517080989,2.0581286076469962,0.10238781499107855,6699,probe,False
Tomato (paste),pasta,0.8567533540729851,0.05688560873284954,2.2179487375325895,0.14726451139407895,5729,probe,False
Bread,gari,0.8739336644546906,0.06515824959540978,2.144310155957947,0.15987425823567616,5266,probe,False
Condiment,gari,0.6807790918905391,0.047534385971748,1.6703802360280804,0.11663181170626333,6005,probe,False
Gari (white),gari,1.1013724061184373,0.09756467032416918,2.702360753439139,0.23938763540977132,2377,probe,True
Gari (yellow),gari,0.6022440500122832,0.19503416422151007,1.4776842743692449,0.4785417430508383,251,probe,True
Herring (smoked),gari,0.5423644592423733,0.0537672750824647,1.3307618935926195,0.1319250175463302,5289,probe,False
Oil (vegetable),gari,1.1026055945842808,0.07107457859148564,2.7053865420762757,0.17439074257340897,4984,probe,False
Okra,gari,0.6821758824576124,0.06228677746031593,1.6738074437448016,0.15282872707894474,5030,probe,False
Pepper,gari,0.6664907562409624,0.03883953765206946,1.6353219421423073,0.09529786805044344,5785,probe,False
