id,label,section,members_in_wave,members_absent,n_in_wave,status,fit,spread,sigma_min,ratio,passes,betas,ses
sugar_refined,Sugar (cubed/granulated),groups,"[""Sugar (cubed)"", ""Sugar (granulated)""]",[],2,gated,probe,0.4121204184758181,0.16384531062252353,1.8659509524426559,False,"{""Sugar (cubed)"": 1.3066199549715236, ""Sugar (granulated)"": 1.7187403734473417}","{""Sugar (cubed)"": 0.6154669437949892, ""Sugar (granulated)"": 0.16384531062252353}"
malt_packaging,Malt Drinks,groups,"[""Malt Drinks (bottle)"", ""Malt Drinks (canned)""]",[],2,gated,fine,0.26916463647984046,0.24976820701848054,0.7994493471091817,True,"{""Malt Drinks (bottle)"": 1.255398745921301, ""Malt Drinks (canned)"": 1.5245633824011415}","{""Malt Drinks (bottle)"": 0.24976820701848054, ""Malt Drinks (canned)"": 0.29056820857998755}"
pasta,Macaroni/Spaghetti,groups,"[""Macaroni"", ""Spaghetti""]","[""Macaroni/Spaghetti"", ""Macaroni""]",2,member_unidentified,probe,,,,,"{""Spaghetti"": 0.5011650375472484}","{""Spaghetti"": 0.21857171617377513}"
fish_fresh_frozen_named,"Fish (kapla/tilapia, fresh or frozen)",groups,"[""Kapla"", ""Tilapia""]",[],2,gated,fine,0.2070075761731834,0.20889463332985572,0.7351383265292433,True,"{""Kapla"": 1.0907493918105355, ""Tilapia"": 1.297756967983719}","{""Kapla"": 0.20889463332985572, ""Tilapia"": 0.3261698017859024}"
rice_unprepared,Rice,groups,"[""Rice (imported)"", ""Rice (local)""]","[""Rice""]",2,gated,fine,0.7438580525281882,0.14274518089648414,3.8657941209529736,False,"{""Rice (imported)"": 1.9769028059676896, ""Rice (local)"": 1.2330447534395015}","{""Rice (imported)"": 0.14274518089648414, ""Rice (local)"": 0.21380145072067802}"
gari,Gari,groups,"[""Gari (white)"", ""Gari (yellow)""]","[""Gari""]",2,gated,probe,0.9003150756566991,0.31146613604498796,2.144340731488219,False,"{""Gari (white)"": 2.4015809963503614, ""Gari (yellow)"": 1.501265920693662}","{""Gari (white)"": 0.31146613604498796, ""Gari (yellow)"": 0.5325237486092097}"
smoked_fish_origin,Fish (smoked),groups,"[""Fish (smoked, river)"", ""Fish (smoked, sea)""]","[""Fish (smoked)""]",2,gated,fine,0.38621625217417227,0.17878143067270777,1.6025745613033764,False,"{""Fish (smoked, river)"": 1.2433069536659447, ""Fish (smoked, sea)"": 1.629523205840117}","{""Fish (smoked, river)"": 0.17878143067270777, ""Fish (smoked, sea)"": 0.19347604537092022}"
millet_sorghum,Millet/Sorghum,groups,"[""Millet"", ""Millet (flour)"", ""Guinea Corn/Sorghum""]","[""Millet/Sorghum""]",3,gated,probe,0.9603205764845865,0.44432033085195144,1.6033567204185033,False,"{""Millet"": 1.6442765593810542, ""Millet (flour)"": 0.8197719611099791, ""Guinea Corn/Sorghum"": 1.7800925375945655}","{""Millet"": 0.5041229471063692, ""Millet (flour)"": 0.5424925336786272, ""Guinea Corn/Sorghum"": 0.44432033085195144}"
palm_shea,Oil (palm)/Shea Butter,groups,"[""Oil (palm)"", ""Shea Butter""]","[""Oil (palm)/Shea Butter""]",2,gated,probe,0.15847948380490418,0.17051474011829357,0.6894792940658777,True,"{""Oil (palm)"": 1.4327893714479971, ""Shea Butter"": 1.274309887643093}","{""Oil (palm)"": 0.17051474011829357, ""Shea Butter"": 0.30720094788824626}"
cocoa_forms,Cocoa Powder,groups,"[""Cocoa Powder"", ""Cocoa (milk powder beverages)""]","[""Cocoa (milk powder beverages)""]",2,member_unidentified,probe,,,,,"{""Cocoa Powder"": 1.3976901230343892}","{""Cocoa Powder"": 0.8488263012221477}"
goat_mutton,Goat/Mutton,groups,"[""Goat"", ""Mutton""]",[],2,gated,probe,0.893983617516372,1.2293025921502811,0.5394868593229488,True,"{""Goat"": 5.402631387542593, ""Mutton"": 6.296615005058965}","{""Goat"": 1.2293025921502811, ""Mutton"": 2.4964916805051893}"
beer_pito,Beer/Pito,groups,"[""Beer"", ""Pito""]",[],2,gated,probe,0.20537752438234178,0.2874106859181186,0.5301028159297234,True,"{""Beer"": 0.9813235321467858, ""Pito"": 1.1867010565291276}","{""Beer"": 0.2874106859181186, ""Pito"": 0.5079151196172128}"
crab_shrimp,Crab and shrimp,groups,"[""Crab"", ""Shrimp""]",[],2,gated,probe,0.6457650987655709,0.2580510799386642,1.8564317873994711,False,"{""Crab"": 0.9359975314937096, ""Shrimp"": 0.29023243272813876}","{""Crab"": 0.2580510799386642, ""Shrimp"": 0.29829416865190883}"
bread_types,Bread (including sugar bread),groups,"[""Bread"", ""Sugar Bread""]",[],2,gated,fine,0.5276408337711267,0.13398204199025568,2.921473244132643,False,"{""Bread"": 1.9301735021107107, ""Sugar Bread"": 1.402532668339584}","{""Bread"": 0.13398204199025568, ""Sugar Bread"": 0.15059478135561505}"
named_spirits,Spirits (gin/whisky/schnapps),groups,"[""Gin"", ""Whisky"", ""Schnapps""]","[""Whisky"", ""Schnapps""]",3,member_unidentified,probe,,,,,"{""Gin"": 0.547727181905903}","{""Gin"": 0.6695314665035915}"
tinned_milk_forms,Milk (evaporated/condensed),groups,"[""Milk (evaporated)"", ""Milk (tinned, condensed/unsweetened)""]","[""Milk (tinned, condensed/unsweetened)""]",2,member_unidentified,probe,,,,,"{""Milk (evaporated)"": 1.3738467948358335}","{""Milk (evaporated)"": 0.2868352054352485}"
coconut_forms,Coconut (fresh/dried),groups,"[""Coconut (fresh)"", ""Coconut (dried)""]","[""Coconut (dried)""]",2,member_unidentified,probe,,,,,"{""Coconut (fresh)"": 0.9267696419625199}","{""Coconut (fresh)"": 0.32736133320652905}"
named_processed_fish,Fish (canned or in oil/sauce),groups,"[""Fish (canned)"", ""Tuna (processed)"", ""Mackerel (processed)""]",[],3,gated,probe,0.9874298932815709,0.18696806706881974,3.9178602480692706,False,"{""Fish (canned)"": 0.9865835396103105, ""Tuna (processed)"": 0.28573138369494744, ""Mackerel (processed)"": 1.2731612769765184}","{""Fish (canned)"": 0.18696806706881974, ""Tuna (processed)"": 0.4354407968295331, ""Mackerel (processed)"": 0.26565766182877965}"
chicken_cuts,Chicken cuts,deferred_alternatives,"[""Chicken (breast)"", ""Chicken (thigh)"", ""Chicken (wing)""]",[],3,gated,probe,0.7207716296961584,0.18776330088713156,2.8477186550536744,False,"{""Chicken (breast)"": 0.5067531711949315, ""Chicken (thigh)"": 1.22752480089109, ""Chicken (wing)"": 0.7567093316929355}","{""Chicken (breast)"": 0.2611470222727025, ""Chicken (thigh)"": 0.2444728706894666, ""Chicken (wing)"": 0.18776330088713156}"
pork_cuts,Pork cuts,deferred_alternatives,"[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]","[""Pork (rib)"", ""Pork (shoulder)"", ""Pork (fillet)""]",3,member_unidentified,probe,,,,,{},{}
smoked_fish_broad,Smoked fish (all species),deferred_alternatives,"[""Fish (smoked, river)"", ""Fish (smoked, sea)"", ""Herring (smoked)"", ""Salmon (smoked)""]","[""Fish (smoked)""]",4,gated,fine,0.5078221452603201,0.12079647179954292,3.1186561501052896,False,"{""Fish (smoked, river)"": 1.2433069536659447, ""Fish (smoked, sea)"": 1.629523205840117, ""Herring (smoked)"": 1.1217010605797968, ""Salmon (smoked)"": 1.3834079505663914}","{""Fish (smoked, river)"": 0.17878143067270777, ""Fish (smoked, sea)"": 0.19347604537092022, ""Herring (smoked)"": 0.1378907830829317, ""Salmon (smoked)"": 0.12079647179954292}"
sausage,Sausage,deferred_alternatives,"[""Sausage (beef)"", ""Sausage (pork)"", ""Sausage (chicken)""]","[""Sausage (beef)"", ""Sausage (pork)""]",3,member_unidentified,probe,,,,,"{""Sausage (chicken)"": NaN}","{""Sausage (chicken)"": NaN}"
dried_pepper_forms,Pepper (dried/powder),deferred_alternatives,"[""Pepper (dried)"", ""Pepper (powder)""]",[],2,gated,fine,0.8427937952259468,0.23095041028747895,2.707152363152,False,"{""Pepper (dried)"": 1.045793159374801, ""Pepper (powder)"": 1.8885869546007479}","{""Pepper (dried)"": 0.30363711772556645, ""Pepper (powder)"": 0.23095041028747895}"
millet_sorghum_grain,Millet/Sorghum (grain),deferred_alternatives,"[""Millet"", ""Guinea Corn/Sorghum""]","[""Millet/Sorghum""]",2,gated,probe,0.11779872778137178,0.2827587634748654,0.309054188734317,True,"{""Millet"": 1.5631872219185625, ""Guinea Corn/Sorghum"": 1.6809859496999344}","{""Millet"": 0.2827587634748654, ""Guinea Corn/Sorghum"": 0.3717014720964436}"
