j,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit
Agushie Seed,1.261888339242141,0.27182547622772935,1.5287925089355718,0.3293197495147431,526,fine
Apple,0.9641338359066577,0.311187207830992,1.1680594392611954,0.3770069485659212,374,fine
Avocado,1.0431365194741549,0.3101381259830828,1.2637721161025819,0.37573597361475625,614,fine
Banana,1.3719260113120388,0.14828021423457877,1.6621044379943668,0.17964321699123553,2133,fine
Beef,1.4271008048381728,0.1618538793818139,1.728949346851738,0.19608787136402708,2661,fine
Beef (steak),1.5793761734987808,0.21113214840191147,1.9134327402425928,0.25578907169089765,1278,fine
Beer,0.6065866112950231,0.30341271571637407,0.7348867871505854,0.3675880602728851,529,fine
Biscuit,2.03562140445658,0.20839833102128197,2.4661791835172546,0.25247701990126437,2691,fine
Bread,1.5931942502279217,0.11059079336611251,1.9301735021107107,0.13398204199025568,5218,fine
Carrot,1.348373827409068,0.21344879991075877,1.6335706912275496,0.2585957221388026,851,fine
Cassava,0.7089128116298148,0.14348532291328292,0.8588561778445524,0.17383414997223154,4137,fine
Cassava (dough),1.1744855177624085,0.14547709101272158,1.4229029665864465,0.17624720036287655,4180,fine
Cassava (dried),1.4579436311426206,0.27669296895677453,1.7663157923147015,0.33521677398992905,1210,fine
Chewing Gum,1.6871744668938138,0.35596616515279783,2.0440316357972828,0.4312571800504568,830,fine
Chicken (live),0.6309148184253013,0.22067008371163835,0.7643606951501943,0.2673443920776284,1006,fine
Chicken (thigh),1.3896637606128475,0.15437476472169057,1.6835939291111002,0.187026836318142,1872,fine
Chicken (wing),0.8204280264409735,0.2220615983082551,0.9939581672472192,0.269030228316245,658,fine
Cocoa (milk powder beverages),1.6625345844490755,0.14464032056603707,2.0141801295022073,0.175233443162015,2976,fine
Coconut (fresh),1.269229492720496,0.245114710136255,1.53768640239321,0.29695934341645003,964,fine
Cocoyam,0.41050391682720533,0.3021179411870053,0.4973303052400412,0.3660194257592732,1255,fine
Cocoyam Leaves,1.1736020328500738,0.12988538115893272,1.4218326142630817,0.1573576611820288,2510,fine
Condiment,1.2581196467910356,0.1316906743659744,1.5242266938720996,0.15954479505554975,5998,fine
Cooked Rice and Stew,0.8838395158214112,0.15289584922365074,1.0707819296440428,0.18523511286334735,4666,fine
Cowpea,0.9796908868275124,0.22302396454524376,1.1869069887386838,0.2701961462887056,2116,fine
Crab,1.2239081260056146,0.4213515381427839,1.4827790355733814,0.5104723255688653,325,fine
Curry Power,1.5631503859831306,0.2969801095580843,1.893775008544712,0.3597948825392416,419,fine
Eggplant,1.3748271566105916,0.13289084319664274,1.6656192095171982,0.16099881365666122,4426,fine
Fish (canned),1.1944528948558026,0.16904758280692472,1.4470936778991494,0.20480312735444103,1374,fine
Fish (dried),1.1152682727132814,0.1735106461694134,1.3511605803422897,0.2102101809132173,1849,fine
Fish (fried),1.1932975967973731,0.15982810357849803,1.4456940207643705,0.1936336202416558,2632,fine
Fish (salted),1.4443754800917465,0.24280223291699646,1.7498778183342618,0.2941577501692933,1765,fine
"Fish (smoked, river)",1.0262442664780504,0.14756888284074182,1.2433069536659447,0.17878143067270777,3121,fine
"Fish (smoked, sea)",1.3450329720714065,0.15969803890930542,1.629523205840117,0.19347604537092022,2662,fine
Fried Plantain and Beans,0.928569523475132,0.19114575642612644,1.124972858032135,0.23157532362537483,1996,fine
Gari (white),2.0141710864338864,0.18001902702005942,2.440191871892619,0.21809516057452638,2376,fine
Garlic,1.1292483723717825,0.1551776922992847,1.3680976348878013,0.18799959248655299,2031,fine
Ginger,1.0219333016515368,0.1411787086256126,1.2380841692656888,0.17103965973539173,2226,fine
Goat,1.321981219962188,0.3108520868423002,1.601595738055148,0.3766009455614027,731,fine
Groundnut,1.349757398265573,0.11949792115266547,1.6352469035319417,0.14477313167129052,4200,fine
Herring (smoked),0.9258689326301768,0.11381712707532111,1.1217010605797968,0.1378907830829317,5229,fine
Ice Cream,1.2350675759430938,0.32855061182597606,1.4962988399314325,0.398042915958326,517,fine
Instant Noodle,1.8714842615845642,0.41407376178431077,2.2673251116811293,0.5016552142345738,499,fine
Juice,1.957531087628191,0.3297786851518751,2.3715718496707865,0.39953074118237525,962,fine
Kapla,0.9003209595260896,0.17242477340024473,1.0907493918105355,0.20889463332985572,1819,fine
