j,group,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit,is_member
Bread,sugar_refined,0.7197412125074671,0.09175602896450635,1.416307322737278,0.1805575857952915,5218,probe,False
Condiment,sugar_refined,0.6991069382719546,0.05636901498044962,1.3757031817053758,0.11092299191005384,5998,probe,False
Herring (smoked),sugar_refined,0.49450483629234815,0.09704390905589025,0.973087004883141,0.19096308038839982,5229,probe,False
Maize (flour/dough),sugar_refined,0.4583786205169625,0.16285120829811645,0.901997809132891,0.3204587354747915,6101,probe,False
Okra,sugar_refined,0.6749446071766104,0.08038324983749454,1.328156527616308,0.15817822210518823,5713,probe,False
Pepper,sugar_refined,0.6996182609170287,0.05651633894139426,1.3767093628075762,0.11121289611600257,6797,probe,False
Salt,sugar_refined,0.5081815231431784,0.07712723374954997,1.0,0.15177103109240678,5116,probe,False
Sugar (cubed),sugar_refined,0.6640001188867001,0.31276892894201463,1.3066199549715236,0.6154669437949892,187,probe,True
Sugar (granulated),sugar_refined,0.8734321008661454,0.0832631595120212,1.7187403734473417,0.16384531062252353,4770,probe,True
Tomato (fresh),sugar_refined,0.7723323421784836,0.06750435450515793,1.5197961889710059,0.13283512176443063,6928,probe,False
Tomato (paste),sugar_refined,0.7531223298425954,0.06756039265142814,1.4819947116227714,0.13294539367263306,5711,probe,False
Bread,pasta,0.5006596138817496,0.05963271908358249,1.0851301871057488,0.12924801965767513,5218,probe,False
Condiment,pasta,0.6476304663936305,0.049059759734549215,1.4036749713530692,0.10633217616128368,5998,probe,False
Herring (smoked),pasta,0.5918370656168005,0.043698573501173676,1.282748294334285,0.09471233533684359,5229,probe,False
Maize (flour/dough),pasta,0.6403313183765738,0.06377868633354812,1.3878547900685207,0.13823399354681754,6101,probe,False
Okra,pasta,0.752240829597418,0.0522137647973728,1.6304075853867976,0.1131681701361494,5713,probe,False
Pepper,pasta,0.7568492144599775,0.03998630578260384,1.6403958037082091,0.08666636227980817,6797,probe,False
Salt,pasta,0.4613820717835758,0.03577206544748866,1.0,0.0775324132322778,5116,probe,False
Spaghetti,pasta,0.23122856332904304,0.10084507124154808,0.5011650375472484,0.21857171617377513,311,probe,True
Tomato (fresh),pasta,0.7152826353483648,0.04041636296372725,1.5503043553107285,0.08759846867800636,6928,probe,False
Tomato (paste),pasta,0.6707345195128365,0.05186227043934069,1.4537507210021443,0.11240634088545196,5711,probe,False
Bread,gari,0.5539976689601672,0.1151777576518071,1.1988096108753572,0.2492360718614988,5218,probe,False
Condiment,gari,0.6466885554114372,0.051623836635272376,1.3993857716503737,0.11171012980033605,5998,probe,False
Gari (white),gari,1.1098261656624873,0.14393571069467695,2.4015809963503614,0.31146613604498796,2376,probe,True
Gari (yellow),gari,0.6937697304130985,0.24609155008359856,1.501265920693662,0.5325237486092097,404,probe,True
Herring (smoked),gari,0.631702395418244,0.05357977797499917,1.3669568398397463,0.11594264088792601,5229,probe,False
Maize (flour/dough),gari,0.595693240626563,0.0802173813524321,1.2890357162278174,0.1735844266367547,6101,probe,False
Okra,gari,0.7120607061345123,0.06725798075516695,1.5408462271023073,0.14554125090219697,5713,probe,False
Pepper,gari,0.7078132017099352,0.06043143716119161,1.5316549445180756,0.13076912002865415,6797,probe,False
Salt,gari,0.4621231461062816,0.04540329894600459,1.0,0.0982493504784599,5116,probe,False
Tomato (fresh),gari,0.6795776398331124,0.05596130918859676,1.4705552958319457,0.12109609670087045,6928,probe,False
Tomato (paste),gari,0.6758098152745051,0.07528518728326752,1.4624020046792434,0.1629115267599105,5711,probe,False
Bread,millet_sorghum,0.3734377996948637,0.11820289784309812,0.7271585708223547,0.23016483690959957,5218,probe,False
Condiment,millet_sorghum,0.5754775458507313,0.06043686282596604,1.1205706281557481,0.11768273815191027,5998,probe,False
Guinea Corn/Sorghum,millet_sorghum,0.9141800250539311,0.22818407617116906,1.7800925375945655,0.44432033085195144,749,probe,True
Herring (smoked),millet_sorghum,0.5786462323833715,0.05881416938673081,1.1267406987065638,0.11452302736976329,5229,probe,False
Maize (flour/dough),millet_sorghum,0.5869836428354067,0.13323846679656648,1.1429753152173054,0.25944211639399717,6101,probe,False
Millet,millet_sorghum,0.8444306992499315,0.25889616336391136,1.6442765593810542,0.5041229471063692,649,probe,True
Millet (flour),millet_sorghum,0.42100010876890653,0.2786011555893913,0.8197719611099791,0.5424925336786272,605,probe,True
Okra,millet_sorghum,0.7644863414501134,0.06962490961970115,1.4886088015629475,0.13557371485710865,5713,probe,False
Pepper,millet_sorghum,0.7086285434923725,0.08787671758004757,1.3798424244971461,0.17111365913220372,6797,probe,False
Salt,millet_sorghum,0.5135575852080478,0.0691567871569442,1.0,0.13466218618682854,5116,probe,False
Tomato (fresh),millet_sorghum,0.6886713830962958,0.07179011340382668,1.3409818157340767,0.13978980249068607,6928,probe,False
Tomato (paste),millet_sorghum,0.6147343302464472,0.10100213156792576,1.1970114899527997,0.19667148237526016,5711,probe,False
Bread,palm_shea,0.4876329350350721,0.11138143901308875,0.988839877282772,0.22586335042640165,5218,probe,False
Condiment,palm_shea,0.6601793491609692,0.049564533112041294,1.3387357983972121,0.10050877067309605,5998,probe,False
Herring (smoked),palm_shea,0.6252096235339496,0.04471963650147911,1.2678229114422996,0.09068411235814557,5229,probe,False
Maize (flour/dough),palm_shea,0.6562789898766245,0.06814749110094412,1.3308265073731906,0.13819197165699995,6101,probe,False
Oil (palm),palm_shea,0.7065605893707778,0.08408702470526337,1.4327893714479971,0.17051474011829357,3536,probe,True
Okra,palm_shea,0.8187352380207571,0.03427005814757141,1.6602612213494106,0.06949407568354807,5713,probe,False
Pepper,palm_shea,0.7825601936152136,0.03734013927389634,1.586904144949098,0.0757196983314214,6797,probe,False
Salt,palm_shea,0.49313639775029716,0.045243425634623656,1.0,0.09174627109462109,5116,probe,False
Shea Butter,palm_shea,0.6284085876099008,0.15149196882708652,1.274309887643093,0.30720094788824626,1162,probe,True
Tomato (fresh),palm_shea,0.7033647184728552,0.05164712075775205,1.4263086677065937,0.10473191797110849,6928,probe,False
Tomato (paste),palm_shea,0.6540389853552736,0.04326829111415463,1.3262841443848372,0.08774102116888118,5711,probe,False
Bread,cocoa_forms,0.5317252212072685,0.15915998496425932,1.0200843599599514,0.30533930857158786,5218,probe,False
Cocoa Powder,cocoa_forms,0.7285545382529466,0.44245590904032067,1.3976901230343892,0.8488263012221477,62,probe,True
