Preferred Label,Aggregate Label,status,reason,evidence,group_id,in_country_preferred,declared_waves,source_rows,country_crosswalk_targets,delivered_waves
Agushie Seed,Agushie Seed,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 489.0; 2016-17/Label_9b: Agushie seeds (or milled),Agushie Seed,2016-17
Akpeteshie,Akpeteshie,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 102.0; 1991-92/Label_9b: Akpeteshie and Other Local Spirits; 1998-99/Code_9b: 102.0; 1998-99/Label_9b: Akpeteshie and Other Local Spirits; 2005-06/Code_9b: 145.0; 2005-06/Label_9b: akpeteshie; 2012-13/Code_9b: 145.0; 2012-13/Label_9b: akpeteshie; 2016-17/Code_9b: 620.0; 2016-17/Label_9b: Akpeteshie,Akpeteshie,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Animals Fat,Animals Fat,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 27.0; 1991-92/Label_9b: Animals Fats; 1998-99/Code_9b: 27.0; 1998-99/Label_9b: Animals Fats,Animals Fat,1991-92; 1998-99
Apple,Apple,singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 440.0, 442.0; 2016-17/Label_9b: Apples (foreign), Sweet apple",Apple,2016-17
Avocado,Avocado,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 335; 1987-88/Label_12A: Avocados; 1987-88/Code_12B: 335.0; 1987-88/Label_12B: Avocados; 1988-89/Code_12A: 335; 1988-89/Label_12A: Avocados; 1988-89/Code_12B: 335.0; 1988-89/Label_12B: Avocados; 1991-92/Code_9b: 35.0; 1991-92/Label_9b: Avocado pear; 1991-92/Code_8h: 35.0; 1991-92/Label_8h: Avocado pears; 1998-99/Code_9b: 35.0; 1998-99/Label_9b: Avocado pear; 1998-99/Code_8h: 35.0; 1998-99/Label_8h: Avocado pears; 2005-06/Code_9b: 73.0; 2005-06/Label_9b: avocado pear; 2005-06/Code_8h: 45.0; 2005-06/Label_8h: avocado pears; 2012-13/Code_9b: 73.0; 2012-13/Label_9b: avocado pear; 2012-13/Code_8h: 45.0; 2012-13/Label_8h: avocado pears; 2016-17/Code_9b: 439.0; 2016-17/Label_9b: Avocado pear; 2016-17/Code_8h: 45.0; 2016-17/Label_8h: 45. Avocado Pears,Avocado,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Baby Milk,Baby Milk,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 68.0; 1991-92/Label_9b: Baby milk; 1998-99/Code_9b: 68.0; 1998-99/Label_9b: Baby milk,Baby Milk,1991-92; 1998-99
Bambara Bean,Bambara Bean,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 19.0; 1991-92/Label_9b: Banbara Beans; 1991-92/Code_8h: 20.0; 1991-92/Label_8h: Banbara beans; 1998-99/Code_9b: 19.0; 1998-99/Label_9b: Banbara Beans; 1998-99/Code_8h: 20.0; 1998-99/Label_8h: Banbara beans; 2005-06/Code_8h: 20.0; 2005-06/Label_8h: bambara beans; 2012-13/Code_8h: 20.0; 2012-13/Label_8h: bambara beans; 2016-17/Code_8h: 20.0; 2016-17/Label_8h: 20. Bambara beans,Bambara Bean,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Banana,Banana,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 336; 1987-88/Label_12A: Bananas; 1987-88/Code_12B: 336.0; 1987-88/Label_12B: Bananas; 1988-89/Code_12A: 336; 1988-89/Label_12A: Bananas; 1988-89/Code_12B: 336.0; 1988-89/Label_12B: Bananas; 1991-92/Code_9b: 36.0; 1991-92/Label_9b: Banana; 1991-92/Code_8h: 30.0; 1991-92/Label_8h: Bananas; 1998-99/Code_9b: 36.0; 1998-99/Label_9b: Banana; 1998-99/Code_8h: 30.0; 1998-99/Label_8h: Bananas; 2005-06/Code_9b: 69.0; 2005-06/Label_9b: banana; 2005-06/Code_8h: 40.0; 2005-06/Label_8h: bananas; 2012-13/Code_9b: 69.0; 2012-13/Label_9b: banana; 2012-13/Code_8h: 40.0; 2012-13/Label_8h: bananas; 2016-17/Code_9b: 434.0; 2016-17/Label_9b: Banana; 2016-17/Code_8h: 40.0; 2016-17/Label_8h: 40. Bananas,Banana,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Banku,Banku,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 89.0; 1991-92/Label_9b: Banku and Stew; 1998-99/Code_9b: 89.0; 1998-99/Label_9b: Banku and Stew,Banku,1991-92; 1998-99
Bean,Bean,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13,2005-06/Code_9b: 115.0; 2005-06/Label_9b: beans; 2012-13/Code_9b: 115.0; 2012-13/Label_9b: beans,Bean,2005-06; 2012-13
Beef,Beef,singleton,Includes Other cow/beef product in 2016-17; retain existing fine identity.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 323; 1987-88/Label_12A: Beef; 1987-88/Code_12B: 323.0; 1987-88/Label_12B: Beef; 1988-89/Code_12A: 323; 1988-89/Label_12A: Beef; 1988-89/Code_12B: 323.0; 1988-89/Label_12B: Beef; 1991-92/Code_9b: 53.0; 1991-92/Label_9b: Fresh Beef (Cattle); 1991-92/Code_8h: 63.0; 1991-92/Label_8h: Beef; 1998-99/Code_8h: 63.0; 1998-99/Label_8h: Beef; 2005-06/Code_9b: 20.0; 2005-06/Label_9b: beef; 2005-06/Code_8h: 63.0; 2005-06/Label_8h: beef; 2012-13/Code_9b: 20.0; 2012-13/Label_9b: beef; 2012-13/Code_8h: 63.0; 2012-13/Label_8h: beef; 2016-17/Code_9b: 101.0, 95.0; 2016-17/Label_9b: Beef with bones, Other cow/beef product; 2016-17/Code_8h: 67.0; 2016-17/Label_8h: 67. Beef",Beef,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Beef (corned),Beef (corned),singleton,No merge proposed at this stage.,,,True,1991-92; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 52.0; 1991-92/Label_9b: Corned Beef; 2005-06/Code_9b: 18.0; 2005-06/Label_9b: corned beef; 2012-13/Code_9b: 18.0; 2012-13/Label_9b: corned beef; 2016-17/Code_9b: 131.0, 132.0, 133.0, 134.0; 2016-17/Label_9b: Bella corned beef, Exeter corned beef, Lele corned Beef, Other corned beef",Beef (corned),1991-92; 2005-06; 2012-13; 2016-17
Beef (face),Beef (face),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 99.0; 2016-17/Label_9b: Cow face (head),Beef (face),2016-17
Beef (leg),Beef (leg),singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 97.0, 98.0; 2016-17/Label_9b: Cow leg , local, Cow leg imported",Beef (leg),2016-17
Beef (offal),Beef (offal),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 100.0; 2016-17/Label_9b: Cow offals (towel),Beef (offal),2016-17
Beef (steak),Beef (steak),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 96.0; 2016-17/Label_9b: Beef without bones (steak),Beef (steak),2016-17
