wave,basis,preferred,n_sample,n_positive_sample,n_positive_all,sample_prevalence,weighted_prevalence,expenditure_sample,expenditure_outside_sample,food_analysis
1987-88,purchased,Avocado,3147,262,263,0.08325389259612329,0.08325389259612329,22795.0,40.0,True
1987-88,purchased,Banana,3147,811,811,0.257705751509374,0.257705751509374,78780.0,0.0,True
1987-88,purchased,Beef,3147,944,945,0.299968223705116,0.299968223705116,325422.0,100.0,True
1987-88,purchased,Biscuit,3147,527,528,0.1674610740387671,0.1674610740387671,83327.0,200.0,True
1987-88,purchased,Cabbage,3147,55,56,0.01747696218620909,0.01747696218620909,7640.0,40.0,True
1987-88,purchased,Cassava,3147,1141,1142,0.36256752462662856,0.36256752462662856,636542.0,200.0,True
1987-88,purchased,Cassava (dough),3147,530,531,0.16841436288528758,0.16841436288528758,197280.0,300.0,True
1987-88,purchased,Chicken,3147,159,159,0.05052430886558627,0.05052430886558627,120040.0,0.0,True
1987-88,purchased,Coconut (fresh),3147,505,506,0.16047028916428344,0.16047028916428344,33015.0,20.0,True
1987-88,purchased,Cocoyam,3147,477,478,0.1515729265967588,0.1515729265967588,134940.0,100.0,True
1987-88,purchased,Condiment,3147,1079,1081,0.3428662217985383,0.3428662217985383,88660.0,150.0,True
1987-88,purchased,Dove/Pigeon,3147,3,3,0.0009532888465204957,0.0009532888465204957,1200.0,0.0,True
1987-88,purchased,Duck,3147,14,14,0.0044486812837623135,0.0044486812837623135,8130.0,0.0,True
1987-88,purchased,Egg,3147,895,896,0.2843978392119479,0.2843978392119479,188855.0,200.0,True
1987-88,purchased,Eggplant,3147,1507,1508,0.478868763902129,0.478868763902129,224765.0,20.0,True
1987-88,purchased,Emotuo,3147,408,408,0.12964728312678742,0.12964728312678742,87058.0,0.0,True
1987-88,purchased,Fish (fresh and frozen),3147,2856,2858,0.9075309818875119,0.9075309818875119,3095887.0,820.0,True
1987-88,purchased,Gari,3147,1231,1232,0.3911661900222434,0.3911661900222434,330557.0,100.0,True
1987-88,purchased,Groundnut,3147,1667,1669,0.5297108357165554,0.5297108357165554,271958.0,220.0,True
1987-88,purchased,Kenkey/Banku,3147,2192,2194,0.6965363838576422,0.6965363838576422,890390.0,160.0,True
1987-88,purchased,Macaroni/Spaghetti,3147,77,79,0.024467747060692723,0.024467747060692723,11858.0,300.0,True
1987-88,purchased,Maize,3147,857,859,0.2723228471560216,0.2723228471560216,588650.0,250.0,True
1987-88,purchased,Mango,3147,213,214,0.06768350810295519,0.06768350810295519,18925.0,20.0,True
1987-88,purchased,Margarine/Butter,3147,274,275,0.08706704798220527,0.08706704798220527,46815.0,140.0,True
1987-88,purchased,Milk (fresh),3147,932,933,0.296155068319034,0.296155068319034,236843.0,300.0,True
1987-88,purchased,Millet/Sorghum,3147,83,83,0.026374324753733715,0.026374324753733715,101930.0,0.0,True
1987-88,purchased,Mutton,3147,392,392,0.12456307594534477,0.12456307594534477,152640.0,0.0,True
1987-88,purchased,Oil (palm)/Shea Butter,3147,1674,1675,0.5319351763584366,0.5319351763584366,305659.0,300.0,True
1987-88,purchased,Okra,3147,1324,1325,0.42071814426437876,0.42071814426437876,161079.0,180.0,True
1987-88,purchased,Onion,3147,2652,2654,0.8427073403241182,0.8427073403241182,328526.0,250.0,True
1987-88,purchased,Orange,3147,1081,1083,0.3435017476962186,0.3435017476962186,114185.0,600.0,True
1987-88,purchased,Other Alcoholic Beverages,3147,1040,1040,0.3304734667937718,0.3304734667937718,509144.0,0.0,True
1987-88,purchased,Other Beverages,3147,423,423,0.1344137273593899,0.1344137273593899,108175.0,0.0,True
1987-88,purchased,Other Fruits,3147,42,43,0.01334604385128694,0.01334604385128694,7265.0,40.0,True
1987-88,purchased,Other Leafy Vegetables,3147,117,117,0.037178265014299335,0.037178265014299335,11160.0,0.0,True
1987-88,purchased,Other Meat,3147,649,649,0.20622815379726725,0.20622815379726725,264300.0,0.0,True
1987-88,purchased,Other Milk Products,3147,77,77,0.024467747060692723,0.024467747060692723,11985.0,0.0,True
1987-88,purchased,Other Miscellaneous Food Items,3147,127,127,0.04035589450270099,0.04035589450270099,35510.0,0.0,True
1987-88,purchased,Other Oils,3147,809,811,0.2570702256116937,0.2570702256116937,165445.0,350.0,True
1987-88,purchased,Other Poultry,3147,102,103,0.032411820781696854,0.032411820781696854,33240.0,80.0,True
1987-88,purchased,Other Prepared Meals,3147,901,902,0.28630441690498887,0.28630441690498887,262687.0,100.0,True
1987-88,purchased,Other Pulses,3147,584,586,0.1855735621226565,0.1855735621226565,106570.0,300.0,True
1987-88,purchased,Other Vegetables,3147,1709,1711,0.5430568795678424,0.5430568795678424,270965.0,250.0,True
1987-88,purchased,Palm Nut,3147,1215,1216,0.38608198284080075,0.38608198284080075,273381.0,140.0,True
1987-88,purchased,Pawpaw,3147,46,46,0.0146170956466476,0.0146170956466476,2750.0,0.0,True
1987-88,purchased,Pineapple,3147,314,314,0.09977756593581188,0.09977756593581188,34100.0,0.0,True
1987-88,purchased,Plantain,3147,1170,1171,0.37178265014299333,0.37178265014299333,426740.0,100.0,True
1987-88,purchased,Pork,3147,263,263,0.08357165554496346,0.08357165554496346,60940.0,0.0,True
1987-88,purchased,Rice,3147,1669,1671,0.5303463616142358,0.5303463616142358,744685.0,1040.0,True
1987-88,purchased,Salt,3147,2479,2481,0.7877343501747697,0.7877343501747697,123087.0,60.0,True
1987-88,purchased,Soup,3147,1188,1189,0.3775023832221163,0.3775023832221163,468463.0,80.0,True
1987-88,purchased,Spinach,3147,672,672,0.21353670162059105,0.21353670162059105,61075.0,0.0,True
1987-88,purchased,Sugar,3147,2308,2309,0.7333968859231014,0.7333968859231014,429909.0,140.0,True
1987-88,purchased,Sweet Potato,3147,113,113,0.03590721321893867,0.03590721321893867,15510.0,0.0,True
1987-88,purchased,Tomato (fresh),3147,2398,2400,0.7619955513187162,0.7619955513187162,533503.0,240.0,True
1987-88,purchased,Tomato (paste),3147,355,356,0.11280584683825866,0.11280584683825866,52740.0,40.0,True
1987-88,purchased,Wheat Flour,3147,2215,2216,0.703844931680966,0.703844931680966,653994.0,200.0,True
1987-88,purchased,Yam,3147,969,970,0.30791229742612014,0.30791229742612014,399200.0,200.0,True
1987-88,total,Avocado,3147,561,562,0.1782650142993327,0.1782650142993327,56085.18019242204,40.0,True
1987-88,total,Banana,3147,1326,1326,0.4213536701620591,0.4213536701620591,138947.38260435069,0.0,True
1987-88,total,Beef,3147,949,950,0.3015570384493168,0.3015570384493168,330514.63848834415,100.0,True
1987-88,total,Biscuit,3147,527,528,0.1674610740387671,0.1674610740387671,83327.0,200.0,True
1987-88,total,Cabbage,3147,59,60,0.01874801398156975,0.01874801398156975,9002.017543859649,40.0,True
1987-88,total,Cassava,3147,2513,2514,0.7985382904353352,0.7985382904353352,2489789.8425904578,200.0,True
1987-88,total,Cassava (dough),3147,682,683,0.21671433110899269,0.21671433110899269,405289.7478070175,300.0,True
1987-88,total,Chicken,3147,934,934,0.29679059421671433,0.29679059421671433,212329.8530675925,0.0,True
1987-88,total,Coconut (fresh),3147,619,620,0.19669526533206227,0.19669526533206227,54443.466303373025,20.0,True
1987-88,total,Cocoyam,3147,1462,1463,0.4645694312043216,0.4645694312043216,839734.9490174106,100.0,True
