draw,j,status,beta_anchor_units,n_observations,n_fit_reference,error
0,"Cassava (white, flour)",ok,2.377798895246325,2348,9,
0,"Cassava (yellow, flour)",ok,1.1709415449517968,247,9,
0,Macaroni,ok,0.859164289894203,192,9,
0,Spaghetti,ok,0.7975525782609126,310,9,
0,Sugar (cubed),ok,1.9832237229008622,187,9,
0,Sugar (granulated),ok,2.0431835313179656,4718,9,
1,"Cassava (white, flour)",ok,2.5099022204746135,2327,9,
1,"Cassava (yellow, flour)",ok,1.3948842555665735,282,9,
1,Macaroni,ok,0.9546576838307724,182,9,
1,Spaghetti,ok,0.869969307039154,339,9,
1,Sugar (cubed),ok,2.061053768309753,173,9,
1,Sugar (granulated),ok,2.041222313558996,4596,9,
2,"Cassava (white, flour)",ok,2.299183985348326,2306,9,
2,"Cassava (yellow, flour)",ok,1.0525224764465404,256,9,
2,Macaroni,ok,0.9261214963926665,208,9,
2,Spaghetti,ok,0.6963015635889269,283,9,
2,Sugar (cubed),ok,1.6782537729034102,187,9,
2,Sugar (granulated),ok,2.083254687553511,4601,9,
3,"Cassava (white, flour)",ok,2.043015684971408,2354,9,
3,"Cassava (yellow, flour)",ok,0.9184616494986374,230,9,
3,Macaroni,ok,0.5948823994018713,231,9,
3,Spaghetti,ok,0.8066732207079128,317,9,
3,Sugar (cubed),ok,1.1375738142228786,188,9,
3,Sugar (granulated),ok,1.8808328826117393,4677,9,
4,"Cassava (white, flour)",ok,2.4943256278897548,2351,9,
4,"Cassava (yellow, flour)",ok,0.6528435080959696,246,9,
4,Macaroni,ok,0.7393723306201334,191,9,
4,Spaghetti,ok,0.6901117552285465,302,9,
4,Sugar (cubed),ok,1.9479602866329826,158,9,
4,Sugar (granulated),ok,2.0120098229737584,4666,9,
5,"Cassava (white, flour)",ok,2.2878008759976844,2263,9,
5,"Cassava (yellow, flour)",ok,0.6339205238853072,287,9,
5,Macaroni,ok,0.8095666101782005,178,9,
5,Spaghetti,ok,0.8447657980879179,348,9,
5,Sugar (cubed),ok,1.5099540309507509,182,9,
5,Sugar (granulated),ok,2.0843482601834284,4660,9,
6,"Cassava (white, flour)",ok,2.3457398779040415,2288,9,
6,"Cassava (yellow, flour)",ok,0.9329106349755406,242,9,
6,Macaroni,ok,0.6594819148626307,186,9,
6,Spaghetti,ok,0.6890456067121772,290,9,
6,Sugar (cubed),ok,1.8171752897230042,168,9,
6,Sugar (granulated),ok,2.0550558879285625,4839,9,
7,"Cassava (white, flour)",ok,2.5084270272733984,2329,9,
7,"Cassava (yellow, flour)",ok,1.1230023202393855,268,9,
7,Macaroni,ok,1.004094068749646,162,9,
7,Spaghetti,ok,0.5287259113732059,331,9,
7,Sugar (cubed),ok,1.3809021143571114,180,9,
7,Sugar (granulated),ok,2.0218541930381364,4675,9,
8,"Cassava (white, flour)",ok,2.2214723179851648,2352,9,
8,"Cassava (yellow, flour)",ok,1.3429874994517899,215,9,
8,Macaroni,ok,0.9266639355275901,197,9,
8,Spaghetti,ok,0.7764973497126536,305,9,
8,Sugar (cubed),ok,0.9884372661183315,210,9,
8,Sugar (granulated),ok,2.1493648743525133,4625,9,
9,"Cassava (white, flour)",ok,1.9970687441308794,2386,9,
9,"Cassava (yellow, flour)",ok,1.1321244306900857,232,9,
9,Macaroni,ok,0.8782162598101682,220,9,
9,Spaghetti,ok,0.6269782207844075,299,9,
9,Sugar (cubed),ok,1.624557577290985,211,9,
9,Sugar (granulated),ok,1.8862284586933347,4650,9,
10,"Cassava (white, flour)",ok,2.1377556752983295,2414,9,
10,"Cassava (yellow, flour)",ok,0.8351522889398074,286,9,
10,Macaroni,ok,0.6465934583233446,222,9,
10,Spaghetti,ok,0.5841278436344427,292,9,
10,Sugar (cubed),ok,1.6326113969108542,181,9,
10,Sugar (granulated),ok,1.9826585846670686,4769,9,
11,"Cassava (white, flour)",ok,2.5584751137157253,2332,9,
11,"Cassava (yellow, flour)",ok,0.9969516436158682,246,9,
11,Macaroni,ok,0.5926827643985545,168,9,
11,Spaghetti,ok,0.6738220407591993,299,9,
11,Sugar (cubed),ok,2.5265254105930044,196,9,
11,Sugar (granulated),ok,2.3636204268302707,4741,9,
12,"Cassava (white, flour)",ok,2.4555618964654586,2412,9,
12,"Cassava (yellow, flour)",ok,0.7219319341851848,218,9,
12,Macaroni,ok,0.6938836238234598,189,9,
12,Spaghetti,ok,0.4690653603789204,318,9,
12,Sugar (cubed),ok,1.4898553015211702,194,9,
12,Sugar (granulated),ok,1.9945607848958065,4602,9,
13,"Cassava (white, flour)",ok,2.271583806871295,2422,9,
13,"Cassava (yellow, flour)",ok,1.1201342685145474,284,9,
13,Macaroni,ok,0.6152363957468291,215,9,
13,Spaghetti,ok,0.8526066372351,325,9,
13,Sugar (cubed),ok,1.5082847049305383,190,9,
