wave,basis,n_sample,n_delivered_labels,n_food_labels,n_positive_food_labels,n_positive_food_households,median_positive_foods,mean_positive_foods,entry_density,median_pair_count,fraction_pairs_ge30,weighted_food_household_coverage,n_invalid_weight,n_positive_households_outside_sample,food_expenditure_outside_sample
1987-88,purchased,3147,58,58,58,3120,15.0,16.13473149030823,0.2781850256949695,155.0,0.8003629764065335,0.9914204003813155,0,2,8370.0
1987-88,total,3147,58,58,58,3127,21.0,21.313314267556404,0.3674709356475242,272.0,0.882637628554144,0.9936447410231967,0,2,8370.0
1988-89,purchased,3194,58,58,58,3183,14.0,15.429242329367565,0.26602141947185454,127.0,0.7810042347247429,0.9965560425798372,0,2,3390.0
1988-89,total,3194,58,58,58,3184,21.0,21.141202254226673,0.3645034871418392,250.0,0.8777979431336963,0.9968691296180339,0,2,5182.017543859649
1991-92,purchased,4523,117,114,100,4520,21.0,22.709927039575504,0.19920988631206582,47.0,0.5606272317963049,0.9993367234136635,0,0,0.0
1991-92,total,4523,117,114,100,4520,21.0,22.709927039575504,0.19920988631206582,47.0,0.5606272317963049,0.9993367234136635,0,0,0.0
1998-99,purchased,5998,112,109,85,5998,21.0,22.330610203401132,0.2048679835174416,25.0,0.4877675840978593,1.0,0,0,0.0
1998-99,total,5998,112,109,109,5998,26.0,26.074191397132378,0.2392127651113062,87.0,0.6597009853890587,1.0,0,0,0.0
2005-06,purchased,8687,114,111,99,8632,25.0,26.4764590767814,0.23852665834938197,190.0,0.7294021294021295,0.993178395029519,0,0,0.0
2005-06,total,8687,114,111,111,8633,28.0,29.17635547369633,0.26285004931257955,240.0,0.8285012285012285,0.9932709073527647,0,0,0.0
2012-13,purchased,16772,114,112,100,16749,26.0,27.44669687574529,0.2450597935334401,370.0,0.7746138996138996,0.9991742609902025,0,0,0.0
2012-13,total,16772,114,112,112,16755,29.0,29.752563796804196,0.2656478910428946,458.0,0.8898005148005148,0.9993479303126511,0,0,0.0
2016-17,purchased,14009,179,176,161,13917,25.0,26.619744449996432,0.15124854801134335,36.0,0.5257142857142857,0.992980452926037,0,0,0.0
2016-17,total,14009,179,176,176,13926,28.0,29.20037118994932,0.16591119994289386,56.0,0.5931168831168832,0.9932283841560233,0,0,0.0
