wave,basis,visit,n_positive_food_households,n_positive_food_labels,median_foods_among_positive_households,n_positive_household_item_cells
1987-88,purchased,1,3120,58,15.0,50776
1987-88,total,1,3127,58,21.0,67073
1988-89,purchased,1,3183,58,14.0,49281
1988-89,total,1,3184,58,21.0,67525
1991-92,purchased,2,4494,100,12.0,57229
1991-92,purchased,3,4410,98,9.0,45963
1991-92,purchased,4,4464,99,9.0,45975
1991-92,purchased,5,4461,99,9.0,46037
1991-92,purchased,6,4443,100,9.0,44991
1991-92,purchased,7,4440,98,9.0,43813
1991-92,purchased,8,4428,98,9.0,44829
1991-92,purchased,9,1452,98,14.0,20184
1991-92,purchased,10,1448,97,14.0,20262
1991-92,purchased,11,1440,98,14.0,20052
1991-92,total,2,4494,100,12.0,57229
1991-92,total,3,4410,98,9.0,45963
1991-92,total,4,4464,99,9.0,45975
1991-92,total,5,4461,99,9.0,46037
1991-92,total,6,4443,100,9.0,44991
1991-92,total,7,4440,98,9.0,43813
1991-92,total,8,4428,98,9.0,44829
1991-92,total,9,1452,98,14.0,20184
1991-92,total,10,1448,97,14.0,20262
1991-92,total,11,1440,98,14.0,20052
1998-99,purchased,2,5992,85,13.0,83740
1998-99,purchased,3,5978,85,11.0,73197
1998-99,purchased,4,5974,85,11.0,72733
1998-99,purchased,5,5981,85,11.0,71279
1998-99,purchased,6,5977,85,11.0,70030
1998-99,purchased,7,5975,85,11.0,69636
1998-99,total,2,5994,108,17.0,102533
1998-99,total,3,5991,108,14.0,89541
1998-99,total,4,5990,108,14.0,88081
1998-99,total,5,5991,107,14.0,85904
1998-99,total,6,5987,107,14.0,84445
1998-99,total,7,5989,106,13.0,83766
2005-06,purchased,2,8503,99,13.0,124782
2005-06,purchased,3,8437,99,10.0,98451
2005-06,purchased,4,8470,99,10.0,97982
2005-06,purchased,5,8482,99,10.0,96510
2005-06,purchased,6,8428,99,10.0,93116
2005-06,purchased,7,8465,99,10.0,92022
2005-06,purchased,8,8439,99,10.0,92344
2005-06,purchased,9,8454,99,10.0,90700
2005-06,purchased,10,8461,99,9.0,88976
2005-06,purchased,11,8418,99,9.0,85920
2005-06,total,2,8552,111,16.0,144223
2005-06,total,3,8528,111,13.0,115625
2005-06,total,4,8530,111,13.0,114805
2005-06,total,5,8534,111,12.0,112813
2005-06,total,6,8492,111,12.0,108819
2005-06,total,7,8512,111,12.0,107504
2005-06,total,8,8520,111,12.0,107759
2005-06,total,9,8517,111,12.0,105848
2005-06,total,10,8518,111,11.0,103854
2005-06,total,11,8502,111,11.0,100863
2012-13,purchased,2,16680,100,16.0,291391
2012-13,purchased,3,16675,100,13.0,245833
2012-13,purchased,4,16669,100,14.0,248679
2012-13,purchased,5,16672,100,13.0,244160
2012-13,purchased,6,16642,100,13.0,242393
2012-13,purchased,7,16604,100,13.0,233150
2012-13,total,2,16726,112,18.0,326263
2012-13,total,3,16706,112,15.0,276390
2012-13,total,4,16703,112,16.0,278568
2012-13,total,5,16699,112,15.0,272905
2012-13,total,6,16686,112,15.0,270558
2012-13,total,7,16655,112,15.0,260984
2016-17,purchased,2,13732,159,11.0,168385
2016-17,purchased,3,13659,159,10.0,160161
2016-17,purchased,4,13639,160,10.0,161188
2016-17,purchased,5,13625,158,10.0,160104
2016-17,purchased,6,13664,159,10.0,160815
2016-17,purchased,7,13640,159,10.0,158342
2016-17,total,2,13820,174,13.0,193726
2016-17,total,3,13772,174,12.0,183071
2016-17,total,4,13743,175,12.0,182816
2016-17,total,5,13723,173,12.0,180953
2016-17,total,6,13756,174,12.0,182191
2016-17,total,7,13720,174,12.0,178958
