,0
1,Kilogram
2,Gram
3,Litre
4,Small cup with handle(Akendo)
5,Metre
6,Square metre
7,Yard
8,Millitre
9,Sack (120kgs)
10,Sack(100kgs)
11,Sack (80kgs)
12,Sack(50kgs)
13,Sack(unspecified)
14,jerrican(20 lts)
15,Jerrican(10 lts)
16,Jerrican (5 lts)
17,Jerrican(3 lts)
18,Jerrican (2 lts)
19,Jerrican (1lt)
20,Tin(20 lts)
21,Tin (5lts)
22,Plastic Basin (15 lts)
23,Bottle(750 ml)
24,Bottle (500 ml)
25, Bottle(350 m)
26, Bottle (300 ml)
27,Bottle (250 ml)
28,Bottle (150ml)
29,Kimbo/Cow boy/Blueband Tin(2ltr)
30,Kimbo /Cowboy/Blueband Tin (1)
31,Kimbo/Cowboy/Blueband Tin (0.5)
32,Cup/Mug (0.5 lt)
33,Glass (0.25 lt)
34,Ladles(100 g)
35,Table spoon
36,Table spoon
37,Basket(20kg)
38,Basket (10 kg)
39,Basket (5 kg)
40,Basket (2kg)
41,Loaf (1 kg)
42,Loaf (500g)
43,Buns (200 g)
44,Buns (100)
45, Buns (50g)
46, Bathing soap (Table )
47,Washing soap (Bar )
48, Washing Soap (Tablet)
49, Packet(2kg)
50,Packet(1kg)
51,Packet (500g)
52,Packet(250g)
53,packet (100g)
54,Packet (unspecified)
55,Fish-Whole (Up to 1kg)
56,Fish whole (1-2kg)
57,Fish Whole (Above 2kg)
58,Fish Cut piece(Up to 1kg)
59,Fish-Cut piece(1-2kg)
60,Fish Cut piece (Above 2kg)
61,Tray of 30 eggs
62,Ream
63,Crate
64,Heap(Unspecified)
65,Dozen
66,Bundle(Unspecified)
67,Bunch(Big)
68,Bunch(Medium)
69, Bunch (Small)
70,Cluster  (Unspecified)
71,Gourd (1-5 lts)
72,Gourd (5-10 lts)
73, Gourd (Above 10 lts)
74,Gologolo (4-5lts)
75,Calabash(1-5lts)
76,Calabash (Above 5 lts)
77, Jug(2lts)
78,Jug (1.5 lts)
79,Jug (1 lt)
80, Tot (50ml)
81,Tot (Sachet)
82, Tot (Unspecified)
83, Tobacco leaf (Number)
84,Pair
85,Number of units
86,Acres
99,Other
