hhid	string	Household ID
quarter	string	
cluster	int16	Cluster
HholdID	int8	Household ID
new_pid	int8	
qtr	int8	
s1aq1	int8	Sex
s1aq2	int8	Relationship to head
s1aq4y	int16	Age
s1aq2x	int8	Relationship to head
s2aq1	int8	Has [NAME] ever attended school or is [NAME] attending school now?
s2aq3	int8	What is the highest level of schooling [NAME] is attending now/attended in the p
s1aq4m	int8	Age in Month
s1aq5	int8	Marital Status
s1aq6	int8	Religious denomination
s1aq6o	string	Other Specify
s1aq7	int8	Nationality
s1aq8	int16	Name of Other Nationality Country
s1aq9a	int8	Ethnicity (Major)
s1aq9ao	string	Other Soecify Major
s1aq9b	int16	Detail Ethnicity
s1aq9bo	string	Other Specify Detail
s1aq5x	int8	Marital Status
s1bq1	int8	Was (NAME) born in this village or town?
s1bq2a	int8	Born in another region
s1bq2o	string	Other specify
s1bq2b	int16	In what District was name born
s1bq3	int8	Has (NAME) been living in this town/village since birth?
s1bq4	int8	How long has (NAME) been living continuously in this town/village?
s1bq5a	int8	Where was (NAME) living before moving here?
s1bq5b	int16	Which Region Name living before  moving here
s1bq6	int8	How long did (NAME) live in ???
s1bq7	int8	What was (NAME?s) main reason for moving to this village/town?
s1bq7o	string	Other specify
s2aq2	int8	What is/was the main reason why (NAME) has never attended school?
s2aq2o	string	Other Specify
s2aq3o	string	Other specify
s2aq4	int8	What is the highest grade (form/class/level, etc.) [NAME] has completed at that
s2aq4o	string	Other Specify
s2aq5	int8	Did (NAME) attend school/college at any time during the past 3 months?
s2aq6	int8	Is (NAME) still in school?
s2aq7	int8	Is the school (Name) attending Private or Public?
s2aq8a	int8	By what means does (NAME) usually go to and from school? - From
s2aq8ao	string	Other Specify
s2aq8b	int8	By what means does (NAME) usually go to and from school? - To
s2aq8bo	string	Other Specify
s2aq9a	int8	How much time does (NAME) spend going to and from school daily? Hours
s2aq9b	int8	How much time does (NAME) spend going to and from school daily? Minutes
s2aq10	string	Indicate which of the following you spent on:
s2aq11a1	int16	Application_form
s2aq11a2	double	Tution_Fee
s2aq11a3	double	Administrative_Fee
s2aq11a4	double	Registration_Fee
s2aq11a5	double	Sports Fee
s2aq11a6	double	Medical Fee
s2aq11a7	double	Uniform Cost
s2aq11a8	int16	Cadet Uniform Cost
s2aq11a9	int16	Change Over Dress Cost
s2aq11a10	double	PTA Dues
s2aq11a11	double	Exercise Books Cost
s2aq11a12	double	Text Books Cost
s2aq11a13	double	Toilettries/Utilities Fees
s2aq11a14	double	School Supplies Cost
s2aq11a15	double	Transportation Cost
s2aq11a16	double	Cost of Food at School
s2aq11a17	int16	School Accomodation Cost
s2aq11a18	double	School Extra Classes Cost
s2aq11a19	double	Private Extra Classes Cost
s2aq11a20	double	Printing Fee
s2aq11a21	double	School Development Levy
s2aq11a22	int16	Graduation Fee
s2aq11a23	double	Teachers Appreciation Fee
s2aq11a24	double	In-Kind Expenses
s2aq11a25	int16	Our Day Levy
s2aq11a26	double	Other expense 1
s2aq11a27	double	Other expense 2
s2aq11a28	double	Other expense 3
s2aq11a26o	string	How much did you spend on?? Other 1
s2aq11a27o	string	How much did you spend on?? Other 2
s2aq11a28o	string	How much did you spend on?? Other 3
s2aq11a29	double	Lump Sum
s2aq12	int8	Who paid for most of (NAME?S) the educational expenses?
s2aq12o	string	Other Specify
s2aq13	int8	Did (NAME) receive a scholarship/ bursary during the past 3 months?
s2aq13o	string	Other Specify
s2aq14	int32	What was the amount of (NAME?S) scholarship/ bursary received for the past 3 mon
s2aq15	string	Is (NAME) currently receiving any of these training?
s2aq15a	int8	Clerical
s2aq15b	int8	Managerial
s2aq15c	int8	Data Science
s2aq15d	int8	ICT
s2aq15e	int8	Marketing
s2aq15f	int8	Teaching
s2aq15g	int8	Leadership
s2aq15h	int8	Medicine
s2aq15i	int8	Accounting
s2aq15j	int8	Skills/Trade
s2aq15k	int8	Farming practices
s2aq15l	int8	Other training
s2aq15z	int8	None
s2aq15o	string	Other specify
s2aq16	int16	How much in all did (NAME) pay for the training in the past 3 months?
s2aq7n	int8	RECODE of s2aq7 (Is the school (Name) attending Private or Public?)
s2aq10_02	int8	Tuition fee
s2aq10_22	int8	Graduation fee
s2aq10_29	int8	Lump sum (if cannot give breakdown)
s2aq10_30	int8	None
s2bq1	int8	Is (Name) an apprentice or has (Name) ever been an apprentice?
s2bq2a	int8	How long was (is) the apprenticeship? Years
s2bq2b	int8	How long was (is) the apprenticeship? Months
s2bq3a	string	What is the main trade (NAME) is learning or learnt? Trade
s2bq3b	int16	Trade Code
s3aq1	int8	During the past 2 weeks has (NAME) suffered from either an illness or injury?
s3aq2	int8	For how many days during the past 2 weeks has  (NAME) suffered from this conditi
s3aq3	int8	During the past 2 weeks, did (NAME) have to stop the usual activities because of
s3aq3a	string	Other specify
s3aq4	int8	For how many days?
s3aq4o	string	Other specify
s3aq5	int8	During the past 2 weeks has (NAME) consulted a health practitioner, visited a he
s3aq6	int8	On the most recent visit whom did (NAME) consult?
s3aq6o	string	Other Specify
s3aq7	int8	What was the main reason for the most recent visit?
s3aq7o	string	Other specify
s3aq8m	int8	Where did the consultation take place? Name of facility (Main Group)
s3aq8a	string	Where did the consultation take place? Name of facility
s3aq8b	int8	Where did the consultation take place? facility code
