,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Magnesium,Niacin,Phosphorus,Potassium,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin E,Vitamin K,Zinc
Apples,617.893,1.875,20.43,0.0,46.559999999999995,147.817,0.0,46.95,0.8999999999999999,91.83,953.1,0.6625000000000001,0.08750000000000001,0.0,0.0,0.21309999999999998,0.0,0.0,0.0,0.19640000000000002
Butter,0.0,0.0,0.0,0.0,140.0,0.0,0.3,16.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
Chicken (broiler),9000.0,186.0,0.0,60.0,110.0,0.0,9.0,200.0,68.01,1470.0,1890.0,1.2,0.6,410.0,3.1,3.5,16.0,3.0,15.0,13.100000000000001
Coffee,80.0,3.0,0.0,0.0,20.0,1.7000000000000002,0.2,40.0,8.0,30.0,500.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Coffee (other),20.0,1.2,0.0,20.0,20.0,0.0,0.1,30.0,1.9100000000000001,30.0,490.0,0.76,0.14,0.0,0.0,0.01,0.0,0.1,1.0,0.2
Cornflakes,3650.0,64.0,35.0,3270.0,40.0,795.1999999999999,280.1,290.0,129.07999999999998,890.0,1280.0,10.22,10.27,100.0,18.0,14.399999999999999,0.0,1.1,0.0,6.0
Cucumber,159.07500000000002,6.25,0.0,0.0,163.4,29.525000000000002,0.0,101.1,0.0,232.3,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.04
Donuts,18150.0,53.099999999999994,17.0,920.0,400.0,470.6,25.299999999999997,170.0,29.1,2600.0,1340.0,3.01,3.9000000000000004,40.0,0.6,0.5,0.0,19.9,98.0,5.0
Ginger (fresh),3330.0,18.2,20.0,110.0,160.0,177.7,6.0,430.0,7.5,340.0,4150.0,0.34,0.25,0.0,0.0,1.6,50.0,2.6,1.0,3.4000000000000004
Ginger (powder),14040.0,89.80000000000001,141.0,130.0,1140.0,716.2,198.0,2140.0,96.19999999999999,1680.0,13200.0,1.7000000000000002,0.45999999999999996,20.0,0.0,6.26,7.0,0.0,8.0,36.4
Ice Cream,8680.0,35.0,7.0,50.0,1280.0,236.0,0.8999999999999999,140.0,1.1600000000000001,1050.0,1990.0,2.4,0.41000000000000003,1180.0,3.9000000000000004,0.48,6.0,3.0,3.0,6.8999999999999995
Infant Formula,21920.0,120.0,0.0,390.0,3310.0,560.0,95.0,360.0,39.4,2210.0,4410.0,7.9,5.300000000000001,4730.0,10.2,3.3000000000000003,433.0,33.8,430.0,39.0
Jam/Marmalade,11630.0,3.7,11.0,110.0,200.0,688.6,4.9,40.0,0.36,190.0,770.0,0.76,0.16,0.0,0.0,0.2,88.0,1.2,0.0,0.6
"Margarine, Butter, etc",30430.0,3.1,0.0,20.0,100.0,7.7,0.4,10.0,0.21999999999999997,100.0,220.0,0.22999999999999998,0.09,8190.0,0.0,0.09,1.0,38.8,865.0,0.3
Salt,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sausages,13380.0,120.0,0.0,20.0,120.0,24.2,7.5,130.0,29.4,1210.0,1790.0,1.06,1.92,130.0,5.8,1.6300000000000001,0.0,1.3,0.0,12.6
Soybeans (fresh),18660.0,364.90000000000003,93.0,3750.0,2770.0,301.6,157.0,2800.0,16.23,7040.0,17970.0,8.7,8.74,10.0,0.0,3.77,60.0,8.5,470.0,48.9
Tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tea (green),40.0,2.2,0.0,0.0,0.0,0.0,0.2,10.0,0.3,0.0,80.0,0.5800000000000001,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.1
Tea (leaves),40.0,0.0,0.0,50.0,0.0,3.0,0.2,30.0,0.0,10.0,370.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tea (other),40.0,0.0,0.0,10.0,20.0,2.0,0.8,10.0,0.0,0.0,90.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Water,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Yoghurt,2570.0,34.7,0.0,70.0,1210.0,46.6,0.5,120.0,0.75,950.0,1550.0,1.42,0.29000000000000004,270.0,3.7,0.32,5.0,0.6,2.0,5.8999999999999995
