country,u,kg_per_unit
Uganda,kg,1.0
Uganda,kilogram,1.0
Uganda,kilogramme,1.0
Uganda,kgs,1.0
Uganda,kilograms,1.0
Uganda,kilogrammes,1.0
Uganda,kilo,1.0
Uganda,kilos,1.0
Uganda,g,0.001
Uganda,gram,0.001
Uganda,gramm,0.001
Uganda,grams,0.001
Uganda,gramme,0.001
Uganda,grammes,0.001
Uganda,gm,0.001
Uganda,gms,0.001
Uganda,milligram,1e-06
Uganda,l,1.0
Uganda,litre,1.0
Uganda,liter,1.0
Uganda,litres,1.0
Uganda,liters,1.0
Uganda,ml,0.001
Uganda,cl,0.01
Uganda,millilitre,0.001
Uganda,milliliter,0.001
Uganda,millilitres,0.001
Uganda,milliliters,0.001
Uganda,mili liter,0.001
Uganda,pound,0.453592
Uganda,lbs,0.453592
Uganda,bottle(500ml),0.5
Uganda,bottle(300ml),0.3
Uganda,packet (500 g),0.5
Uganda,packet (100 g),0.1
Uganda,packet(125g),0.125
Uganda,loaf (1kg),1.0
Uganda,loaf (500g),0.5
Uganda,kimbo/cowboy/blueband tin (0.5kg),0.5
Uganda,cup/mug(0.5lt),0.5
Uganda,buns (50 g),0.05
Uganda,glass(0.25lt),0.25
Uganda,bottle(250ml),0.25
Uganda,kimbo/cowboy/blueband tin (1kg),1.0
Uganda,packet (250 g),0.25
Uganda,jerrican (5 lts),5.0
Uganda,basket (5 kg),5.0
Uganda,ladle(100g),0.1
Uganda,gourd (1-5lts),5.0
Uganda,buns (100 g),0.1
Uganda,packet (1 kg),1.0
Uganda,bottle(750ml),0.75
Uganda,tin (debe) (20 lts),20.0
Uganda,buns (200 g),0.2
Uganda,kimbo/cowboy/blueband tin (2kg),2.0
Uganda,fish cut piece (1 - 2 kg),2.0
Uganda,jerrican (2 lts),2.0
Uganda,fish cut piece (up to 1kg),1.0
Uganda,plastic basin (15 lts),15.0
Uganda,bottle(350ml),0.35000000000000003
Uganda,sack (100 kgs),100.0
Uganda,bottle(150ml),0.15
Uganda,jerrican (1 lt),1.0
Uganda,basket (10 kg),10.0
Uganda,basket (2 kg),2.0
Uganda,tin (5 lts),5.0
Uganda,jerrican (3 lts),3.0
Uganda,fish cut piece(above 2  kg),2.0
Uganda,basket (20 kg),20.0
Uganda,sack (50 kgs),50.0
Uganda,jerrican (20 lts),20.0
Uganda,jug (2 lts),2.0
Uganda,tot (50 ml),0.05
Uganda,jug (1 lt),1.0
Uganda,jerrican (10 lts),10.0
Uganda,gourd (above 10 lts),10.0
Uganda,jug (1.5 lts),1.5
Uganda,gourd (5-10lts),10.0
Uganda,packet (2 kg),2.0
Uganda,sack (120 kgs),120.0
Uganda,nice cup (50g) - small,0.05
Uganda,nice cup (100g) - large,0.1
Uganda,nice cup (60g) - medium,0.06
Uganda,jerrican (500 ml),0.5
Uganda,nomi tin (500g),0.5
Uganda,nido tin (400g),0.4
Uganda,nomi tin (1kg),1.0
Uganda,plastic basin (5 ltrs),5.0
Uganda,plastic plate (60g) - large,0.06
Uganda,plastic plate (30g) - small,0.03
Uganda,metallic tumbler (50g) - small,0.05
Uganda,glass (125ml),0.125
Uganda,metallic tumbler (100g) - big,0.1
Uganda,sadolin tin (3ltrs),3.0
Uganda,metallic plate (80g) - small,0.08
Uganda,metallic plate (100g) - large,0.1
Uganda,plastic bowl (40g),0.04
Uganda,jug (2.5ltrs),2.5
Uganda,plastic tumbler (50g) - big,0.05
Uganda,glass (500ml),0.5
Uganda,sacket (10g),0.01
Uganda,bottle (1ltr),1.0
Uganda,sacket (15g),0.015
Uganda,bottle (2ltr),2.0
Uganda,sacket (25g),0.025
Uganda,bottle (1.5ltr),1.5
Uganda,sacket (20g),0.02
Uganda,nomi tin (250g),0.25
Uganda,sack (80 kgs),80.0
Uganda,sacket (100g),0.1
Uganda,sacket (50g),0.05
Uganda,sacket (30g),0.03
