country,u,kg_per_unit
Uganda,kg,1.0
Uganda,kilogram,1.0
Uganda,kilogramme,1.0
Uganda,g,0.001
Uganda,gram,0.001
Uganda,gramm,0.001
Uganda,l,1.0
Uganda,litre,1.0
Uganda,liter,1.0
Uganda,ml,0.001
Uganda,cl,0.01
Uganda,pound,0.453592
Uganda,lbs,0.453592
Uganda,bottle(500ml),0.5
Uganda,bottle(300ml),0.3
Uganda,packet (500 g),0.5
Uganda,packet (100 g),0.1
Uganda,packet(125g),0.125
Uganda,loaf (1kg),1.0
Uganda,loaf (500g),0.5
Uganda,kimbo/cowboy/blueband tin (0.5kg),0.5
Uganda,buns (50 g),0.05
Uganda,bottle(250ml),0.25
Uganda,kimbo/cowboy/blueband tin (1kg),1.0
Uganda,packet (250 g),0.25
Uganda,basket (5 kg),5.0
Uganda,ladle(100g),0.1
Uganda,buns (100 g),0.1
Uganda,packet (1 kg),1.0
Uganda,bottle(750ml),0.75
Uganda,buns (200 g),0.2
Uganda,kimbo/cowboy/blueband tin (2kg),2.0
Uganda,fish cut piece (1 - 2 kg),2.0
Uganda,fish cut piece (up to 1kg),1.0
Uganda,bottle(350ml),0.35000000000000003
Uganda,bottle(150ml),0.15
Uganda,basket (10 kg),10.0
Uganda,basket (2 kg),2.0
Uganda,fish cut piece(above 2  kg),2.0
Uganda,basket (20 kg),20.0
Uganda,tot (50 ml),0.05
Uganda,packet (2 kg),2.0
Uganda,nice cup (50g) - small,0.05
Uganda,nice cup (100g) - large,0.1
Uganda,nice cup (60g) - medium,0.06
Uganda,jerrican (500 ml),0.5
Uganda,nomi tin (500g),0.5
Uganda,nido tin (400g),0.4
Uganda,nomi tin (1kg),1.0
Uganda,plastic plate (60g) - large,0.06
Uganda,plastic plate (30g) - small,0.03
Uganda,metallic tumbler (50g) - small,0.05
Uganda,glass (125ml),0.125
Uganda,metallic tumbler (100g) - big,0.1
Uganda,metallic plate (80g) - small,0.08
Uganda,metallic plate (100g) - large,0.1
Uganda,plastic bowl (40g),0.04
Uganda,plastic tumbler (50g) - big,0.05
Uganda,glass (500ml),0.5
Uganda,sacket (10g),0.01
Uganda,sacket (15g),0.015
Uganda,sacket (25g),0.025
Uganda,sacket (20g),0.02
Uganda,nomi tin (250g),0.25
Uganda,sacket (100g),0.1
Uganda,sacket (50g),0.05
Uganda,sacket (30g),0.03
Uganda,sacket (150g),0.15
Uganda,bottle (350g),0.35000000000000003
Uganda,bottle (500g),0.5
Uganda,plastic tumbler (30g) - small,0.03
Uganda,---,2.6470588235294117
Uganda,akendo (big),0.45454545454545453
Uganda,akendo (medium),0.4375
Uganda,akendo (small),0.4166666666666667
Uganda,bottle (1.5ltr),1.4
Uganda,bottle (1ltr),1.0113636363636362
Uganda,bottle (2ltr),1.3333333333333333
Uganda,bunch (big),3.3333333333333335
Uganda,bunch (medium),4.0
Uganda,bunch (small),2.25
Uganda,bundle (big),0.45454545454545453
Uganda,bundle (medium),0.37037037037037035
Uganda,bundle (small),0.25
Uganda,bundle (unspecified),0.358974358974359
Uganda,cluster (big),1.2
Uganda,cluster (medium),0.8333333333333334
Uganda,cluster (small),0.4444444444444444
Uganda,cluster (unspecified),0.8
Uganda,container (big),0.6521739130434783
Uganda,container (medium),1.0714285714285714
Uganda,container (small),0.5186206896551724
Uganda,container (smallest),0.4181818181818182
Uganda,crate,6.864942528735632
Uganda,cup/mug(0.5lt),1.0
Uganda,fish whole  (large),2.857142857142857
Uganda,fish whole (large),2.912790697674419
Uganda,fish whole (medium),1.875
Uganda,fish whole (small),1.3333333333333333
Uganda,glass(0.25lt),0.5
Uganda,gourd (1-5lts),1.3500000100582839
Uganda,gourd (5-10lts),1.3054435483870968
Uganda,gourd (above 10 lts),0.7692307692307693
Uganda,heap (big),1.0
Uganda,heap (medium),0.5769230769230769
Uganda,heap (small),0.3333333333333333
