country,tolerance,ju_cells_floor5,ju_cells_with_tight,rows_served_floor5,rows_served_with_tight,rows_need_inference
Uganda,1.1,646,659,73452,73478,173021
Uganda,1.25,646,671,73452,73484,173021
Uganda,1.5,646,686,73452,73498,173021
Uganda,2.0,646,707,73452,73528,173021
Malawi,1.1,1173,1196,253425,253518,298188
Malawi,1.25,1173,1207,253425,254059,298188
Malawi,1.5,1173,1222,253425,254162,298188
Malawi,2.0,1173,1264,253425,254464,298188
Nigeria,1.1,1124,1143,166253,166354,178235
Nigeria,1.25,1124,1155,166253,166405,178235
Nigeria,1.5,1124,1171,166253,166460,178235
Nigeria,2.0,1124,1203,166253,166666,178235
Ethiopia,1.1,941,964,99599,99734,104772
Ethiopia,1.25,941,977,99599,99815,104772
Ethiopia,1.5,941,998,99599,99933,104772
Ethiopia,2.0,941,1037,99599,100111,104772
Tanzania,1.1,74,74,3540,3540,3594
Tanzania,1.25,74,75,3540,3549,3594
Tanzania,1.5,74,75,3540,3549,3594
Tanzania,2.0,74,76,3540,3557,3594
Niger,1.1,137,137,75571,75571,216612
Niger,1.25,137,137,75571,75571,216612
Niger,1.5,137,138,75571,75575,216612
Niger,2.0,137,138,75571,75575,216612
Mali,1.1,649,651,208347,208356,300080
Mali,1.25,649,651,208347,208356,300080
Mali,1.5,649,652,208347,208356,300080
Mali,2.0,649,658,208347,208383,300080
EthiopiaRHS,1.1,254,263,26003,26059,42089
EthiopiaRHS,1.25,254,269,26003,26076,42089
EthiopiaRHS,1.5,254,275,26003,26192,42089
EthiopiaRHS,2.0,254,284,26003,26242,42089
GhanaLSS,1.1,875,887,935610,935653,1680442
GhanaLSS,1.25,875,894,935610,935659,1680442
GhanaLSS,1.5,875,905,935610,935688,1680442
GhanaLSS,2.0,875,925,935610,935949,1680442
