country,spread,tolerance,cells_total,cells_strict,cells_in_band,cells_admitted,share_of_band_admitted,admitted_spread_median,admitted_spread_p90,ju_cells_strict,ju_cells,ju_cells_new,rows_need_inference,rows_served_strict,rows_served,rows_gained,share_served_strict,share_served,tag_any_tight,tag_only_tight
Uganda,max_over_min,1.1,652,261,28,0,0.0,,,646,646,0,173021,73452,73452,0,0.4245265025632727,0.4245265025632727,0,0
Uganda,max_over_min,1.25,652,261,28,1,0.03571428571428571,1.2,1.2,646,652,6,173021,73452,74170,718,0.4245265025632727,0.4286762878494518,6,6
Uganda,max_over_min,1.5,652,261,28,3,0.10714285714285714,1.3333333333333333,1.4666666666666666,646,656,10,173021,73452,75501,2049,0.4245265025632727,0.4363689956710457,27,10
Uganda,max_over_min,2.0,652,261,28,8,0.2857142857142857,1.7083333333333335,2.0,646,664,18,173021,73452,75575,2123,0.4245265025632727,0.43679668941920347,56,18
Uganda,iqr_over_median,1.1,652,261,28,21,0.75,0.375,0.625,646,696,50,173021,73452,88051,14599,0.4245265025632727,0.5089035435004999,114,50
Uganda,iqr_over_median,1.25,652,261,28,21,0.75,0.375,0.625,646,696,50,173021,73452,88051,14599,0.4245265025632727,0.5089035435004999,114,50
Uganda,iqr_over_median,1.5,652,261,28,25,0.8928571428571429,0.4166666666666667,1.4208695652173913,646,709,63,173021,73452,89893,16441,0.4245265025632727,0.5195496500424804,132,63
Uganda,iqr_over_median,2.0,652,261,28,26,0.9285714285714286,0.43154761904761907,1.4495341614906831,646,709,63,173021,73452,89893,16441,0.4245265025632727,0.5195496500424804,132,63
Malawi,max_over_min,1.1,612,466,33,2,0.06060606060606061,1.0454545454545454,1.0818181818181818,1173,1176,3,298188,253425,253539,114,0.8498832951024186,0.850265604249668,9,3
Malawi,max_over_min,1.25,612,466,33,3,0.09090909090909091,1.0909090909090908,1.2181818181818183,1173,1178,5,298188,253425,254313,888,0.8498832951024186,0.8528612821441507,12,5
Malawi,max_over_min,1.5,612,466,33,3,0.09090909090909091,1.0909090909090908,1.2181818181818183,1173,1178,5,298188,253425,254313,888,0.8498832951024186,0.8528612821441507,12,5
Malawi,max_over_min,2.0,612,466,33,7,0.21212121212121213,1.666666666666667,2.0,1173,1187,14,298188,253425,254430,1005,0.8498832951024186,0.853253652058433,25,14
Malawi,iqr_over_median,1.1,612,466,33,20,0.6060606060606061,0.49690476190476196,0.7005208333333335,1173,1207,34,298188,253425,265895,12470,0.8498832951024186,0.8917025500690839,58,34
Malawi,iqr_over_median,1.25,612,466,33,20,0.6060606060606061,0.49690476190476196,0.7005208333333335,1173,1207,34,298188,253425,265895,12470,0.8498832951024186,0.8917025500690839,58,34
Malawi,iqr_over_median,1.5,612,466,33,20,0.6060606060606061,0.49690476190476196,0.7005208333333335,1173,1207,34,298188,253425,265895,12470,0.8498832951024186,0.8917025500690839,58,34
Malawi,iqr_over_median,2.0,612,466,33,24,0.7272727272727273,0.5580357142857144,1.7584449760765548,1173,1213,40,298188,253425,265982,12557,0.8498832951024186,0.8919943123130374,77,40
Nigeria,max_over_min,1.1,831,679,30,0,0.0,,,1124,1124,0,178235,166253,166253,0,0.9327741464919909,0.9327741464919909,0,0
Nigeria,max_over_min,1.25,831,679,30,0,0.0,,,1124,1124,0,178235,166253,166253,0,0.9327741464919909,0.9327741464919909,0,0
Nigeria,max_over_min,1.5,831,679,30,2,0.06666666666666667,1.3875,1.4775,1124,1125,1,178235,166253,166299,46,0.9327741464919909,0.9330322327264566,6,1
