country,step2_floor,baseline_floor,cells_ju,rows_served_by_ju,share_of_inference_rows
Uganda,3,3,829,89999,0.540307378279402
Uganda,3,5,752,73562,0.4416281443237077
Uganda,3,10,668,56294,0.33796001680974963
Uganda,3,20,510,34387,0.20644173620700007
Uganda,5,3,710,89885,0.539622981329171
Uganda,5,5,646,73444,0.4409197334453983
Uganda,5,10,568,56184,0.3372996337875968
Uganda,5,20,429,34268,0.20572732184667106
Uganda,10,3,563,88981,0.5341958335834784
Uganda,10,5,508,72897,0.4376358287806928
Uganda,10,10,444,55046,0.33046767124932463
Uganda,10,20,342,33930,0.20369814492405594
Uganda,20,3,433,88184,0.52941105841388
Uganda,20,5,390,72427,0.43481419223149426
Uganda,20,10,349,54766,0.3287866962838446
Uganda,20,20,272,32814,0.19699825899021434
Malawi,3,3,1514,188486,0.9344405334390957
Malawi,3,5,1440,178199,0.8834415745377027
Malawi,3,10,1358,169198,0.8388181052005355
Malawi,3,20,1245,146957,0.7285558475038422
Malawi,5,3,1229,187736,0.9307223241286996
Malawi,5,5,1173,177425,0.8796043825293739
Malawi,5,10,1117,168441,0.8350651926032423
Malawi,5,20,1025,145969,0.723657726438947
Malawi,10,3,925,185272,0.9185067671409449
Malawi,10,5,880,170696,0.8462446085965
Malawi,10,10,844,161747,0.8018789351048535
Malawi,10,20,767,133082,0.659768975261514
Malawi,20,3,697,182953,0.9070100639532002
Malawi,20,5,663,165888,0.8224084081106539
Malawi,20,10,629,156938,0.7780377770065936
Malawi,20,20,563,127564,0.6324128699618263
Nigeria,3,3,1376,134345,0.9729081876511739
Nigeria,3,5,1316,132471,0.9593369349535796
Nigeria,3,10,1185,123944,0.897585562620396
Nigeria,3,20,1048,114740,0.8309314485175905
Nigeria,5,3,1172,133671,0.9680271714728502
Nigeria,5,5,1124,131838,0.9547528351896644
Nigeria,5,10,1013,123254,0.8925886766218154
Nigeria,5,20,899,114013,0.8256666135596658
Nigeria,10,3,949,132325,0.958279622843735
Nigeria,10,5,913,130500,0.9450632214706777
Nigeria,10,10,822,122009,0.8835725562330722
Nigeria,10,20,725,112409,0.8140506640789074
Nigeria,20,3,757,129827,0.9401894471561201
Nigeria,20,5,721,127840,0.9257998638529612
Nigeria,20,10,658,118971,0.8615717741117854
Nigeria,20,20,588,109607,0.7937589618064105
Ethiopia,3,3,1166,79606,0.9898042921443314
Ethiopia,3,5,1127,78536,0.9765001367716908
Ethiopia,3,10,1122,78474,0.9757292417874817
Ethiopia,3,20,1073,75981,0.9447318031482357
Ethiopia,5,3,969,78971,0.9819088354512222
Ethiopia,5,5,941,77936,0.9690398627309577
Ethiopia,5,10,937,77877,0.9683062691169523
Ethiopia,5,20,891,75354,0.9369358167756695
Ethiopia,10,3,761,77710,0.9662298261756148
Ethiopia,10,5,740,76699,0.9536592644169796
Ethiopia,10,10,739,76657,0.9531370452341282
Ethiopia,10,20,706,73984,0.9199015243826624
Ethiopia,20,3,573,75310,0.9363887300126824
Ethiopia,20,5,553,74253,0.9232462139109243
Ethiopia,20,10,550,74184,0.92238828239624
Ethiopia,20,20,526,71630,0.8906323825628528
Tanzania,3,3,78,2181,0.9922656960873522
Tanzania,3,5,77,2181,0.9922656960873522
Tanzania,3,10,76,2181,0.9922656960873522
Tanzania,3,20,72,2178,0.9909008189262967
Tanzania,5,3,75,2171,0.9877161055505005
Tanzania,5,5,74,2171,0.9877161055505005
Tanzania,5,10,73,2171,0.9877161055505005
Tanzania,5,20,70,2171,0.9877161055505005
Tanzania,10,3,71,2147,0.9767970882620565
