country,u,n_rows,n_distinct_j,n_j_with_factor,kg_per_unit_pooled_old,kg_per_unit_pooled_new,kg_per_j_min,kg_per_j_p25,kg_per_j_median,kg_per_j_p75,kg_per_j_max,ratio_max_min
Uganda,Piece (Medium),15527,61,23,0.4864864864864865,0.16666666666666666,0.04,0.15833333333333333,0.2857142857142857,0.4,0.9090909090909091,22.727272727272727
Uganda,Piece (Small),13082,60,19,0.32608695652173914,0.1,0.03666666666666667,0.06833333333333333,0.16666666666666666,0.2928571428571428,0.5,13.636363636363637
Uganda,Others specify,688,57,17,0.6,0.2613871635610766,0.0425,0.13333333532015482,0.17708333333333331,0.4666666666666667,0.5416666666666666,12.745098039215684
Uganda,---,925,55,1,2.6470588235294117,0.06458333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,
Uganda,Heap (Medium),19282,49,15,0.5769230769230769,0.375,0.2,0.4064025616849022,0.5,0.6666666666666666,1.8333333333333335,9.166666666666666
Uganda,Piece (Big),7181,45,10,0.75,0.3,0.05,0.07634615384615384,0.17916666666666664,0.70625,1.8181818181818181,36.36363636363636
Uganda,Heap (Small),21685,44,16,0.3333333333333333,0.19736842105263158,0.1,0.19762336769395283,0.32291666666666663,0.525,1.125,11.25
Uganda,Heap (Big),8661,41,16,1.0,0.5882352941176471,0.4375,0.6436224489795919,0.75,1.0,2.0,4.571428571428571
Uganda,Number of Units (General),12596,41,9,0.6081081081081081,0.13953488372093023,0.059027777777777776,0.09722222222222221,0.2222222222222222,0.51,2.3333333333333335,39.529411764705884
Uganda,Heap (unspecified),16018,37,15,0.6505813953488373,0.28,0.05,0.20615079365079364,0.4166666666666667,0.7916666666666666,1.25,25.0
Uganda,Bunch (Medium),4984,30,0,4.0,2.5,,,,,,
Uganda,Bundle (Medium),5249,13,3,0.37037037037037035,0.15,0.3020833333333333,0.3166399572649573,0.33119658119658124,0.5405982905982907,0.75,2.4827586206896552
Uganda,Bundle (Unspecified),4583,12,5,0.358974358974359,0.12903225806451613,0.15625,0.30000000000000004,0.5,0.8333333333333334,1.4814814814814814,9.481481481481481
Uganda,Bundle (Small),5082,12,3,0.25,0.11666666666666667,0.15615384615384614,0.16141025641025641,0.16666666666666666,0.2833333333333333,0.4,2.5615763546798034
Uganda,Bundle (Big),2716,11,3,0.45454545454545453,0.17857142857142858,0.3125,0.5408653846153846,0.7692307692307693,0.8846153846153846,1.0,3.2
Uganda,Bunch (Big),2287,11,0,3.3333333333333335,2.5,,,,,,
Uganda,Table spoon,733,11,7,0.3409090909090909,0.125,0.02,0.043114177489177494,0.05972222222222222,0.06458333333333333,0.08213141025641026,4.106570512820513
Uganda,Cluster (Small),785,10,0,0.4444444444444444,0.2916666666666667,,,,,,
Uganda,Cluster (Medium),999,9,0,0.8333333333333334,0.5194902548725637,,,,,,
Uganda,Bunch (Small),4339,9,0,2.25,1.3888888888888888,,,,,,
Uganda,Fish Whole (Medium),2165,8,3,1.875,1.1666666666666667,0.4166666666666667,0.4696969696969697,0.5227272727272727,0.9743265993265994,1.425925925925926,3.4222222222222225
Uganda,Fish Whole (Small),2794,8,3,1.3333333333333333,0.6666666666666666,0.21875,0.2608901515151515,0.303030303030303,0.520959595959596,0.7388888888888889,3.3777777777777778
Uganda,Fish Whole  (Large),693,8,3,2.857142857142857,2.0,0.8333333333333334,0.8522727272727273,0.8712121212121212,1.305976430976431,1.7407407407407407,2.0888888888888886
Uganda,Akendo (Small),5818,7,2,0.4166666666666667,0.0625,0.09635384615384616,0.11914038461538462,0.1419269230769231,0.16471346153846153,0.1875,1.945952418968545
Uganda,Sack (unspecified),10,7,0,5.347222222222222,3.5555555555555554,,,,,,
Uganda,Tea spoon,314,7,4,0.27586206896551724,0.06666666666666667,0.02,0.029210164835164833,0.035931776556776554,0.05,0.08125,4.0625
Uganda,Cluster (Big),597,6,0,1.2,0.8108108108108109,,,,,,
Uganda,Tot (Unspecified),52,4,0,0.5833333333333334,0.19230769230769232,,,,,,
Uganda,Tot (sachet),227,4,1,0.9510416666666667,0.2155887230514096,0.05,0.05,0.05,0.05,0.05,
Uganda,Akendo (Medium),2934,3,0,0.4375,0.08571428571428572,,,,,,
Uganda,Akendo (Big),2163,3,0,0.45454545454545453,0.125,,,,,,
Uganda,Cluster (Unspecified),3,2,0,0.8,0.26666666666666666,,,,,,
Uganda,Container (Medium),143,2,2,1.0714285714285714,1.037037037037037,0.75,0.7625,0.775,0.7875000000000001,0.8,1.0666666666666667
Uganda,Fish Whole (Large),2,2,0,2.912790697674419,0.6438953488372093,,,,,,
Uganda,Crate,40,2,0,6.864942528735632,6.541666666666666,,,,,,
Uganda,Container (Small),452,2,2,0.5186206896551724,0.5357142857142857,0.375,0.40875,0.4425,0.47625,0.51,1.36
Uganda,Tobacco leaf (Number),568,2,0,0.17678571428571427,0.06538461538461537,,,,,,
Uganda,Container (Big),19,2,2,0.6521739130434783,1.1428571428571428,0.875,0.89625,0.9175,0.93875,0.96,1.0971428571428572
Uganda,Container (Smallest),37,1,1,0.4181818181818182,0.47631048387096775,0.26,0.26,0.26,0.26,0.26,
Uganda,Tray of 30 eggs,137,1,0,2.3333333333333335,2.5,,,,,,
Malawi,Piece,62096,133,72,0.5,0.10357142857142858,0.001,0.05168749974668026,0.15192307692307694,0.25846754807692307,1.8333333333333335,1833.3333333333335
Malawi,Other (Specify),929,101,36,0.9090909090909091,0.4639175257731959,0.006750000000000001,0.11220930232558139,0.3300000022351742,1.083984375,11.83934464967048,1753.9769851363671
Malawi,Heap,38760,90,49,0.637065637065637,0.27906976744186046,0.01,0.1525000035762787,0.21052631578947367,0.3666666666666667,1.895770628392483,189.5770628392483
Malawi,Tina,8515,60,33,0.72,0.4116766467065868,0.047,0.1583333344509204,0.3333333333333333,0.4499999899417162,1.9230769230769231,40.91653027823241
Malawi,Piece (Large),1790,59,28,0.5714285714285714,0.176,0.03986666666666667,0.12,0.28812499999999996,0.41575,1.92,48.16053511705685
Malawi,No. 10 plate,9872,59,28,0.2674131274131274,0.125,0.011363636363636364,0.096875,0.125,0.1875,1.0,88.0
Malawi,Piece (Medium),3137,58,27,0.43700000000000006,0.10997732426303855,0.04957160342717258,0.09999999999999999,0.21,0.32290625,1.1637499999999998,23.47614197530864
Malawi,Cup,1393,57,23,0.5,0.25,0.03015075376884422,0.12545795809105986,0.25,0.3562962960727789,0.5333333333333333,17.68888888888889
Malawi,Piece (Small),2166,56,32,0.3333333333333333,0.075,0.0025,0.06458333333333334,0.17233072916666667,0.39312500000000006,2.2095697252462414,883.8278900984966
Malawi,No 10 Plate,1542,53,19,0.5263157894736842,0.3157894736842105,0.016,0.14140981735159816,0.25,0.4083333333333333,0.8333333333333333,52.08333333333333
Malawi,Other,660,48,12,0.25,0.09090909090909091,0.003787878787878788,0.024313065326633167,0.08846153846153847,0.2793269230769231,0.5,132.0
Malawi,Packet,6928,48,29,1.0706199460916443,1.0080000102519988,0.001,0.073125,0.10500000417232513,0.26,36.01483333234985,36014.83333234985
Malawi,Heap (Small),1235,46,17,0.3636111111111111,0.2,0.0984931506849315,0.22700000000000004,0.3384136858475894,0.6799999999999999,1.305,13.249652294853965
Malawi,No.12 Plate,753,45,18,0.63,0.36809815950920244,0.04,0.3352272727272727,0.37749999999999995,0.4861111111111111,1.305,32.625
Malawi,Heap (Medium),1261,44,19,0.48456292365415315,0.25,0.16643835616438354,0.34420684292379466,0.47916666666666663,0.9771249999999999,2.145,12.887654320987656
