country,class,u,truth_kg,n_rows,n_items,served_now,fix_b,fix_c_median_j,served_now_x_truth,fix_b_x_truth,fix_c_median_j_x_truth
Uganda,B: unparsed content,Bottle (1.5ltr),1.5,151,3,1.4,0.875000013038516,,0.933,0.583,
Uganda,B: unparsed content,Bottle (1ltr),1.0,169,6,1.0113636363636362,0.5555555555555556,,1.011,0.556,
Uganda,B: unparsed content,Bottle (2ltr),2.0,26,4,1.3333333333333333,1.1428571428571428,0.025,0.667,0.571,0.012
Uganda,B: unparsed content,Cup/Mug(0.5lt),0.5,22250,50,1.0,0.25,0.33854166666666663,2.0,0.5,0.677
Uganda,B: unparsed content,Glass(0.25lt),0.25,3399,35,0.5,0.25,0.22474747474747475,2.0,1.0,0.899
Uganda,B: unparsed content,Gourd (1-5lts),5.0,198,17,1.3500000100582839,0.625,2.0,0.27,0.125,0.4
Uganda,B: unparsed content,Jerrican (1 lt),1.0,247,8,1.0606060606060606,1.3157894736842106,1.8181818181818181,1.061,1.316,1.818
Uganda,B: unparsed content,Jerrican (10 lts),10.0,29,6,3.7142857403627465,2.761904761904762,,0.371,0.276,
Uganda,B: unparsed content,Jerrican (2 lts),2.0,112,7,1.3333333333333333,1.6666666666666665,3.1818181818181817,0.667,0.833,1.591
Uganda,B: unparsed content,Jerrican (20 lts),20.0,54,6,3.3333333333333335,2.5,8.75,0.167,0.125,0.438
Uganda,B: unparsed content,Jerrican (3 lts),3.0,123,9,1.3333333333333333,4.117647058823529,,0.444,1.373,
Uganda,B: unparsed content,Jerrican (5 lts),5.0,58,12,1.8214285714285714,2.0,4.0,0.364,0.4,0.8
Uganda,B: unparsed content,Jug (1 lt),1.0,190,9,1.0,0.3448275862068966,1.6122159090909092,1.0,0.345,1.612
Uganda,B: unparsed content,Jug (1.5 lts),1.5,89,5,0.9583333333333333,0.31666666666666665,1.8181818181818181,0.639,0.211,1.212
Uganda,B: unparsed content,Jug (2 lts),2.0,628,19,1.3333333333333333,0.35,1.25,0.667,0.175,0.625
Uganda,B: unparsed content,Jug (2.5ltrs),2.5,94,10,1.5,0.5000000074505806,1.9375,0.6,0.2,0.775
Uganda,B: unparsed content,Plastic Basin (15 lts),15.0,3935,30,2.5,2.1163047126464534,6.875,0.167,0.141,0.458
Uganda,B: unparsed content,Plastic Basin (5 ltrs),5.0,827,25,1.6666666666666667,0.9561904761904761,2.0,0.333,0.191,0.4
Uganda,B: unparsed content,Sack (50 kgs),50.0,62,12,4.375,7.970588252695993,40.468749970064636,0.088,0.159,0.809
Uganda,B: unparsed content,Tin (5 lts),5.0,184,20,1.625,1.1428571428571428,1.8258928571428572,0.325,0.229,0.365
Uganda,B: unparsed content,Tin (Debe) (20 lts),20.0,510,17,3.3333333333333335,2.5,10.0,0.167,0.125,0.5
Malawi,A: bare metric spelling,Grams,0.001,1217,53,0.7056756123892577,0.0032,0.0011925925925925925,705.676,3.2,1.193
Malawi,A: bare metric spelling,Millilitre,0.001,16912,69,0.7425148176969957,0.0021384615384615387,0.0009861111111111112,742.515,2.138,0.986
Ethiopia,A: bare metric spelling,Litres,1.0,12113,37,1.8333333333333333,2.0,0.9166666666666666,1.833,2.0,0.917
Ethiopia,A: bare metric spelling,Mili Liter,0.001,2275,21,1.0645833333333332,0.002142857142857143,0.0010166666666666666,1064.583,2.143,1.017
GhanaLSS,A: bare metric spelling,Milliliter,0.001,1718,63,0.265631,0.0011351718181818182,0.0019375,265.631,1.135,1.938
Mali,A: bare metric spelling,Gramme,0.001,2120,98,0.7083333333333334,0.0625,0.16620879120879123,708.333,62.5,166.209
