country,baseline_max_spread,item_unit,item_unit_tight,unit,none,rows_moved_to_unit_or_none,kg_total,kg_pct_vs_branch
Uganda,3,43820,718,128483,0,29495,1224575.3457540667,-1.8832968056885835
Uganda,5,57670,718,114633,0,15645,1236257.0923849978,-0.9473197170167369
Uganda,10,59744,718,112559,0,13571,1242402.7733372827,-0.45490905726189856
Uganda,30,72240,718,100063,0,1075,1246326.989695324,-0.14048890091363786
Malawi,3,69142,889,227164,991,183222,2342136.432764129,-9.41188752143246
Malawi,5,156410,889,139896,991,95954,2541265.9806053815,-1.7100433311002972
Malawi,10,225580,889,70726,991,26784,2582664.7233336736,-0.10884115078330092
Malawi,30,246702,889,49604,991,5662,2588245.517750203,0.10701033645379443
Nigeria,3,55721,0,122503,11,110145,1464994.634560912,-3.8450261187520596
Nigeria,5,94148,0,84076,11,71718,1535702.5683219244,0.7958915771854036
Nigeria,10,125763,0,52461,11,40103,1544689.5392154013,1.3857517248935913
Nigeria,30,150919,0,27305,11,14947,1550745.669007103,1.7832460147733986
Ethiopia,3,59282,0,45349,141,39109,796110.7764769141,10.387603957313353
Ethiopia,5,74425,0,30212,135,23966,791240.628253066,9.712316033531355
Ethiopia,10,86534,0,18103,135,11857,747006.1065104057,3.578819274476319
Ethiopia,30,98005,0,6632,135,386,720342.325196512,-0.11834325447214189
Tanzania,3,3247,0,347,0,285,777903.5959143993,-0.07857777381392594
Tanzania,5,3417,0,177,0,115,777915.5461100057,-0.07704277571499718
Tanzania,10,3532,0,62,0,0,778514.5273103231,-0.00010386742764767476
Tanzania,30,3532,0,62,0,0,778515.3359341763,0.0
Niger,3,15874,30,200665,43,59689,263418.4678450567,19.596808131675992
Niger,5,45195,30,171344,43,30368,261445.38590379496,18.700992799184
Niger,10,57013,30,159526,43,18550,252794.78919871384,14.773463484987847
Niger,30,62081,30,154458,43,13482,257090.1490161998,16.72363549893543
Mali,3,14726,0,283820,1534,193565,12279583.22757894,-15.802073278405459
Mali,5,86069,0,212477,1534,122222,12921174.046604104,-11.402850946152132
Mali,10,125854,0,172692,1534,82437,12909083.62274452,-11.485751856003546
Mali,30,167280,0,131266,1534,41011,13194724.074064046,-9.527189147221238
EthiopiaRHS,3,22499,249,16983,2532,3338,215461.50750952377,-0.6264409257386583
EthiopiaRHS,5,25820,249,13662,2532,17,217244.42929326196,0.19586504087703016
EthiopiaRHS,10,25837,249,13645,2532,0,216819.75519112736,0.0
EthiopiaRHS,30,25837,249,13645,2532,0,216819.75519112736,0.0
GhanaLSS,3,221323,5980,1208893,3737161,714061,2095994.50952116,-11.150860755160663
GhanaLSS,5,268137,5980,1162079,3737161,667247,2095376.403920118,-11.177062231531675
GhanaLSS,10,504417,5980,925799,3737161,430967,2418800.8893710957,2.5328912118050217
GhanaLSS,30,598964,5980,831252,3737161,336420,2404522.388277177,1.9276260137625734
