country,t,j,exp_share,price_kg_before,price_kg_after,pct_change
Uganda,2019-20,Matoke (bunch),0.09840534255571262,2000.0,3200.0,60.00000000000001
Uganda,2019-20,Beef,0.06462749895884172,10000.0,10000.0,0.0
Uganda,2019-20,Beans (dry),0.058669788711396435,3000.0,3000.0,0.0
Uganda,2019-20,Restaurant (food),0.0553003579084341,,,
Uganda,2019-20,Maize (flour),0.05443388869312229,2000.0,2000.0,0.0
Uganda,2019-20,Sweet Potatoes (fresh),0.04740643441297261,3000.0,5066.666666666667,68.88888888888889
Uganda,2019-20,Cassava (fresh),0.037004972647186926,3000.0,2000.0,-33.333333333333336
Uganda,2019-20,Milk (fresh),0.035747248902724287,1000.0,1200.0,19.999999999999996
Uganda,2019-20,Rice,0.03484548936621358,3400.0,3500.0,2.941176470588225
Uganda,2019-20,Cassava (dry),0.028116185967037792,1000.0,1000.0,0.0
Malawi,2019-20,Maize Ufa Mgaiwa (Normal Flour),0.09990848891381757,312.5,312.5,0.0
Malawi,2019-20,Maize Ufa Refined (Fine Flour),0.0696940149741728,358.77364823041466,358.77364823041466,0.0
Malawi,2019-20,Tomato,0.04982520253090466,347.22221920404724,347.22221920404724,0.0
Malawi,2019-20,Cooking Oil,0.04907958941740688,1111.1110669595241,1111.1110669595241,0.0
Malawi,2019-20,Sugar,0.04877477502814049,887.3363544813694,900.0,1.4271527876294599
Malawi,2019-20,Rice,0.04730685373597653,600.0,700.0,16.666666666666675
Malawi,2019-20,Chicken,0.03061819553421137,3500.0,2380.9523989734375,-31.97278860075893
Malawi,2019-20,Goat,0.029640916727485814,2000.0,2000.0,0.0
Malawi,2019-20,Eggs,0.028503487888786566,1612.9032521664667,1612.9032521664667,0.0
Malawi,2019-20,Bread,0.028375540015643026,749.9999701976787,749.9999701976787,0.0
Nigeria,2019Q1,Rice--imported,0.13014672097555519,382.16559232778087,382.16559232778087,0.0
Nigeria,2019Q1,Rice--local,0.09985488063702042,279.7202899803593,279.7202899803593,0.0
Nigeria,2019Q1,Beef,0.07343736987631432,1200.0,1200.0,0.0
Nigeria,2019Q1,Palm oil,0.05326550258561541,533.3333333333334,533.3333333333334,0.0
Nigeria,2019Q1,Yam--roots,0.044777660198378116,101.5228452607712,101.5228452607712,0.0
Nigeria,2019Q1,White beans,0.04167083111368063,370.3703556531748,370.3703556531748,0.0
Nigeria,2019Q1,Bread,0.038636277070641795,347.82609416766985,347.82609416766985,0.0
Nigeria,2019Q1,Groundnut oil,0.035369286728383235,560.0,560.0,0.0
Nigeria,2019Q1,Chicken,0.02853294224798679,1300.0,1300.0,0.0
Nigeria,2019Q1,Tomatoes,0.023324326781315678,202.0202000741263,202.0202000741263,0.0
Ethiopia,2021-22,Oils,0.08068701546148993,98.18181818181819,200.0,103.70370370370368
Ethiopia,2021-22,Goat & mutton meat,0.07798709132036125,450.0,440.0,-2.2222222222222254
Ethiopia,2021-22,Beef,0.07454632939328493,500.0,500.0,0.0
Ethiopia,2021-22,Teff,0.07034599934491784,50.0,50.0,0.0
Ethiopia,2021-22,Chat/Kat,0.048815995590204955,30.0,450.0,1400.0
Ethiopia,2021-22,Rice,0.043321043405448116,50.0,50.0,0.0
Ethiopia,2021-22,Coffee,0.04305234786273297,280.0,340.0,21.42857142857142
Ethiopia,2021-22,Berbere,0.042587635611883244,250.0,280.0,12.00000000000001
Ethiopia,2021-22,Onion,0.04189299886947938,45.0,45.0,0.0
Ethiopia,2021-22,Maize,0.031789188636996535,27.0,28.0,3.703703703703698
Tanzania,2020-21,Rice (husked),0.12954154724034259,1500.0,1500.0,0.0
Tanzania,2020-21,Maize (flour),0.10918096563189689,1000.0,1000.0,0.0
Tanzania,2020-21,Fish (fresh),0.07878820834491698,5000.0,5000.0,0.0
Tanzania,2020-21,Beef,0.06938158582025092,7000.0,7000.0,0.0
Tanzania,2020-21,Cooking Oil,0.06519215823710345,5000.0,5000.0,0.0
Tanzania,2020-21,Vegetables (fresh),0.0620035282305826,1250.0,1256.6821695632607,0.5345735650608585
Tanzania,2020-21,Sugar,0.05297229591127904,2800.0,2800.0,0.0
Tanzania,2020-21,Pulses,0.04798434411458863,2400.0,2400.0,0.0
Tanzania,2020-21,Coconuts,0.03012597512161549,1176.470588235294,1250.0,6.250000000000022
Tanzania,2020-21,Bread,0.02995103599678637,2400.0,2500.0,4.166666666666674
Niger,2021-22,Riz importé non parfumé,0.1976361314076049,500.0,500.0,0.0
Niger,2021-22,Mil,0.15461947752275576,359.8413641711036,2285.714285714286,535.2005392652511
Niger,2021-22,Maïs en grain,0.10917098230440903,359.8413641711036,2840.277777777778,689.3138645470545
Niger,2021-22,Huile de palme raffinée,0.06489386307335655,516.6666666666666,1125.0,117.741935483871
Niger,2021-22,Pâtes alimentaires,0.04841168776909903,420.0,600.0,42.85714285714286
Niger,2021-22,Sorgho,0.03275566991262092,287.87309133688285,480.0,66.7401415571284
Niger,2021-22,Niébé/Haricots secs,0.022007090611483742,500.0,675.0,35.00000000000001
Niger,2021-22,Viande de bœuf,0.020476950392825218,400.0,955.4342305738953,138.8585576434738
Niger,2021-22,Lait en poudre,0.019135500988408185,2583.3333333333335,4000.0,54.83870967741935
Niger,2021-22,Sucre poudre,0.019049627311156798,172.22222222222226,600.0,248.38709677419345
Mali,2021-22,Riz local Gambiaka,0.17495401518275536,1250.0,1211.111111111111,-3.111111111111109
Mali,2021-22,Mil,0.10420872912640844,500.0,500.0,0.0
Mali,2021-22,Riz brisé importé,0.08016590060955342,1157.8947368421052,1111.111111111111,-4.040404040404033
Mali,2021-22,Sucre poudre,0.04771067314629896,300.0,333.33333333333326,11.111111111111093
Mali,2021-22,Riz importé parfumé,0.03953542918821754,1286.764705882353,1222.2222222222222,-5.015873015873018
Mali,2021-22,Viande de bœuf,0.03376715025823853,618.1645268663814,1147.5409836065573,85.63682219419924
Mali,2021-22,Lait en poudre,0.029217680564692997,2000.0,2000.0,0.0
