Code ,2009-10,2013-14,2017-2018,Preferred Label,Agg Label,FCT Code ,FCT Code label 
1,Alchoholic Beverages,Alcoholic Beverages,Alcoholic beverages,Alcoholic beverages,Alcoholoic Beverages,12_006,Palm wine (ca. 3.8% v/v alcohol)
2,Apple,Apple,Apple,Apple,Apple,05_047,"Apple, without skin, raw"
3,Avocado Pear,Avocado/Pear,Avocado/pear,Avocado,Avocado ,05_002,"Avocado, fruit, raw"
4,Baby Food,Baby food,Baby food,Baby food,Baby Food ,10_011,"Infant formula, powder, for 3 months, fortified"
5,Baby Milk,Baby milk,Baby milk,Baby milk,Other Milk Products ,10_028,"Cheese, fresh curd, from cow’s milk"
6,Banana,Banana,Banana,Banana,Banana,05_048,"Banana, white flesh, ripe, raw"
7,Beef,Beef,Beef,Beef,Beef,07_014,"Beef meat, fatty, ca. 30% fat, raw"
8,Biscuits,Biscuits,Biscuits,Biscuits,Pastries,01_188,"Biscuit, sweet, plain, unfortified"
9,Black Pepper,Black Pepper,Black pepper,Black Pepper ,Black Pepper ,13_014,"Pepper, black"
10,"Bottled Water, Soft Drink & Ju","Bottled water, Soft Drinks, and Juices",Soft drinks and juices,Soft drinks,Non Alcoholic Beverages  ,12_012,"Juice, canned or bottled, sweetened (e.g. apple)"
11,Bread,Bread,Bread,Bread,Bread ,01_047,"Bread, wheat, white for toasting, unfortified"
12,Bush Meat/Wild Game,Bush Meat/Wild Game,Bush meat/wild game,Bush meat,Other Meat ,07_005,"Pork meat, fatty, ca. 40% fat, raw"
13,Cabbage,Cabbage,Cabbage,Cabbage,Other Vegetables ,04_005,"Cabbage, white, raw"
14,Canned/Tin Fish,Canned/Tinned Fish,Canned/tinned fish,Canned fish,Fish ,09_003,"Mackerel, fillet, raw"
15,Carrots,Carrots,Carrots,Carrots,Carrots,04_006,"Carrot, raw"
16,Cassava,Cassava,Cassava,Cassava,Cassava ,02_001,"Cassava, tuber, white flesh, raw"
17,Cassava Dough,Cassava Dough,Cassava dough,Cassava Dough ,Cassava Dough ,02_004,"Cassava, flour, from white cassava"
18,Chicken/Guinea Fowl,Chicken/Guinea Fowl,Chicken/guinea fowl,Chicken,Chicken ,07_039,"Chicken giblets, raw"
19,Chocolate,Chocolate,Chocolate,Chocolate,Other Confectionaries ,13_001,Honey
20,Coconut,Coconut,Coconut,Coconut,Coconut ,06_004,"Coconut, immature kernel, fresh, raw"
21,Coconut Oil,Coconut Oil,Coconut oil,Coconut oil,Oil and Fats ,11_006,"Margarine, fortified with vitamin A"
22,Cocoyam,Cocoyam,Cocoyam,Cocoyam,Cocoyam ,02_005,"Cocoyam, tuber, white, raw"
23,Cocoyam Leaves,Cocoyam Leaves,Cocoyam leaves (Kontomire),Cocoyam Leaves ,Cocoyam Leaves ,04_009,"Cocoyam, leaves, fresh, raw"
24,"Coffee, Tea Cocoa, Etc","Coffea, Tea, Cocoa, etc.","Coffee, tea, cocoa, etc.",Tea,Non Alcoholic Beverages  ,12_012,"Juice, canned or bottled, sweetened (e.g. apple)"
25,Cola Nuts,Cola nuts,Cola nuts,Cola nuts,Cola Nuts ,06_019,"Cola nut, dried, raw"
26,Cooked Meals $(As Wages),Cooked Meals,Cooked meals,Cooked Meals,Cooked Meals ,01_131,"Pearl millet, decorticated, boiled* (as part of a recipe)"
27,Corned Beef,Corned Beef,Corned beef,Corned Beef,Beef,07_014,"Beef meat, fatty, ca. 30% fat, raw"
28,Cowpea Beans,Cowpea beans,Cowpea beans,Cowpea beans,Beans ,03_004,"Cowpea, dry, raw"
29,,Crab,Crab,Crab,Fish ,09_003,"Mackerel, fillet, raw"
30,,Dawa dawa,Dawadawa,Dawadawa,Dawadawa,03_009,"African locust bean, dry, raw"
31,Eggs,Eggs,Eggs,Eggs,Eggs,08_005,"Egg, chicken, local breed, raw"
32,Fish,Fish,Fish,Fish,Fish ,09_003,"Mackerel, fillet, raw"
33,Flour $(Wheat),Flour,Flour,Flour,Flour,01_043,"Wheat flour, white, unfortified"
34,Game Birds,Game Birds,Game birds,Game birds,Other Meat ,07_005,"Pork meat, fatty, ca. 40% fat, raw"
35,Garden Eggs,Garden Eggs,Garden Eggs,Garden Eggs,Eggs ,08_005,"Egg, chicken, local breed, raw"
36,Gari,Gari,Gari,Gari,Gari ,02_039,"Cassava, grated, from fermented white cassava, toasted without oil (white gari)"
37,Ginger,Ginger,Ginger,Ginger,Ginger ,04_082,"Ginger, root, raw"
38,Goat Meat,Goat Meat,Goat meat,Goat meat,Goat Meat ,07_069,"Goat meat, lean, raw"
39,Maize Ground/ Corn Dough,Ground maize/corn dough,Ground maize/corn dough,Maize Dough ,Maize Dough ,01_098,"Maize dough, fermented (tô), from decorticated white maize only, cooked"
40,Groundnut Oil,Groundnut Oil,Groundnut oil,Groundnut oil,Oils and Fats ,11_006,"Margarine, fortified with vitamin A"
41,Groundnuts,Groundnuts,Groundnuts,Groundnuts,Groundnuts ,06_023,"Groundnut, Chinese, shelled, dried, raw (Ghana), n=1"
42,Guinea Corn/Sorghum,Guinea corn/sorghum,Guinea corn/sorghum,Guinea Corn ,Sorghum ,01_039,"Sorghum, whole grains, raw"
43,Honey,Honey,Honey,Honey,Other Confectionaries ,13_001,Honey
44,"Ice Cream, Ice Lollies","Ice Cream, Ice Lollies, etc.","Ice cream, ice lollies, etc.",Ice cream,Other Confectionaries ,13_001,Honey
45,Kenkey/Banku $(Without Sauce),Kenkey/banku,Kenkey/banku,Banku,Banku ,02_051,"Cassava, tuber, white flesh, boiled* (as part of a recipe)"
46,Maize,Maize,Maize,Maize,Maize ,01_060,"Maize, white, grit, degermed, raw"
