page	xobject	width	height	columns	rows	K	BlackIs1	filters	nbytes
1	Im1	3315	2596	3315	2596	-1	False	CCITTFaxDecode	70292
2	Im2	3275	2544	3275	2544	-1	False	CCITTFaxDecode	2244
3	Im3	3311	2591	3311	2591	-1	False	CCITTFaxDecode	40104
4	Im4	3293	2565	3293	2565	-1	False	CCITTFaxDecode	34844
5	Im5	3292	2571	3292	2571	-1	False	CCITTFaxDecode	22982
6	Im6	3274	2544	3274	2544	-1	False	CCITTFaxDecode	2293
7	Im7	3341	2619	3341	2619	-1	False	CCITTFaxDecode	88819
8	Im8	3309	2572	3309	2572	-1	False	CCITTFaxDecode	37891
9	Im9	3269	2544	3269	2544	-1	False	CCITTFaxDecode	13363
10	Im10	3310	2594	3310	2594	-1	False	CCITTFaxDecode	33469
11	Im11	3296	2577	3296	2577	-1	False	CCITTFaxDecode	31650
12	Im12	3275	2544	3275	2544	-1	False	CCITTFaxDecode	3092
13	Im13	3313	2594	3313	2594	-1	False	CCITTFaxDecode	55695
14	Im14	3294	2580	3294	2580	-1	False	CCITTFaxDecode	56115
15	Im15	3282	2570	3282	2570	-1	False	CCITTFaxDecode	3164
16	Im16	3325	2598	3325	2598	-1	False	CCITTFaxDecode	73066
17	Im17	3290	2544	3290	2544	-1	False	CCITTFaxDecode	3520
18	Im18	3288	2572	3288	2572	-1	False	CCITTFaxDecode	62729
19	Im19	3296	2575	3296	2575	-1	False	CCITTFaxDecode	53825
20	Im20	3339	2610	3339	2610	-1	False	CCITTFaxDecode	55576
21	Im21	3272	2544	3272	2544	-1	False	CCITTFaxDecode	40396
22	Im22	3346	2613	3346	2613	-1	False	CCITTFaxDecode	30346
23	Im23	3296	2572	3296	2572	-1	False	CCITTFaxDecode	100365
24	Im24	3322	2588	3322	2588	-1	False	CCITTFaxDecode	53068
25	Im25	3289	2565	3289	2565	-1	False	CCITTFaxDecode	59250
26	Im26	3270	2544	3270	2544	-1	False	CCITTFaxDecode	55809
27	Im27	3309	2583	3309	2583	-1	False	CCITTFaxDecode	58286
28	Im28	3293	2568	3293	2568	-1	False	CCITTFaxDecode	74304
29	Im29	3292	2566	3292	2566	-1	False	CCITTFaxDecode	23574
30	Im30	3304	2582	3304	2582	-1	False	CCITTFaxDecode	94176
31	Im31	3302	2585	3302	2585	-1	False	CCITTFaxDecode	82764
32	Im32	3320	2601	3320	2601	-1	False	CCITTFaxDecode	46819
33	Im33	3291	2574	3291	2574	-1	False	CCITTFaxDecode	60183
34	Im34	3272	2544	3272	2544	-1	False	CCITTFaxDecode	3961
35	Im35	3294	2574	3294	2574	-1	False	CCITTFaxDecode	60021
36	Im36	3289	2567	3289	2567	-1	False	CCITTFaxDecode	25884
37	Im37	3268	2544	3268	2544	-1	False	CCITTFaxDecode	13844
38	Im38	3270	2544	3270	2544	-1	False	CCITTFaxDecode	40595
39	Im39	3273	2544	3273	2544	-1	False	CCITTFaxDecode	120763
40	Im40	3291	2571	3291	2571	-1	False	CCITTFaxDecode	17249
41	Im41	3268	2542	3268	2542	-1	False	CCITTFaxDecode	3000
42	Im42	3272	2544	3272	2544	-1	False	CCITTFaxDecode	30056
43	Im43	3299	2580	3299	2580	-1	False	CCITTFaxDecode	21151
44	Im44	3271	2543	3271	2543	-1	False	CCITTFaxDecode	145102
45	Im45	3287	2563	3287	2563	-1	False	CCITTFaxDecode	158992
46	Im46	3290	2565	3290	2565	-1	False	CCITTFaxDecode	21777
47	Im47	3273	2544	3273	2544	-1	False	CCITTFaxDecode	46443
48	Im48	3272	2544	3272	2544	-1	False	CCITTFaxDecode	46579
49	Im49	3273	2544	3273	2544	-1	False	CCITTFaxDecode	30127
50	Im50	3288	2562	3288	2562	-1	False	CCITTFaxDecode	29715
51	Im51	3274	2544	3274	2544	-1	False	CCITTFaxDecode	16828
52	Im52	3275	2544	3275	2544	-1	False	CCITTFaxDecode	110006
53	Im53	3272	2544	3272	2544	-1	False	CCITTFaxDecode	76703
54	Im54	3284	2559	3284	2559	-1	False	CCITTFaxDecode	61583
55	Im55	3280	2555	3280	2555	-1	False	CCITTFaxDecode	80235
56	Im56	3289	2565	3289	2565	-1	False	CCITTFaxDecode	45378
57	Im57	3289	2570	3289	2570	-1	False	CCITTFaxDecode	70482
58	Im58	3271	2544	3271	2544	-1	False	CCITTFaxDecode	34833
59	Im59	3273	2544	3273	2544	-1	False	CCITTFaxDecode	84461
60	Im60	3279	2544	3279	2544	-1	False	CCITTFaxDecode	41887
61	Im61	3289	2567	3289	2567	-1	False	CCITTFaxDecode	90839
62	Im62	3303	2580	3303	2580	-1	False	CCITTFaxDecode	38136
63	Im63	3270	2543	3270	2543	-1	False	CCITTFaxDecode	34171
64	Im64	3272	2542	3272	2542	-1	False	CCITTFaxDecode	99317
65	Im65	3278	2544	3278	2544	-1	False	CCITTFaxDecode	35938
66	Im66	3280	2543	3280	2543	-1	False	CCITTFaxDecode	70246
67	Im67	3276	2544	3276	2544	-1	False	CCITTFaxDecode	61184
68	Im68	3299	2568	3299	2568	-1	False	CCITTFaxDecode	80601
69	Im69	3286	2563	3286	2563	-1	False	CCITTFaxDecode	43784
70	Im70	3269	2543	3269	2543	-1	False	CCITTFaxDecode	40107
71	Im71	3270	2541	3270	2541	-1	False	CCITTFaxDecode	25792
72	Im72	3269	2544	3269	2544	-1	False	CCITTFaxDecode	49514
73	Im73	3271	2543	3271	2543	-1	False	CCITTFaxDecode	43129
74	Z_Im0	2496	3300	2496	3300	-1	False	CCITTFaxDecode	20002
75	Z_Im0	2496	3300	2496	3300	-1	False	CCITTFaxDecode	51382
76	Z_Im0	2496	3300	2496	3300	-1	False	CCITTFaxDecode	112496
77	Z_Im0	2496	3300	2496	3300	-1	False	CCITTFaxDecode	105356
78	Z_Im0	2496	3300	2496	3300	-1	False	CCITTFaxDecode	50306
