country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Ethiopia,2011-12,unit_value_vs_crop_sale_price,native,all,5,5,31,13,18,0.19603277423089027,0.38505411084803676,0.22580645161290322,,,0.2749594196843022,0.131623100622087,,,False
Ethiopia,2011-12,unit_value_vs_crop_sale_price,native,District,5,5,15,5,13,0.11592095724855422,0.2876820724517808,0.13333333333333333,,,,,,,False
Ethiopia,2011-12,unit_value_vs_crop_sale_price,native,Region,5,5,15,7,4,0.35667494393873267,0.39164130222114,0.3333333333333333,,,0.3317204334986868,0.14871645655946028,,,True
Ethiopia,2011-12,unit_value_vs_crop_sale_price,native,national,5,5,1,1,1,-0.12565721414045328,0.0,0.0,,,,,,,False
Ethiopia,2013-14,unit_value_vs_crop_sale_price,native,all,5,5,16,13,10,0.17663119458721732,0.35550395096766424,0.3125,,,0.07264491308742453,0.2996499855232458,,,False
Ethiopia,2013-14,unit_value_vs_crop_sale_price,native,District,5,5,9,7,5,0.33647223662121295,0.36853320724739125,0.3333333333333333,,,,,,,True
Ethiopia,2013-14,unit_value_vs_crop_sale_price,native,Region,5,5,4,3,4,0.1339171776600031,0.1064495809559316,0.25,,,,,,,False
Ethiopia,2013-14,unit_value_vs_crop_sale_price,native,national,5,5,3,3,1,0.08004270767353638,0.318779139683145,0.3333333333333333,,,,,,,False
Ethiopia,2015-16,unit_value_vs_crop_sale_price,native,all,5,5,8,7,2,0.43144612007613037,0.20339875692856035,0.625,,,-0.2968166885843016,0.2724132217261801,,,False
Ethiopia,2015-16,unit_value_vs_crop_sale_price,native,Region,5,5,2,2,1,0.34829839589504075,0.001724805615068048,0.0,,,,,,,True
Ethiopia,2015-16,unit_value_vs_crop_sale_price,native,national,5,5,6,6,1,0.5085214599897595,0.2419668873539923,0.8333333333333334,,,,,,,False
Ethiopia,2018-19,unit_value_vs_crop_sale_price,native,all,5,5,21,12,6,0.37688590118819043,0.8654816824726412,0.7142857142857143,,,0.40920506102508625,0.5354762318188182,,,True
Ethiopia,2018-19,unit_value_vs_crop_sale_price,native,District,5,5,3,3,2,0.37688590118819043,0.06676569631226115,0.3333333333333333,,,,,,,True
Ethiopia,2018-19,unit_value_vs_crop_sale_price,native,Region,5,5,8,5,3,-0.32529378307057444,1.8098382647316198,0.875,,,,,,,False
Ethiopia,2018-19,unit_value_vs_crop_sale_price,native,national,5,5,10,8,1,0.45974281138533724,0.5696052890291887,0.7,,,-0.2725806989685042,0.22771613844514793,,,False
Ethiopia,2021-22,unit_value_vs_crop_sale_price,native,all,5,5,27,20,5,0.4377343686769497,0.594886533532544,0.6296296296296297,,,0.24078227487900505,0.33724159641370155,,,False
Ethiopia,2021-22,unit_value_vs_crop_sale_price,native,District,5,5,1,1,1,-0.9162907318741551,0.0,1.0,,,,,,,False
Ethiopia,2021-22,unit_value_vs_crop_sale_price,native,Region,5,5,11,8,3,0.2954249311714716,1.5293610874921362,0.5454545454545454,,,0.7932314866410284,0.5827958192601738,,,True
Ethiopia,2021-22,unit_value_vs_crop_sale_price,native,national,5,5,15,14,1,0.528207619984161,0.5198858943225881,0.6666666666666666,,,-0.3899868951380618,0.4004408384473906,,,False
Ethiopia,2011-12,community_price_vs_crop_sale_price,native,all,1,5,26,13,18,0.11543237319837252,0.30021781072890064,0.15384615384615385,,,0.1778275274763576,0.12006935321361413,,,False
Ethiopia,2011-12,community_price_vs_crop_sale_price,native,District,1,5,7,2,7,0.06453852113757108,0.3358369125204852,0.0,,,,,,,False
