country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,all,1,10,31,16,19,0.04715533973562103,0.3992063435958144,0.25806451612903225,,,-0.38463913190223736,0.233017567194258,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,Region,1,10,14,6,7,0.021585627455515954,0.23765303672190619,0.21428571428571427,,,-0.3882934823744004,0.2890929924963992,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,national,1,10,5,5,1,0.2231435513142097,1.2752868421526848,0.6,,,,,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,v,1,10,12,5,11,0.15248678478092104,0.2876820724517808,0.16666666666666666,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,all,1,10,22,5,21,0.7358849758640402,0.7791158907633624,0.6818181818181818,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,Region,1,10,5,2,4,0.9728750809269755,0.9304904691350053,0.8,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,national,1,10,1,1,1,0.939939089225688,0.0,1.0,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,v,1,10,16,2,16,0.532827076433211,0.7108165529748642,0.625,,,,,,,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,all,1,10,133,27,47,-0.13976192164310808,1.6094379745222716,0.7218045112781954,0.5235847343620508,0.30073032283360185,0.4349131609035087,0.23233518165258946,0.7806818782618753,0.924303844257867,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,Region,1,10,15,7,6,0.40546510810816416,0.8612564871982087,0.6,,,-0.30689197275047375,0.11450268313321,,,True
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,national,1,10,5,5,1,1.1631508098056809,1.2517634532611237,0.6,,,,,,,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,v,1,10,113,15,40,-0.33391466794793667,1.6189167377894171,0.7433628318584071,0.5668799924640047,0.3051332891217626,1.1737202764146275,0.2775224087482454,0.7601294922975077,0.9206047030585812,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,all,1,10,61,29,12,0.1823215567939549,0.6185073057636143,0.47540983606557374,0.1268875465947069,0.08587323698325114,0.08217423003355329,0.05121006857630963,0.9244203292264562,0.3651033895053808,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,Region,1,10,43,18,10,0.18232155679395456,0.4349108744728409,0.37209302325581395,0.6878635318372187,0.29291528905295744,0.06472155667004517,0.03078316048350476,0.7530186013794842,0.32601495870729313,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,national,1,10,17,17,1,0.5389965007326871,0.7944093126156819,0.7058823529411765,,,0.3570915519993223,0.46609827159028194,,,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,v,1,10,1,1,1,-3.2188758248682006,0.0,1.0,,,,,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,all,1,5,90,20,56,0.16823611831060648,0.967773298528584,0.5,-0.38694698842591047,0.25254279374935357,-0.11244757583832268,0.20137328330918974,0.9407111554066817,0.47635142329480945,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,Region,1,5,14,8,6,0.028628346697190388,0.9918966166555185,0.5714285714285714,,,-0.41706362250024265,0.34563677882639315,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,national,1,5,2,2,1,-0.740802270462108,0.04765508990216216,1.0,,,,,,,False
GhanaLSS,1991-92,community_price_vs_own_consumption_valuation,native,v,1,5,74,10,49,0.2231435513142097,0.9841095987813142,0.47297297297297297,-0.42215417513997083,0.2552667581151478,0.12543011929096937,0.25481609407942235,0.9155008996354415,0.44782539735257626,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,all,1,5,63,7,57,0.5447271754416718,0.7396231771717932,0.6984126984126984,,,-0.6363186146356266,0.6016192277584845,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,Region,1,5,12,4,8,0.8785915199419492,0.8538933412465601,0.8333333333333334,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,national,1,5,1,1,1,0.8266785731844681,0.0,1.0,,,,,,,False
GhanaLSS,1998-99,community_price_vs_own_consumption_valuation,native,v,1,5,50,2,48,0.5032173966032256,0.7119558267449075,0.66,,,,,,,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,all,1,5,342,30,85,0.0,1.3940265299587968,0.672514619883041,-0.3696701266258747,0.13462703184709876,0.8166710498318019,0.17881755302311825,0.6891888253170374,0.8431933942405853,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,Region,1,5,13,8,4,0.8754687373538999,1.6739764087364035,0.6153846153846154,,,-0.21297648795022747,0.3023162526688577,,,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,national,1,5,1,1,1,0.5170368688641082,0.0,1.0,,,,,,,False
GhanaLSS,2012-13,community_price_vs_own_consumption_valuation,native,v,1,5,328,21,80,-0.042782020772725124,1.4011793446041034,0.6737804878048781,-0.3567158094132858,0.13572475778117668,0.9706133241326622,0.1948513559048532,0.6759371876927855,0.839528981885538,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,all,1,5,69,30,16,0.1823215567939549,0.8958797346140273,0.5652173913043478,0.7968475988852461,0.34142028436537797,0.23960108419639856,0.0936810710093864,0.5263135110043644,1.213241278245939,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,Region,1,5,42,18,9,0.18232155679395456,0.7873008848264731,0.5,1.6435301066759245,0.5426053367007204,0.11472481509813477,0.042978459973263,0.2487144074464851,0.8185241571803676,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,national,1,5,20,18,1,0.47223080442042575,0.9541909608572701,0.7,,,0.8325574516207515,0.6824436391346091,,,False
GhanaLSS,2016-17,community_price_vs_own_consumption_valuation,native,v,1,5,7,2,6,-0.5108256237659905,2.0664696907838334,0.5714285714285714,,,,,,,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,all,10,10,322,45,70,0.0,0.5671918031794926,0.38819875776397517,0.32186850422141283,0.0731364021123832,-0.09210595252627733,0.05212934022282034,0.4265419071311891,0.6346630783282886,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,Region,10,10,216,34,10,0.0,0.6286086594223742,0.4074074074074074,0.25880350176556294,0.09267450271943953,-0.010090546293939427,0.04632110674202616,0.34354706724296036,0.6168655529413561,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,national,10,10,20,13,1,-0.2231435513142097,0.9162907318741552,0.55,0.09273392547843065,0.3755041245077523,-0.25496234546475666,0.5064366521237725,0.8172140101376297,0.856675477020454,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,v,10,10,86,20,59,0.0,0.3689980652606867,0.3023255813953488,-0.0525482358281863,0.2869819764761384,0.24917608211821796,0.13561359793207967,0.85862902935801,0.8771331449298914,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,all,5,5,967,48,402,0.0,0.5968785759448378,0.3640124095139607,0.3717212397010895,0.07489810152102841,0.07026025167564066,0.05023141492171388,0.5644836600836822,0.6514559795374755,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,Region,5,5,116,25,9,0.0,1.02941532253108,0.5517241379310345,0.5526645485157821,0.22436534850224113,0.005587792770716562,0.07869714533909929,0.3512615976193485,0.9084795072693679,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,national,5,5,26,18,1,0.0,0.8842910598509942,0.46153846153846156,0.6468029388211838,0.06964797734516906,0.9109659442739788,0.5251433199463238,0.9092257673315361,0.5326607521341931,False
GhanaLSS,2016-17,unit_value_vs_own_consumption_valuation,native,v,5,5,825,32,392,0.0,0.5108256237659907,0.33454545454545453,0.19825107020891558,0.051167096045806305,0.1669283118337236,0.04373415695194237,0.6840905095102254,0.553787471488807,False
GhanaLSS,2016-17,unit_value_vs_community_price,native,all,10,1,516,105,94,0.0,0.5069726924394737,0.3701550387596899,-0.20295968469132095,0.03775336019546367,-0.167385134332216,0.044615430009004545,0.5712111958476809,1.0557429333348072,False
GhanaLSS,2016-17,unit_value_vs_community_price,native,Region,10,1,325,79,10,0.0,0.47320876019468405,0.36923076923076925,-0.24012537613598572,0.04660068241428925,-0.2298278056153693,0.050822642261292336,0.5171849001416622,1.1112973713517815,False
GhanaLSS,2016-17,unit_value_vs_community_price,native,national,10,1,70,50,1,-0.15920135665663815,0.7779824272746524,0.4857142857142857,-0.07035456173336224,0.06414003326753322,-0.13089362648999422,0.04768151464870353,0.8203651808952471,0.7396813711760711,False
