pair,u,j,n_cells,median_gap,ratio,in_30_50
community_price_vs_crop_sale_price,50 kg Bag,Maize Grain (Not As Ufa),14,0.18942142542437956,1.2085501589427077,False
community_price_vs_crop_sale_price,50 kg Bag,Rice,6,0.1324625426645829,1.1416362526362478,False
community_price_vs_crop_sale_price,50 kg Bag,Beans,1,0.5108256237659905,1.6666666666666663,False
community_price_vs_crop_sale_price,90 kg Bag,Maize Grain (Not As Ufa),1,-0.6931471805599463,0.4999999999999995,False
community_price_vs_crop_sale_price,Basket (Dengu),Tomato,1,-1.9691701568727593,0.13957263155977068,False
community_price_vs_crop_sale_price,Bunch,Banana,6,-1.415740120033986,0.2427458858536618,False
community_price_vs_crop_sale_price,Kilogramme,Beans,5,0.485507815781701,1.6250000000000002,False
community_price_vs_crop_sale_price,Kilogramme,Maize Grain (Not As Ufa),4,0.32482074603256494,1.383782575230905,True
community_price_vs_crop_sale_price,Kilogramme,Rice,2,1.0074515102711323,2.7386127875258306,False
community_price_vs_crop_sale_price,Kilogramme,Banana,1,2.1264747961993695,8.38525491562421,False
community_price_vs_crop_sale_price,Ox-Cart,Maize Grain (Not As Ufa),1,-2.2335922215070934,0.10714285714285723,False
community_price_vs_crop_sale_price,Pail (Large),Maize Grain (Not As Ufa),17,0.1823215567939549,1.2000000000000004,False
community_price_vs_crop_sale_price,Pail (Large),Rice,3,0.9808292530117262,2.6666666666666665,False
community_price_vs_crop_sale_price,Pail (Large),Beans,2,-0.9825593637228698,0.3743517694003678,False
community_price_vs_crop_sale_price,Pail (Large),Tomato,2,-0.9962150823451035,0.36927447293799803,False
community_price_vs_crop_sale_price,Pail (Small),Beans,1,-0.4054651081081637,0.6666666666666671,False
community_price_vs_crop_sale_price,kg,Maize Grain (Not As Ufa),39,0.2876820724517808,1.3333333333333333,True
community_price_vs_crop_sale_price,kg,Rice,30,1.0517545407399145,2.8626693844593274,False
community_price_vs_crop_sale_price,kg,Beans,9,0.49041462650586354,1.6329931618554527,False
community_price_vs_crop_sale_price,kg,Banana,3,0.5493061443340546,1.7320508075688767,False
community_price_vs_crop_sale_price,kg,Tomato,1,0.2231435513142106,1.250000000000001,False
unit_value_vs_community_price,Bunch,Banana,3,-0.5815754049028401,0.5590169943749476,False
unit_value_vs_community_price,Bunch,Cabbage,2,-0.8369882167858358,0.4330127018922193,False
unit_value_vs_community_price,Cup,Beans,1,0.0,1.0,False
unit_value_vs_community_price,Cup,Rice,1,-0.15415067982725805,0.8571428571428573,False
unit_value_vs_community_price,Gram,Tea,126,0.0,1.0,False
unit_value_vs_community_price,Gram,Cooking Oil,3,-0.2694982503663435,0.7637626158259733,False
unit_value_vs_community_price,Gram,Rice,3,-0.287682072451781,0.7499999999999999,False
unit_value_vs_community_price,Gram,Fresh Milk,2,0.8147947851111419,2.2587121034324382,False
unit_value_vs_community_price,Gram,Salt,2,1.6047271404837302,4.976501531666156,False
unit_value_vs_community_price,Gram,Beans,1,0.0,1.0,False
