country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Mali,2014-15,unit_value_vs_community_price,native,all,10,1,527,36,9,-0.04652001563489261,0.6055842136713032,0.40037950664136623,-0.1633428132783127,0.06772276073270718,0.15758676468015895,0.04753089004369193,0.14445548091819094,0.9508197576145515,False
Mali,2014-15,unit_value_vs_community_price,native,Region,10,1,491,36,8,-0.002227175174690288,0.4910203789539511,0.3869653767820774,-0.13596596795462737,0.07579961405689953,0.15151706672129417,0.0466500586337769,0.14612522569901465,0.9400644504030118,False
Mali,2014-15,unit_value_vs_community_price,native,national,10,1,36,23,1,-0.26949825036634323,1.3725910006602668,0.5833333333333334,-0.44853725584859655,0.15484544961884675,-0.02291030395073927,0.19987446881267115,0.6771535710472267,0.8923743299965201,False
Mali,2014-15,unit_value_vs_community_price,native_sized,all,10,1,202,34,9,-0.059758069822313686,0.3168595869730251,0.25742574257425743,-0.2504924401620549,0.0813536385278915,-0.06895107741898511,0.09544863985720788,0.46669604114221896,0.48686124600412645,False
Mali,2014-15,unit_value_vs_community_price,native_sized,Region,10,1,197,32,8,-0.05715841383994835,0.2987319086383664,0.24873096446700507,-0.30018855122898785,0.08259727904734614,-0.06175223614029008,0.09083482399998757,0.42196179581384174,0.4669034453675557,False
Mali,2014-15,unit_value_vs_community_price,native_sized,national,10,1,5,5,1,-1.1512925464970216,1.7210146635847599,0.6,,,,,,,False
Mali,2014-15,unit_value_vs_crop_sale_price,native,all,10,5,2,2,1,1.594601842841321,0.6539160288824495,1.0,,,,,,,False
Mali,2014-15,unit_value_vs_crop_sale_price,native,Region,10,5,2,2,1,1.594601842841321,0.6539160288824495,1.0,,,,,,,False
Mali,2014-15,unit_value_vs_crop_sale_price,native_sized,all,10,5,2,2,1,1.594601842841321,0.6539160288824495,1.0,,,,,,,False
Mali,2014-15,unit_value_vs_crop_sale_price,native_sized,Region,10,5,2,2,1,1.594601842841321,0.6539160288824495,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,native,all,1,5,1,1,1,1.437587655507441,0.0,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,native,Region,1,5,1,1,1,1.437587655507441,0.0,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,native_sized,all,1,5,1,1,1,1.437587655507441,0.0,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,native_sized,Region,1,5,1,1,1,1.437587655507441,0.0,1.0,,,,,,,False
Mali,2014-15,unit_value_vs_community_price,kg,all,10,1,543,36,123,-0.3210022351504014,1.4960691282880108,0.6335174953959485,-1.388383560662041,0.09522627185449495,-0.39999399658907225,0.08320749295330901,0.5670828534254562,0.9343820833490277,False
Mali,2014-15,unit_value_vs_community_price,kg,Region,10,1,57,10,8,-0.08747072474816608,0.8782716905951737,0.49122807017543857,-1.0236888461449647,0.24868907751224223,0.26134584664217186,0.23977784953143536,0.6739731012046268,0.48700611648387,False
Mali,2014-15,unit_value_vs_community_price,kg,v,10,1,486,26,115,-0.34657359027997225,1.554470577562907,0.6502057613168725,-1.3954486015585337,0.09649427282611314,-0.42250993717660734,0.08566733423275658,0.5641052666977888,0.9718880313918922,False
Mali,2014-15,unit_value_vs_crop_sale_price,kg,all,10,5,2,2,1,2.4676263111393544,0.9093288407654447,1.0,,,,,,,False
Mali,2014-15,unit_value_vs_crop_sale_price,kg,Region,10,5,2,2,1,2.4676263111393544,0.9093288407654447,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,kg,all,1,5,1,1,1,1.6607312068216507,0.0,1.0,,,,,,,False
Mali,2014-15,community_price_vs_crop_sale_price,kg,Region,1,5,1,1,1,1.6607312068216507,0.0,1.0,,,,,,,False
