pair,t,u_basis,j,n_cells,median_gap,q25,q75,ratio
community_price_vs_crop_sale_price,2011-12,native,Mil,1,0.0,0.0,0.0,1.0
community_price_vs_crop_sale_price,2011-12,native,Niébé/Haricots secs,21,0.2231435513142097,0.10536051565782589,0.38521942743079585,1.25
community_price_vs_crop_sale_price,2011-12,native,Oignon frais,1,0.9162907318741542,0.9162907318741542,0.9162907318741542,2.499999999999998
community_price_vs_crop_sale_price,2011-12,native,Sorgho,1,0.5108256237659905,0.5108256237659905,0.5108256237659905,1.6666666666666663
community_price_vs_crop_sale_price,2014-15,native,Mil,1,0.762140052046897,0.762140052046897,0.762140052046897,2.1428571428571437
community_price_vs_crop_sale_price,2014-15,native,Niébé/Haricots secs,1,-4.700129002695883,-4.700129002695883,-4.700129002695883,0.009094103862107057
unit_value_vs_crop_sale_price,2018-19,native,Gombo frais,1,-0.5249110622493394,-0.5249110622493394,-0.5249110622493394,0.5916079783099613
unit_value_vs_crop_sale_price,2018-19,native,Mil,2,0.4706164299826501,0.3468799906484299,0.5943528693168703,1.600980781660233
unit_value_vs_crop_sale_price,2018-19,native,Niébé/Haricots secs,24,0.01219754104235804,-0.2838498719176725,0.1823215567939549,1.0122722344290394
unit_value_vs_crop_sale_price,2018-19,native,Sorgho,1,0.2231435513142097,0.2231435513142097,0.2231435513142097,1.25
unit_value_vs_crop_sale_price,2018-19,native,Sésame,1,-0.32567953595070875,-0.32567953595070875,-0.32567953595070875,0.7220365371125275
unit_value_vs_crop_sale_price,2018-19,native,Tomate fraîche,1,0.36535229643320477,0.36535229643320477,0.36535229643320477,1.441021585499865
unit_value_vs_crop_sale_price,2021-22,native,Mil,1,0.9626454309262895,0.9626454309262895,0.9626454309262895,2.6186146828319106
unit_value_vs_crop_sale_price,2021-22,native,Niébé/Haricots secs,21,0.0886670076414573,-0.14310084364067333,0.2231435513142097,1.0927167294163056
unit_value_vs_crop_sale_price,2021-22,native,Sorgho,1,0.4700036292457357,0.4700036292457357,0.4700036292457357,1.6
community_price_vs_crop_sale_price,2011-12,kg_def,Mil,1,0.04082199452025481,0.04082199452025481,0.04082199452025481,1.0416666666666663
community_price_vs_crop_sale_price,2011-12,kg_def,Niébé/Haricots secs,2,0.6094134931073194,0.5887701990305847,0.6300567871840541,1.8393522895641767
community_price_vs_crop_sale_price,2011-12,kg_def,Oignon frais,1,1.1967989160193282,1.1967989160193282,1.1967989160193282,3.3095059420222475
community_price_vs_crop_sale_price,2014-15,kg_def,Maïs en grain,1,-0.25397754570038966,-0.25397754570038966,-0.25397754570038966,0.7757092198581561
community_price_vs_crop_sale_price,2014-15,kg_def,Niébé/Haricots secs,2,0.369691397572498,0.26301021341673847,0.4763725817282576,1.4472879091776045
community_price_vs_crop_sale_price,2014-15,kg_def,Oignon frais,4,0.4731298680948006,0.30559134689352785,0.670717308625002,1.6050098090080522
unit_value_vs_crop_sale_price,2018-19,kg_def,Tomate fraîche,1,0.36535229643320477,0.36535229643320477,0.36535229643320477,1.441021585499865
unit_value_vs_crop_sale_price,2021-22,kg_def,Niébé/Haricots secs,1,0.517036883765269,0.517036883765269,0.517036883765269,1.677050983124842
