country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Niger,2011-12,community_price_vs_crop_sale_price,native,all,1,5,24,4,23,0.2231435513142097,0.3001045924503387,0.2916666666666667,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,native,Region,1,5,1,1,1,1.2611312181658842,0.0,1.0,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,native,national,1,5,2,2,1,0.7135581778200724,0.20273255405408186,1.0,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,native,v,1,5,21,2,21,0.1823215567939549,0.21309321546070858,0.19047619047619047,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,native,all,1,5,2,2,2,-1.968994475324493,2.73113452737139,1.0,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,native,District,1,5,1,1,1,-4.700129002695883,0.0,1.0,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,native,national,1,5,1,1,1,0.762140052046897,0.0,1.0,,,,,,,False
Niger,2018-19,unit_value_vs_crop_sale_price,native,all,10,5,30,6,27,0.06282860707022664,0.5329942693941141,0.23333333333333334,,,,,,,False
Niger,2018-19,unit_value_vs_crop_sale_price,native,District,10,5,26,2,24,0.06282860707022664,0.4654971388633169,0.23076923076923078,,,,,,,False
Niger,2018-19,unit_value_vs_crop_sale_price,native,Region,10,5,2,2,2,0.29424792387370724,0.07110437255949753,0.0,,,,,,,True
Niger,2018-19,unit_value_vs_crop_sale_price,native,national,10,5,2,2,1,-0.42529529910002406,0.0996157631493153,0.5,,,,,,,False
Niger,2021-22,unit_value_vs_crop_sale_price,native,all,10,5,23,3,21,0.182321556793954,0.4091147593489701,0.34782608695652173,,,,,,,False
Niger,2021-22,unit_value_vs_crop_sale_price,native,District,10,5,21,2,20,0.0886670076414573,0.36624439495488303,0.2857142857142857,,,,,,,False
Niger,2021-22,unit_value_vs_crop_sale_price,native,national,10,5,2,2,1,0.49352025650550235,0.023516627259766665,1.0,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,kg_def,all,1,5,4,3,4,0.6094134931073194,0.35092411260497247,0.75,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,kg_def,District,1,5,2,1,2,0.6094134931073194,0.04128658815346942,1.0,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,kg_def,Region,1,5,1,1,1,1.1967989160193282,0.0,1.0,,,,,,,False
Niger,2011-12,community_price_vs_crop_sale_price,kg_def,national,1,5,1,1,1,0.04082199452025481,0.0,0.0,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,kg_def,all,1,5,7,3,7,0.4307829160924541,0.5060924587117182,0.5714285714285714,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,kg_def,District,1,5,3,2,3,0.1563290292609789,0.4185156557922034,0.3333333333333333,,,,,,,False
Niger,2014-15,community_price_vs_crop_sale_price,kg_def,v,1,5,4,1,4,0.4731298680948006,0.36512596173147416,0.75,,,,,,,False
Niger,2018-19,unit_value_vs_crop_sale_price,kg_def,all,10,5,1,1,1,0.36535229643320477,0.0,0.0,,,,,,,True
Niger,2018-19,unit_value_vs_crop_sale_price,kg_def,Region,10,5,1,1,1,0.36535229643320477,0.0,0.0,,,,,,,True
Niger,2021-22,unit_value_vs_crop_sale_price,kg_def,all,10,5,1,1,1,0.517036883765269,0.0,1.0,,,,,,,False
Niger,2021-22,unit_value_vs_crop_sale_price,kg_def,national,10,5,1,1,1,0.517036883765269,0.0,1.0,,,,,,,False
