country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Nigeria,2011Q1,unit_value_vs_community_price,native,all,10,1,349,42,139,0.02041099726012785,0.8323957619972999,0.48424068767908307,-0.8981448502859075,0.14487205781588686,0.12478360243272009,0.10347890820215529,0.8019692318839513,0.5790928558076464,False
Nigeria,2011Q1,unit_value_vs_community_price,native,District,10,1,204,22,37,0.0,0.7633855807548674,0.47058823529411764,-0.9772210664486513,0.14735455655592802,0.07969714858870378,0.11801003324528728,0.7492041501297004,0.5581572252880592,False
Nigeria,2011Q1,unit_value_vs_community_price,native,Region,10,1,10,5,5,0.15132305320659967,1.1976200964246593,0.7,-1.2435224847175976,2.6576643512760633e-14,0.8847740584656552,0.4576264801562426,0.9603488470770605,2.1677573384402295e-14,False
Nigeria,2011Q1,unit_value_vs_community_price,native,national,10,1,3,3,1,-1.0782012914079822,2.158744056768155,1.0,,,,,,,False
Nigeria,2011Q1,unit_value_vs_community_price,native,v,10,1,132,12,96,0.05268025782891339,0.8022809601344238,0.4772727272727273,-0.12527529855945507,0.4318963749129021,-0.2919916208237128,0.20621088545853902,0.8995108372912112,0.6486820316431896,False
Nigeria,2011Q1,unit_value_vs_community_price,native_ex_misscaled,all,10,1,346,39,139,0.026801491864243854,0.8479385689646006,0.4797687861271676,-0.8981448502859075,0.14487205781588708,-0.11875655650898528,0.06467237576412983,0.7621335678705505,0.5790928558076464,False
Nigeria,2011Q1,unit_value_vs_community_price,native_ex_misscaled,District,10,1,202,20,37,0.0,0.7712034115539633,0.46534653465346537,-0.977221066448651,0.14735455655592794,-0.11110681424618585,0.06872092579876957,0.6892410611085602,0.5581572252880592,False
Nigeria,2011Q1,unit_value_vs_community_price,native_ex_misscaled,Region,10,1,10,5,5,0.15132305320659967,1.1976200964246593,0.7,-1.2435224847175976,2.6576643512760633e-14,0.8847740584656552,0.4576264801562426,0.9603488470770605,2.1677573384402295e-14,False
Nigeria,2011Q1,unit_value_vs_community_price,native_ex_misscaled,national,10,1,2,2,1,-0.08095527976691352,0.9972460116410686,1.0,,,,,,,False
Nigeria,2011Q1,unit_value_vs_community_price,native_ex_misscaled,v,10,1,132,12,96,0.05268025782891339,0.8022809601344238,0.4772727272727273,-0.12527529855945507,0.4318963749129021,-0.2919916208237128,0.20621088545853902,0.8995108372912112,0.6486820316431896,False
