country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,all,10,10,10,10,2,1.1231089024693879,0.5667414202776568,1.0,,,-0.40527803620807534,0.29279159384840564,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,Region,10,10,1,1,1,2.233403221315844,0.0,1.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,national,10,10,9,9,1,0.9896790415614278,0.5798184952529422,1.0,,,-0.40527803620807545,0.29279159384840564,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,all,10,10,15,12,6,0.8084090098658612,0.5307160794750367,0.9333333333333333,,,-0.07481401822298055,0.3232673538672005,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,Region,10,10,6,3,5,0.5333527778670435,0.4793035239263532,1.0,,,,,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,national,10,10,9,9,1,0.896271864983663,0.35034938516195346,0.8888888888888888,,,0.25730610745453275,0.22353748790261135,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,all,5,5,14,12,6,1.2656306744200672,1.002318327526453,0.9285714285714286,,,0.5433134964906662,0.6407623734111764,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,District,5,5,1,1,1,0.00206185859193031,0.0,0.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,Region,5,5,6,4,4,1.6648692088400052,0.8764817228352881,1.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,native,national,5,5,7,7,1,0.9896790415614278,0.6267079949204448,1.0,,,,,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,all,5,5,19,14,8,0.9870405130110047,0.7734504618548379,0.8947368421052632,,,0.6828276333671662,0.39858969551325074,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,District,5,5,1,1,1,0.27398258535772335,0.0,0.0,,,,,,,True
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,Region,5,5,13,8,6,1.1223288152854254,0.9718605830289659,1.0,,,-0.38770869854523615,0.4308640051618622,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,native,national,5,5,5,5,1,0.896271864983663,0.13219325492412892,0.8,,,,,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,native,all,1,10,9,9,2,0.2623642644674913,1.2424533248940008,0.6666666666666666,,,1.6652171272690584,0.43998075170599615,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,native,District,1,10,1,1,1,0.2623642644674913,0.0,0.0,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,native,national,1,10,8,8,1,0.31715334026850606,1.909845745027537,0.75,,,1.6652171272690584,0.43998075170599615,,,True
Tanzania,2020-21,community_price_vs_crop_sale_price,native,all,1,10,15,12,8,0.8472978603872034,1.3546993903994151,0.6666666666666666,,,0.7125996699054005,0.7754028365269573,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,native,District,1,10,6,3,6,0.027772797591703036,0.6261984459114565,0.3333333333333333,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,native,national,1,10,8,8,1,1.4116560152040631,0.9054589815523848,1.0,,,0.7125996699054004,0.7754028365269573,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,native,v,1,10,1,1,1,0.04082199452025481,0.0,0.0,,,,,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,native,all,1,5,14,9,9,0.2778885058141287,0.4569719270745647,0.5,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,native,District,1,5,5,3,3,0.2623642644674913,0.214870432723,0.4,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,native,Region,1,5,5,2,5,0.3203072997678573,0.126252098208246,0.4,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,native,national,1,5,4,4,1,-1.242453324894,3.691399715625528,0.75,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,native,all,1,5,32,13,26,0.48631624290377395,1.004176241404643,0.625,,,0.6231112396295947,0.17663696849410024,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,native,District,1,5,4,2,4,0.8341902240337751,0.09364046538188564,1.0,,,,,,,False
