pair,j,n_cells,median_gap,ratio,in_30_50
own_consumption_valuation_vs_crop_sale_price,Matoke,64,0.0,1.0,False
own_consumption_valuation_vs_crop_sale_price,Beans,40,0.1742652699702707,1.1903712936996393,False
own_consumption_valuation_vs_crop_sale_price,Maize,27,0.9162907318741551,2.5,False
own_consumption_valuation_vs_crop_sale_price,Sweet Bananas,17,-0.33647223662121206,0.7142857142857149,False
own_consumption_valuation_vs_crop_sale_price,Sweet Potatoes,15,0.0,1.0,False
own_consumption_valuation_vs_crop_sale_price,Cassava,13,0.0,1.0,False
own_consumption_valuation_vs_crop_sale_price,Ground Nuts,12,0.4722052955177962,1.6035265467502864,False
own_consumption_valuation_vs_crop_sale_price,Sorghum,12,0.36071617815207135,1.4343563014448535,True
own_consumption_valuation_vs_crop_sale_price,Millet,11,0.35667494393873245,1.4285714285714286,True
own_consumption_valuation_vs_crop_sale_price,Irish Potatoes,6,-0.2350018146228674,0.7905694150420951,False
own_consumption_valuation_vs_crop_sale_price,Rice,5,0.16864593573712927,1.1837009585126117,False
own_consumption_valuation_vs_crop_sale_price,Cabbages,2,-0.09310582522671762,0.9110970781394264,False
own_consumption_valuation_vs_crop_sale_price,Dodo,1,-1.6094379124341005,0.19999999999999998,False
own_consumption_valuation_vs_crop_sale_price,Sim Sim,1,0.3285040669720374,1.3888888888888906,True
own_consumption_valuation_vs_crop_sale_price_soldunit,Matoke,68,0.0,1.0,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Beans,46,0.1742652699702707,1.1903712936996393,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Maize,36,0.9162907318741551,2.5,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Sweet Bananas,21,-0.33647223662121206,0.7142857142857149,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Ground Nuts,16,0.5198603854199586,1.6817928305074283,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Sweet Potatoes,16,0.0,1.0,False
own_consumption_valuation_vs_crop_sale_price_soldunit,Millet,14,0.271547442167388,1.3119931141769534,True
own_consumption_valuation_vs_crop_sale_price_soldunit,Sorghum,14,0.44594782489471996,1.5619699684601285,False
