j,n_cells,median_gap,ratio
Sweet Potatoes (fresh),84,0.0,1.0
Beans (dry),77,0.13353139262452274,1.142857142857143
Cassava (fresh),74,0.0,1.0
Maize (flour),65,0.14384103622589084,1.154700538379252
Milk (fresh),59,0.0,1.0
Dodo,59,0.0,1.0
Avocado,53,0.3465735902799727,1.4142135623730951
Other Vegetables,52,0.0,1.0
Matoke (bunch),52,0.2231435513142106,1.250000000000001
Ground Nuts (pounded),51,0.06453852113757108,1.0666666666666667
Tomatoes,45,0.0,1.0
Eggplant,43,0.0,1.0
Sorghum,38,0.047655089902162384,1.0488088481701514
Mangos,37,0.3465735902799718,1.4142135623730938
Beans (fresh),36,0.4054651081081646,1.5000000000000002
Maize (cobs),36,0.4054651081081646,1.5000000000000002
Cassava (dry/flour),31,0.1823215567939549,1.2000000000000004
Ground Nuts (shelled),29,0.06453852113757108,1.0666666666666667
Irish Potatoes,28,0.0,1.0
Eggs,27,0.0,1.0
Onions,26,0.0,1.0
Sim Sim,24,0.044867121952886446,1.0458888750036919
Millet,24,0.16823611831060648,1.1832159566199232
Chicken,19,0.11778303565638382,1.1250000000000004
Sweet Bananas,18,0.0,1.0
Oranges,17,0.0,1.0
Passion Fruits,17,0.6931471805599445,1.9999999999999984
Pawpaw,16,0.27980789396771133,1.3228756555322954
Peas (dry),15,0.17833747196936578,1.1952286093343931
Cassava (flour),15,0.04480607934484393,1.045825033167595
Pumpkins,14,0.17527883755228046,1.1915784271057897
Ground Nuts (paste),14,0.0,1.0
Other Fruits,13,-0.3465735902799727,0.7071067811865475
Cabbages,13,0.0,1.0
Cassava (dry),12,0.0,1.0
Millet Flour,12,0.07707533991362903,1.0801234497346432
Rice,11,0.16271120021731278,1.1766968108291027
Ghee,10,0.1123460817854589,1.118900024564242
Peas,10,0.3465735828293921,1.414213551836383
Ground Nuts (in shell),9,0.03226926056878732,1.0327955589886462
Maize (grains),8,0.11861449489877929,1.1259357806255097
Pineapple,8,0.5096548867898956,1.6647165801151276
Other Tobacco,8,0.0,1.0
Yams (arrowroot),7,0.0,1.0
Matoke (cluster),6,0.43773436867694926,1.5491933384829657
Goat Meat,6,0.03449643574347583,1.0350983390135313
Jackfruit (fresh),5,-0.4054651081081646,0.6666666666666665
Okra,4,0.17328679513998635,1.189207115002721
Sugarcane,4,0.2624555311246697,1.3001186520687387
Jam/Marmalade,4,0.601986402162968,1.8257418583505536
Sweet Potatoes (dry),3,0.20273255405408186,1.2247448713915887
Ndiizi,3,-0.6931471805599454,0.49999999999999994
Matoke (heap),3,0.07707533991362858,1.0801234497346428
Bogoya,2,0.2907877024514205,1.3374806099528445
Bongo,2,0.0,1.0
Chapati,2,0.0,1.0
Other Alcoholic Drinks,2,-0.09116077839697745,0.9128709291752767
Kabalagala,2,0.0,1.0
Tea (leaves),2,0.0,1.0
Beef,1,0.05268025782891428,1.054092553389461
Cooking Oil (refined),1,0.0,1.0
Fresh Fish,1,0.6931471805599454,2.0
Donuts,1,0.0,1.0
Matoke (other),1,0.0,1.0
Matoke (??),1,-0.6931471805599454,0.49999999999999994
Mushrooms,1,0.6931471805599454,2.0
Mukene,1,0.0,1.0
Soda,1,0.0,1.0
Sim Sim (paste),1,0.0,1.0
Salt,1,0.0,1.0
Soybeans (dry),1,0.2876820724517808,1.3333333333333333
