j,condition,rows
Avocado,fresh,123
Avocado,unknown_condition,1
Banana Beer,fresh,991
Banana Beer,unknown_condition,9
Barley,dried_grain,2
Beans,dried,3
Beans,dried_grain,4658
Beans,dried_in_cob,3
Beans,dried_in_pods,16
Beans,dried_with_shell,2
Beans,dry_at_harvest_grain,585
Beans,dry_at_harvest_in_cob,1
Beans,dry_at_harvest_with_shell,2
Beans,dry_at_harvest_with_shell_and_stalk,4
Beans,fresh,10
Beans,fresh_in_cob,1
Beans,fresh_in_pods,173
Beans,fresh_with_shell,7
Beans,fresh_with_shell_and_stalk,2
Beans,green_in_pods,22
Beans,other_condition,3
Beans,unknown_condition,26
Cabbages,fresh,197
Cabbages,fresh_in_cob,1
Cabbages,other_condition,1
Cabbages,unknown_condition,2
Carrots,fresh,4
Cassava,dried,745
Cassava,dried_grain,10
Cassava,dried_with_shell,6
Cassava,fresh,1399
Cassava,fresh_in_pods,1
Cassava,fresh_with_shell,1
Cassava,green_in_cob,1
Cassava,other_condition,8
Cassava,unknown_condition,7
Chick Peas,dried,7
Chick Peas,dried_grain,10
Chick Peas,dried_in_pods,1
Chick Peas,dry_at_harvest_grain,1
Cocoa,dried,1
Cocoa,dried_grain,91
Cocoa,dried_in_pods,5
Cocoa,dry_at_harvest_grain,1
Cocoa,fresh,9
Cocoa,fresh_in_pods,22
Coffee,dried,10
Coffee,dried_grain,882
Coffee,dried_in_cob,9
Coffee,dried_in_pods,1538
Coffee,dried_with_shell,48
Coffee,dried_with_shell_and_stalk,4
Coffee,dry_at_harvest_grain,91
Coffee,dry_at_harvest_with_shell,4
Coffee,fresh,140
Coffee,fresh_in_cob,13
Coffee,fresh_in_pods,2669
Coffee,fresh_with_shell,12
Coffee,fresh_with_shell_and_stalk,10
Coffee,green_in_pods,73
Coffee,unknown_condition,60
Cotton,dried,415
Cotton,dried_grain,15
Cotton,dried_in_pods,1
Cotton,dried_with_shell,4
Cotton,fresh,14
Cotton,fresh_in_pods,2
Cotton,other_condition,54
Cotton,unknown_condition,6
Cow Peas,dried,1
Cow Peas,dried_grain,51
Cow Peas,dry_at_harvest_grain,1
Cow Peas,dry_at_harvest_with_shell,1
Cow Peas,fresh,2
Cow Peas,fresh_in_pods,17
Cow Peas,fresh_with_shell,2
Cow Peas,green_in_pods,13
Cow Peas,unknown_condition,1
Dodo,fresh,41
Dodo,other_condition,3
