j,n_cells,median_gap_1_4,median_gap_3_4,median_gap_1_3,ratio_1_4,ratio_3_4,in_30_50_1_4
Matoke,53,0.2593968967075826,0.0,0.2231435513142106,1.2961481396815706,1.0,False
Beans,39,0.5108256237659905,0.2231435513142097,0.2876820724517808,1.6666666666666663,1.25,False
Maize,36,1.203972804325936,1.039720770839918,0.1823215567939549,3.333333333333333,2.8284271247461903,False
Ground Nuts,17,0.8270869031377455,0.660877919991159,0.1823215567939549,2.286647801900117,1.936491673103707,False
Cassava,15,0.15301560555998783,0.0,0.0,1.1653431646335006,1.0,False
Millet,15,0.6931471805599454,0.39372893001559284,0.2876820724517808,2.0,1.4824986333222017,False
Sorghum,13,0.4700036292457357,0.458145365937078,0.0,1.6,1.5811388300841904,False
Sweet Bananas,11,-1.0074515102711317,-0.2876820724517817,-0.3465735902799727,0.365148371670111,0.7499999999999994,False
Rice,9,0.4054651081081646,0.1823215567939549,0.22314355131420882,1.5000000000000002,1.2000000000000004,False
Sweet Potatoes,7,0.0,-0.10536051565782678,0.18232155679395312,1.0,0.8999999999999996,False
Irish Potatoes,2,-0.055785887828552205,0.0,-0.055785887828552205,0.945741609003176,1.0,False
Dodo,2,-0.8047189562170503,-1.2628643221541278,0.45814536593707755,0.4472135954999579,0.282842712474619,False
Cabbages,2,0.34064445862564385,-0.09310582522671762,0.4337502838523615,1.405853312975873,0.9110970781394264,True
Sim Sim,2,0.3285040669720374,0.3285040669720374,0.0,1.3888888888888906,1.3888888888888906,True
