country,t,n_hh,agg_purchased,agg_produced,median_hh_produced_share,share_hh_with_production,agg_inkind,agg_other
GhanaLSS,1987-88,3129,0.826,0.174,0.138,0.726,,
GhanaLSS,1988-89,3186,0.819,0.181,0.154,0.765,,
GhanaLSS,1991-92,4521,0.696,0.304,0.258,0.646,,
GhanaLSS,1998-99,5998,0.694,0.306,0.199,0.64,,
GhanaLSS,2005-06,8633,0.865,0.135,0.118,0.593,,
GhanaLSS,2012-13,16757,0.791,0.209,0.074,0.567,,
GhanaLSS,2016-17,13942,0.791,0.209,0.071,0.575,,
Panama,1997,4821,1.0,0.0,0.0,0.0,0.0,0.0
Panama,2003,6244,1.0,0.0,0.0,0.0,0.0,0.0
Panama,2008,6922,1.0,0.0,0.0,0.0,0.0,0.0
Uganda,2005-06,3120,0.593,0.353,0.295,0.681,0.054,
Uganda,2009-10,2929,0.595,0.347,0.387,0.744,0.058,
Uganda,2010-11,2657,0.589,0.324,0.331,0.745,0.086,
Uganda,2011-12,2829,0.305,0.661,0.399,0.782,0.034,
Uganda,2013-14,3119,0.57,0.348,0.361,0.785,0.082,
Uganda,2015-16,3285,0.567,0.361,0.368,0.773,0.071,
Uganda,2018-19,3172,0.618,0.296,0.333,0.8,0.086,
Uganda,2019-20,3057,0.614,0.301,0.326,0.788,0.085,
