country,j,item_class,farmgate_form,n_gap_cells,pairs
Ethiopia,Butter/ghee,animal products,processed,94,unit_value_vs_community_price
Ethiopia,Cheese,animal products,processed,26,unit_value_vs_community_price
Ethiopia,Eggs,animal products,same_good,270,unit_value_vs_community_price
Ethiopia,Milk,animal products,same_good,385,unit_value_vs_community_price
Ethiopia,Avocado,fresh produce,same_good,4,unit_value_vs_crop_sale_price
Ethiopia,Banana,fresh produce,same_good,675,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Beetroot,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Ethiopia,Berbere,fresh produce,processed,1141,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Carrot,fresh produce,same_good,2,unit_value_vs_crop_sale_price
Ethiopia,Chat/Kat,fresh produce,same_good,303,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Fenugreek,fresh produce,same_good,1,unit_value_vs_crop_sale_price
Ethiopia,Garlic,fresh produce,same_good,4,unit_value_vs_crop_sale_price
Ethiopia,Hops (gesho),fresh produce,same_good,3,unit_value_vs_crop_sale_price
Ethiopia,Kariya,fresh produce,same_good,754,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Leafy Greens,fresh produce,same_good,511,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Mango,fresh produce,same_good,29,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Onion,fresh produce,same_good,2658,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Orange,fresh produce,same_good,97,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Other fruit,fresh produce,same_good,13,unit_value_vs_community_price
Ethiopia,Other vegetable,fresh produce,same_good,12,unit_value_vs_community_price
Ethiopia,Papaya,fresh produce,same_good,4,unit_value_vs_crop_sale_price
Ethiopia,Tomato,fresh produce,same_good,1220,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Beer,processed & beverages,n_a,46,unit_value_vs_community_price
Ethiopia,Coffee,processed & beverages,processed,1389,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Oils,processed & beverages,processed,1780,unit_value_vs_community_price
Ethiopia,Salt,processed & beverages,processed,2337,unit_value_vs_community_price
Ethiopia,Soda,processed & beverages,n_a,192,unit_value_vs_community_price
Ethiopia,Sugar,processed & beverages,processed,2033,unit_value_vs_community_price
Ethiopia,Tea,processed & beverages,processed,519,unit_value_vs_community_price
Ethiopia,Chick Pea,pulses & oilseeds,same_good,382,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Field Pea,pulses & oilseeds,same_good,401,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Ethiopia,Ground nuts,pulses & oilseeds,same_good,59,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
