spec,pair_group,basis,unit_scope,item_scope,farmgate_scope,country,t,geo_rung,item,n_countries,n_cells,n_items,n_geos,median_gap,ratio,iqr_gap,share_abs_gap_gt_log1p5,share_exact_ties,claim_30_50,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,n_geo_singleton,n_eff_cells,loo_min,loo_max,loo_worst_item
market_identity,1_vs_5,native,sized,all,all,POOLED,,,,6.0,9760,215,2648.0,0.0,1.0,0.2953770793267724,0.20225409836065575,0.21567622950819673,False,-0.1088153036173014,0.017052471088426672,-0.009960433536343818,0.011649871578657304,0.8147967079812463,0.5951460953594722,820.0,8940.0,,,
market_identity,1_vs_5,native,all,all,all,POOLED,,,,6.0,12229,258,,0.0,1.0,0.28881714671905023,0.2319077602420476,0.24212936462507156,False,,,,,,,,,,,
market_identity,1_vs_5,kg,sized,all,all,POOLED,,,,3.0,16540,83,2675.0,0.0,1.0,0.39473871309319264,0.31553808948004836,0.13567110036275695,False,-0.9948321559883916,0.034063523678605434,-0.08501800824245634,0.010944664983418648,0.5937111257753926,0.810310697456211,506.0,16034.0,,,
market_identity,1_vs_5,kg,all,all,all,POOLED,,,,3.0,16540,83,,0.0,1.0,0.39473871309319264,0.31553808948004836,0.13567110036275695,False,,,,,,,,,,,
farmgate_pooled,market_vs_crop_sale,native,sized,all,all,POOLED,,,,7.0,569,75,311.0,0.4700036292457357,1.6,0.7485430936510294,0.6133567662565905,0.028119507908611598,False,0.6096857818081816,0.3712910367624401,0.2849763081313993,0.14093284968280576,0.9006392103762192,0.8107703906407752,213.0,356.0,,,
farmgate_pooled,market_vs_crop_sale,native,all,all,all,POOLED,,,,7.0,779,86,422.0,0.3772942311414677,1.4583333333333328,0.669881686574596,0.5622593068035944,0.05006418485237484,True,0.3084058300308985,0.2485149884315041,0.10509578289758353,0.08516833898905724,0.8739412299237193,0.8616942030727179,302.0,477.0,,,
farmgate_pooled,market_vs_crop_sale,native,sized,all,same_good,POOLED,,,,7.0,420,63,241.0,0.40316094433193284,1.4965477331571446,0.5556174001668924,0.5357142857142857,0.030952380952380953,True,1.509703620785053,0.27337094436852616,0.3679666988542413,0.20062763461413152,0.878377545316894,0.7789908750414821,175.0,245.0,,,
farmgate_pooled,market_vs_crop_sale,native,sized,all,processed,POOLED,,,,5.0,149,14,117.0,0.9485599924429406,2.581988897471611,0.7101999868032012,0.8322147651006712,0.020134228187919462,False,-0.15026896786278035,0.04767826805046885,-0.29468164093852545,0.20726338319085413,0.9905407905493828,0.9315730071295215,92.0,57.0,,,
farmgate_pooled,market_vs_crop_sale,kg,sized,all,all,POOLED,,,,3.0,561,61,299.0,0.5108256237659905,1.6666666666666663,0.7247535064338676,0.6078431372549019,0.035650623885918005,False,-0.3765577473418703,0.2072734365941699,-0.17338946535776253,0.08131278873111181,0.9692380020735258,0.3282134356142052,206.0,355.0,,,
farmgate_pooled,market_vs_crop_sale,kg,all,all,all,POOLED,,,,3.0,561,61,299.0,0.5108256237659905,1.6666666666666663,0.7247535064338676,0.6078431372549019,0.035650623885918005,False,-0.3765577473418703,0.2072734365941699,-0.17338946535776253,0.08131278873111181,0.9692380020735258,0.3282134356142052,206.0,355.0,,,
farmgate_pooled,market_vs_crop_sale,kg,sized,all,same_good,POOLED,,,,3.0,434,55,230.0,0.4381866140566675,1.549894112461538,0.5593320193686053,0.5599078341013825,0.03686635944700461,False,-0.09097470777364035,0.2640904271418457,-0.2860894365924298,0.08878651678951037,0.9719755783072447,0.36043063623380844,159.0,275.0,-0.3832274151119125,-0.17064544025025052,Ethiopia|Maize
farmgate_pooled,market_vs_crop_sale,kg,sized,all,processed,POOLED,,,,3.0,127,7,108.0,1.0033021088637843,2.7272727272727257,0.891408623291595,0.7716535433070866,0.031496062992125984,False,1.4726378077218798,0.292935748015803,-2.1430929149094076,0.8642536473826977,0.9898220748888799,0.5261760318557089,92.0,35.0,,,
farmgate_by_class,market_vs_crop_sale,native,sized,fresh produce,all,POOLED,,,,6.0,61,20,33.0,0.7419373447293776,2.1000000000000005,0.8771010284607961,0.8032786885245902,0.01639344262295082,False,2.0129617631702685,0.0155504289606152,-1.395367074271373,0.2502657284380538,0.9538775468061589,0.16811848751763073,22.0,39.0,-1.6770958534734455,-1.151257687115906,Ethiopia|Kariya
farmgate_by_class,market_vs_crop_sale,native,sized,fresh produce,same_good,POOLED,,,,6.0,61,20,33.0,0.7419373447293776,2.1000000000000005,0.8771010284607961,0.8032786885245902,0.01639344262295082,False,2.0129617631702685,0.0155504289606152,-1.395367074271373,0.2502657284380538,0.9538775468061589,0.16811848751763073,22.0,39.0,-1.6770958534734455,-1.151257687115906,Ethiopia|Kariya
farmgate_by_class,market_vs_crop_sale,native,sized,processed & beverages,all,POOLED,,,,3.0,13,3,11.0,1.8293197844621092,6.229647713819609,1.4957091471057582,0.8461538461538461,0.0,False,,,,,,,9.0,4.0,,,
farmgate_by_class,market_vs_crop_sale,native,sized,processed & beverages,same_good,POOLED,,,,0.0,0,0,,,,,,,,,,,,,,,,,,
