country,table,wave,delivered_value,delivered_type,count,n_rows,status
Afghanistan,cluster_features,,,,,,NOT_IN_SCHEME
Afghanistan,sample,,,,,,NOT_IN_SCHEME
Albania,cluster_features,2002,Urban,str,245,450,ok
Albania,cluster_features,2002,Rural,str,205,450,ok
Albania,cluster_features,2003,,NaN,449,449,ok
Albania,cluster_features,2004,,NaN,448,448,ok
Albania,cluster_features,2005,Urban,str,275,480,ok
Albania,cluster_features,2005,Rural,str,205,480,ok
Albania,sample,2002,Urban,str,1959,3599,ok
Albania,sample,2002,Rural,str,1640,3599,ok
Albania,sample,2003,,NaN,1764,1764,ok
Albania,sample,2004,,NaN,1884,1884,ok
Albania,sample,2005,Urban,str,2200,3840,ok
Albania,sample,2005,Rural,str,1640,3840,ok
Albania,sample,2008,Urban,str,1976,3599,ok
Albania,sample,2008,Rural,str,1623,3599,ok
Albania,sample,2012,Urban,str,3608,6671,ok
Albania,sample,2012,Rural,str,3063,6671,ok
Armenia,cluster_features,,,,,,NOT_IN_SCHEME
Armenia,sample,,,,,,NOT_IN_SCHEME
Azerbaijan,cluster_features,1995,,NaN,77,168,ok
Azerbaijan,cluster_features,1995,Urban,str,73,168,ok
Azerbaijan,cluster_features,1995,Rural,str,18,168,ok
Azerbaijan,sample,,,,,2016,NO_RURAL_COLUMN
Benin,cluster_features,2018-19,Rural,str,340,670,ok
Benin,cluster_features,2018-19,Urban,str,330,670,ok
Benin,sample,2018-19,Rural,str,4072,8012,ok
Benin,sample,2018-19,Urban,str,3940,8012,ok
Bosnia-Herzegovina,cluster_features,,,,,,NOT_IN_SCHEME
Bosnia-Herzegovina,sample,,,,,,NOT_IN_SCHEME
Brazil,cluster_features,,,,,,NOT_IN_SCHEME
Brazil,sample,,,,,,NOT_IN_SCHEME
Bulgaria,cluster_features,,,,,,NOT_IN_SCHEME
Bulgaria,sample,,,,,,NOT_IN_SCHEME
Burkina_Faso,cluster_features,2014,Rural,str,545,900,ok
Burkina_Faso,cluster_features,2014,Urban,str,355,900,ok
Burkina_Faso,cluster_features,2018-19,Rural,str,322,585,ok
Burkina_Faso,cluster_features,2018-19,Urban,str,263,585,ok
Burkina_Faso,cluster_features,2021-22,Rural,str,298,550,ok
Burkina_Faso,cluster_features,2021-22,Urban,str,252,550,ok
Burkina_Faso,sample,2014,Rural,str,6408,10411,ok
Burkina_Faso,sample,2014,Urban,str,4003,10411,ok
Burkina_Faso,sample,2018-19,Rural,str,3861,7010,ok
Burkina_Faso,sample,2018-19,Urban,str,3149,7010,ok
Burkina_Faso,sample,2021-22,Rural,str,1760,3227,ok
