country,wave,table,subdf,mechanism,source_column,raw_value,raw_type,count,config_maps_to,how,declaration
Albania,2002,cluster_features,,script:_label,m0_ur,Urban,str,1959,(script logic),script-path,(script)
Albania,2002,cluster_features,,script:_label,m0_ur,Rural,str,1640,(script logic),script-path,(script)
Albania,2002,sample,,script:astype(str),ur,Urban,str,1959,(script logic),script-path,(script)
Albania,2002,sample,,script:astype(str),ur,Rural,str,1640,(script logic),script-path,(script)
Albania,2005,cluster_features,,script:_label+cluster_reduce,m0_ur,Urban,str,2200,(script logic),script-path,(script)
Albania,2005,cluster_features,,script:_label+cluster_reduce,m0_ur,Rural,str,1640,(script logic),script-path,(script)
Albania,2005,sample,,script:astype(str),m0_ur,Urban,str,2200,(script logic),script-path,(script)
Albania,2005,sample,,script:astype(str),m0_ur,Rural,str,1640,(script logic),script-path,(script)
Albania,2008,sample,,script:astype(str).str.title(),urbrur,urban,str,1976,(script logic),script-path,(script)
Albania,2008,sample,,script:astype(str).str.title(),urbrur,rural,str,1623,(script logic),script-path,(script)
Albania,2012,sample,,script:astype(str),urban,Urban,str,3608,(script logic),script-path,(script)
Albania,2012,sample,,script:astype(str),urban,Rural,str,3063,(script logic),script-path,(script)
Azerbaijan,1995,cluster_features,df_inout,inline_dict,inout,1.0,float,40,Urban,exact-or-str-match,"['inout', {'mapping': {1.0: 'Urban', 2.0: 'Urban', 3.0: 'Urban', 4.0: 'Rural'}}]"
Azerbaijan,1995,cluster_features,df_inout,inline_dict,inout,2.0,float,20,Urban,exact-or-str-match,"['inout', {'mapping': {1.0: 'Urban', 2.0: 'Urban', 3.0: 'Urban', 4.0: 'Rural'}}]"
Azerbaijan,1995,cluster_features,df_inout,inline_dict,inout,4.0,float,18,Rural,exact-or-str-match,"['inout', {'mapping': {1.0: 'Urban', 2.0: 'Urban', 3.0: 'Urban', 4.0: 'Rural'}}]"
Azerbaijan,1995,cluster_features,df_inout,inline_dict,inout,3.0,float,13,Urban,exact-or-str-match,"['inout', {'mapping': {1.0: 'Urban', 2.0: 'Urban', 3.0: 'Urban', 4.0: 'Rural'}}]"
Azerbaijan,1995,cluster_features,df_inout,inline_dict,inout,,NaN,1,(passthrough: unmapped),"df_data_grabber f.get(x,x)","['inout', {'mapping': {1.0: 'Urban', 2.0: 'Urban', 3.0: 'Urban', 4.0: 'Rural'}}]"
Benin,2018-19,cluster_features,df_main,inline_dict,s00q04,Rural,str,4072,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Benin,2018-19,cluster_features,df_main,inline_dict,s00q04,Urbain,str,3940,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Benin,2018-19,sample,df_cover,inline_dict,s00q04,Rural,str,4072,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Benin,2018-19,sample,df_cover,inline_dict,s00q04,Urbain,str,3940,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2014,cluster_features,df_main,inline_dict,milieu,Rural,str,6540,Rural,exact-or-str-match,"['milieu', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2014,cluster_features,df_main,inline_dict,milieu,Urbain,str,4260,Urban,exact-or-str-match,"['milieu', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2014,sample,,inline_dict,milieu,Rural,str,6408,Rural,exact-or-str-match,"['milieu', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2014,sample,,inline_dict,milieu,Urbain,str,4003,Urban,exact-or-str-match,"['milieu', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2018-19,cluster_features,df_main,inline_dict,s00q04,Rural,str,3861,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2018-19,cluster_features,df_main,inline_dict,s00q04,Urbain,str,3149,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
