country,wave,table,subdf,build,source_file,source_column,src_dtype,raw_value,raw_type,count,n_rows,mechanism,status
Albania,2002,cluster_features,,script,../Data/metadata_cl.dta,m0_ur,object,Urban,str,1959,3599,script:_label,ok
Albania,2002,cluster_features,,script,../Data/metadata_cl.dta,m0_ur,object,Rural,str,1640,3599,script:_label,ok
Albania,2002,sample,,script,../Data/weights.dta,ur,object,Urban,str,1959,3599,script:astype(str),ok
Albania,2002,sample,,script,../Data/weights.dta,ur,object,Rural,str,1640,3599,script:astype(str),ok
Albania,2003,sample,,script,,,,,,,,,NEEDS_MANUAL
Albania,2004,sample,,script,,,,,,,,,NEEDS_MANUAL
Albania,2005,cluster_features,,script,../Data/identification_cl.dta,m0_ur,object,Urban,str,2200,3840,script:_label+cluster_reduce,ok
Albania,2005,cluster_features,,script,../Data/identification_cl.dta,m0_ur,object,Rural,str,1640,3840,script:_label+cluster_reduce,ok
Albania,2005,sample,,script,../Data/identification_cl.dta,m0_ur,object,Urban,str,2200,3840,script:astype(str),ok
Albania,2005,sample,,script,../Data/identification_cl.dta,m0_ur,object,Rural,str,1640,3840,script:astype(str),ok
Albania,2008,sample,,script,../Data/poverty.sav,urbrur,category,urban,str,1976,3599,script:astype(str).str.title(),ok
Albania,2008,sample,,script,../Data/poverty.sav,urbrur,category,rural,str,1623,3599,script:astype(str).str.title(),ok
Albania,2012,sample,,script,../Data/poverty.sav,urban,category,Urban,str,3608,6671,script:astype(str),ok
Albania,2012,sample,,script,../Data/poverty.sav,urban,category,Rural,str,3063,6671,script:astype(str),ok
Azerbaijan,1995,cluster_features,df_inout,yaml,../Data/APP1.dta,inout,float64,1.0,float,40,92,inline_dict,ok
Azerbaijan,1995,cluster_features,df_inout,yaml,../Data/APP1.dta,inout,float64,2.0,float,20,92,inline_dict,ok
Azerbaijan,1995,cluster_features,df_inout,yaml,../Data/APP1.dta,inout,float64,4.0,float,18,92,inline_dict,ok
Azerbaijan,1995,cluster_features,df_inout,yaml,../Data/APP1.dta,inout,float64,3.0,float,13,92,inline_dict,ok
Azerbaijan,1995,cluster_features,df_inout,yaml,../Data/APP1.dta,inout,float64,,NaN,1,92,inline_dict,ok
Benin,2018-19,cluster_features,df_main,yaml,s00_me_ben2018.dta,s00q04,object,Rural,str,4072,8012,inline_dict,ok
Benin,2018-19,cluster_features,df_main,yaml,s00_me_ben2018.dta,s00q04,object,Urbain,str,3940,8012,inline_dict,ok
Benin,2018-19,sample,df_cover,yaml,s00_me_ben2018.dta,s00q04,object,Rural,str,4072,8012,inline_dict,ok
Benin,2018-19,sample,df_cover,yaml,s00_me_ben2018.dta,s00q04,object,Urbain,str,3940,8012,inline_dict,ok
Burkina_Faso,2014,cluster_features,df_main,yaml,emc2014_p1_logement_27022015.dta,milieu,object,Rural,str,6540,10800,inline_dict,ok
Burkina_Faso,2014,cluster_features,df_main,yaml,emc2014_p1_logement_27022015.dta,milieu,object,Urbain,str,4260,10800,inline_dict,ok
Burkina_Faso,2014,sample,,yaml,emc2014_welfare.dta,milieu,object,Rural,str,6408,10411,inline_dict,ok
Burkina_Faso,2014,sample,,yaml,emc2014_welfare.dta,milieu,object,Urbain,str,4003,10411,inline_dict,ok
Burkina_Faso,2018-19,cluster_features,df_main,yaml,s00_me_bfa2018.dta,s00q04,object,Rural,str,3861,7010,inline_dict,ok
Burkina_Faso,2018-19,cluster_features,df_main,yaml,s00_me_bfa2018.dta,s00q04,object,Urbain,str,3149,7010,inline_dict,ok
Burkina_Faso,2018-19,sample,df_cover,yaml,s00_me_bfa2018.dta,s00q04,object,Rural,str,3861,7010,inline_dict,ok
Burkina_Faso,2018-19,sample,df_cover,yaml,s00_me_bfa2018.dta,s00q04,object,Urbain,str,3149,7010,inline_dict,ok
Burkina_Faso,2021-22,cluster_features,,yaml,s00_me_bfa2021.dta,s00q04,object,Rural,str,1760,3227,inline_dict,ok
Burkina_Faso,2021-22,cluster_features,,yaml,s00_me_bfa2021.dta,s00q04,object,Urbain,str,1467,3227,inline_dict,ok
Burkina_Faso,2021-22,sample,df_cover,yaml,s00_me_bfa2021.dta,s00q04,object,Rural,str,1760,3227,inline_dict,ok
