country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
Albania,2002,3599.0,,3599.0,1.0,0.20244194112003472,2.041007069259044,3599.0,0.0,0.0,3599.0,1.0,0.20244194112003472,2.041007069259044,3599.0,0.0,0.0
Albania,2003,1764.0,,1764.0,1.0,0.6027368339176282,1.191997844312708,1764.0,0.0,0.0,1764.0,1.0,0.6027368339176282,1.191997844312708,1764.0,0.0,0.0
Albania,2004,1884.0,,1884.0,1.0,0.6020511015814556,1.1906417110543828,1884.0,0.0,0.0,1884.0,1.0,0.6020511015814556,1.1906417110543828,1884.0,0.0,0.0
Albania,2005,3840.0,,3840.0,1.0,0.12851056009377673,2.807958919862788,3840.0,0.0,0.0,3840.0,1.0,0.12851056009377673,2.807958919862788,3840.0,0.0,0.0
Albania,2008,3599.0,,3599.0,1.0,0.11937941431261209,8.905231011826714,3599.0,0.0,0.0,3599.0,1.0,0.11937941431261209,8.905231011826714,3599.0,0.0,0.0
Albania,2012,6671.0,,6671.0,1.0,0.009662370304746369,8.983185171691852,6671.0,0.0,0.0,6671.0,1.0,0.009662370304746369,8.983185171691852,6671.0,0.0,0.0
Armenia,,,no sample in data_scheme,,,,,,,,,,,,,,
Azerbaijan,1995,2016.0,,2016.0,1.0,0.6938843499719816,1.2577903693331314,2016.0,0.0,0.0,0.0,,,,,,
Benin,2018-19,8012.0,,8012.0,1.0000000000000002,0.023284436648989156,3.9625312118133955,8012.000000000001,0.0,0.0,8012.0,1.0000000000000002,0.023284436648989156,3.9625312118133955,8012.000000000001,0.0,0.0
Burkina_Faso,2014,10411.0,,10411.0,1.0,0.05493249240116306,6.4374523282684235,10411.0,0.0,0.0,10411.0,1.0,0.05493249240116306,6.4374523282684235,10411.0,0.0,0.0
Burkina_Faso,2018-19,7010.0,,7010.0,1.0,0.048276090995800026,7.570095907074648,7010.0,0.0,0.0,7010.0,1.0,0.048276090995800026,7.570095907074648,7010.0,0.0,0.0
Burkina_Faso,2021-22,3227.0,,3227.0,1.0,0.03463155287732887,8.231867761104338,3227.0,0.0,0.0,3227.0,1.0,0.01704891036093918,22.66806334792179,3227.0,0.0,0.0
