country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
Albania,2002,3599.0,,3599.0,201.95913008604822,40.8849983215332,412.20001220703125,726850.9091796875,0.0,0.0,3599.0,201.95913008604822,40.8849983215332,412.20001220703125,726850.9091796875,0.0,0.0
Albania,2003,1764.0,,1764.0,408.13832199546476,246.0,486.5,719955.9999999999,0.0,0.0,1764.0,408.13832199546476,246.0,486.5,719955.9999999999,0.0,0.0
Albania,2004,1884.0,,1884.0,408.6031889216915,246.0,486.5,769808.4079284668,0.0,0.0,1884.0,408.6031889216915,246.0,486.5,769808.4079284668,0.0,0.0
Albania,2005,3840.0,,3840.0,194.16291071573895,24.951984405517578,545.2014770507812,745585.5771484375,0.0,0.0,3840.0,194.16291071573895,24.951984405517578,545.2014770507812,745585.5771484375,0.0,0.0
Albania,2008,3599.0,,3599.0,204.6295881067225,24.42856037921159,1822.2737539453124,736461.8875960943,0.0,0.0,3599.0,204.6295881067225,24.42856037921159,1822.2737539453124,736461.8875960943,0.0,0.0
Albania,2012,6671.0,,6671.0,113.34567300344715,1.095187865,1018.205169,756128.9846059959,0.0,0.0,6671.0,113.34567300344715,1.095187865,1018.205169,756128.9846059959,0.0,0.0
Armenia,,,no sample in data_scheme,,,,,,,,,,,,,,
Azerbaijan,1995,2016.0,,2016.0,1.0001666787124814,0.6940000057220459,1.2580000162124634,2016.3360242843628,0.0,0.0,0.0,,,,,,
Benin,2018-19,8012.0,,8012.0,281.0193117459694,6.543376361491559,1113.5477939157224,2251526.725708707,0.0,0.0,8012.0,281.0193117459694,6.543376361491559,1113.5477939157224,2251526.725708707,0.0,0.0
Burkina_Faso,2014,10411.0,,10411.0,232.83123344285448,12.789999961853027,1498.8399658203125,2424005.971373558,0.0,0.0,10411.0,232.83123344285448,12.789999961853027,1498.8399658203125,2424005.971373558,0.0,0.0
Burkina_Faso,2018-19,7010.0,,7010.0,443.276453147159,21.399654388427734,3355.645263671875,3107367.9365615845,0.0,0.0,7010.0,443.276453147159,21.399654388427734,3355.645263671875,3107367.9365615845,0.0,0.0
Burkina_Faso,2021-22,3227.0,,3227.0,955.9941806846408,33.10756301879883,7869.61767578125,3084993.221069336,0.0,0.0,3227.0,884.6059068479441,15.08156681060791,20052.302734375,2854623.2613983154,0.0,0.0
Cambodia,2019-20,1512.0,,1512.0,2210.3072468591113,287.75079345703125,6659.1181640625,3341984.5572509766,0.0,0.0,1512.0,2210.3072468591113,287.75079345703125,6659.1181640625,3341984.5572509766,0.0,0.0
China,1995-97,787.0,,0.0,,,,,,,0.0,,,,,,
CotedIvoire,1985-86,1588.0,,1588.0,1.0000000035894205,0.0783101,5.2701208,1588.0000056999997,0.0,0.0,1588.0,1.0000000035894205,0.0783101,5.2701208,1588.0000056999997,0.0,0.0
CotedIvoire,1986-87,1600.0,,1600.0,0.9999999960625,0.0752768,5.6867791,1599.9999937,0.0,0.0,1600.0,0.9999999960625,0.0752768,5.6867791,1599.9999937,0.0,0.0
